"Aaron Herrmann","Rennergasse 9
1150 Gmünd"
"Dana Reindl","Eislgasse 5
9755 Schrems"
"Dr. Heinrich Krammer","Marc-Köck-Ring 44
3917 Neusiedl am See"
"Lara Eibl","Maringerstr. 526
6811 Wolkersdorf"
"Milo Meister","Artnerstr. 975
5638 Pregarten"
"Lilli Blum","Annabelle-Prager-Weg 577
4938 Groß-Gerungs"
"Ricardo Huemer","Norah-Lindner-Ring 95
9327 Friesach"
"Nils Bucher","Marie-Louise-Hager-Gasse 383
2619 Gänserndorf"
"Nadin Held","Christian-Margreiter-Straße 087
1380 Bad Leonfelden"
"Markus Egger","Jacob-Frisch-Platz 2/7
7097 Pulkau"
"Aaron Hofstetter","Alex-Schmidinger-Straße 7
8041 Stadtschlaining"
"Angelo Kloiber","Lea-Traxler-Weg 03
4400 Pöchlarn"
"Zoe Sonnleitner","Arda-Landl-Straße 939
2026 Schärding"
"Annabell Pammer-Platzer","Baderweg 284
2078 Rottenmann"
"Dipl.-Ing. Rosalie Kössler","Annabelle-Reif-Platz 625
7870 Geras"
"Prof. Leonard Schinagl","Hütterring 1
6779 Eisenstadt"
"Lola Mitter","Luna-Neumayer-Weg 1/3
8162 Haag"
"Felix Rohrmoser","Krainzstr. 084
1589 Deutschlandsberg"
"Matthias Stiegler-Leeb","Melanie-Wild-Platz 2/7
5371 Fürstenfeld"
"Hanna Zöhrer-Winter","Aurelia-Herrmann-Straße 955
5933 Maissau"
"Aaron Langer","Johanna-Schatzl-Ring 488
9591 Attnang-Puchheim"
"Isa Neuhold-Pfeffer","Nadja-Stöckl-Gasse 806
1542 Steyregg"
"Irma Barth","Pichlergasse 8/0
3933 Mannersdorf am Leithagebirge"
"Marta Pachler","Severin-Jäger-Gasse 21
5094 Freistadt"
"Marc Pertl","Eichingerweg 818
5112 Waidhofen an der Thaya"
"Victor Tanzer-Trummer","Maja-Steiner-Gasse 163
7516 Bruck an der Mur"
"Peter Kummer","Sabine-Kral-Ring 3
5042 Oberndorf bei Salzburg"
"Joel Stifter","Santnerplatz 4/5
8804 Eferding"
"Sam Felder","Aylin-Kölbl-Ring 9/7
2861 Braunau am Inn"
"Clara Kalcher-Schantl","Steinacherstr. 7/8
5377 Peuerbach"
"Aaron Pölzl","Estelle-Wiesbauer-Ring 3
2719 Neumarkt am Wallersee"
"Prof. Yvonne Geiger","Aurora-Sauer-Straße 55
3658 Litschau"
"Philipp Meusburger-Scherr","Hofmeisterplatz 688
4754 Rattenberg"
"Daniel Plank","Emely-Grassl-Weg 401
7537 Rust"
"Linus Schiller","Kloiberring 1
8077 Völkermarkt"
"Emanuel Jenewein","Armin-Lassnig-Platz 492
8396 Kufstein"
"Sofija Böhm","Mayerplatz 402
2806 Fehring"
"Alice Zenz","Ajna-Kager-Straße 8/1
8335 Neusiedl am See"
"Dr. Elsa Heinrich","Mike-Weiß-Straße 90
6124 Feldkirchen"
"Dr. Michaela Bauer","Heissenbergerplatz 4
5794 Ansfelden"
"Aaron Schinagl","Merlin-Steurer-Weg 66
8800 Bischofshofen"
"Pia Markl","Verena-Forster-Weg 0
3246 Waidhofen an der Ybbs"
"Alexandar Kopf","Rienerstr. 95
1968 Maissau"
"Heinrich Wurzinger","Luca-Lerch-Weg 7/5
7380 Waidhofen an der Ybbs"
"Dipl.-Ing. Juliane Dünser","Jamie-Engel-Straße 61
4162 Klosterneuburg"
"Irma Bachmann","Schöpfstraße 4
9315 Baden"
"Eduard Klinger","Neuwirthstr. 5/0
5961 Bad Aussee"
"Dipl.-Ing. Raphael Resch","Anna-Huter-Ring 46
9621 Trofaiach"
"Sam Füreder-Ullmann","Lotte-Kopf-Straße 5
4227 Drosendorf-Zissersdorf 1"
"Oskar Holzer-Reicher","Constanze-Raab-Ring 9
7556 Hardegg"
"Adam Hafner-Strasser","Grafplatz 65
7986 Freistadt"
"Roman Kreiner","Anna-Lena-Fink-Ring 027
1452 Schrattenthal"
"Ing. Linus Eichinger","Katharina-Pircher-Gasse 1
5349 Eferding"
"Armin Grasser-Grabner","Marie-Philipp-Platz 743
2150 Raabs an der Thaya"
"Amelie Sonnleitner","Krammerstraße 19
6580 Bludenz"
"Nino Tiefenbacher","Klara-Lutz-Weg 711
2305 Schärding"
"John Hutter","Schulerplatz 9
2485 Eisenstadt"
"Julian Tanzer","Bacherring 34
9225 Heidenreichstein"
"Aron Neumayr","Klinglergasse 21
1755 Innsbruck"
"Elona Mitterer-Schuster","Veronika-Nowak-Ring 982
1489 Weitra"
"Adelina Höglinger-Siegl","Stieglerstr. 031
6252 Fürstenfeld"
"Ing. Marius Kofler","Timo-Glatz-Platz 078
2751 Hardegg"
"Dipl.-Ing. Karl Gahleitner","Jan-Enzinger-Gasse 6/6
6878 Kufstein"
"Jan Hinterleitner","Kammererweg 87
2808 Bad Leonfelden"
"Aurelio Radl-Brandstetter","Ismail-Brenner-Gasse 867
3351 Steyr"
"Emil Schrempf-Kirchner","Wimmerweg 67
3560 Schwanenstadt"
"Raffaela Suppan","Pia-Barth-Straße 6
5560 Litschau"
"Pascal Schulz","Marie-Reif-Weg 6
1619 Landeck"
"Luka Zauner","Starkstr. 76
2951 Steyregg"
"Hannah Schinnerl-Vogt","Draxlerplatz 6
9386 Krems an der Donau"
"Adelina Schinagl-Wiesbauer","Paulina-Werner-Ring 72
1541 Bad Sankt Leonhard im Lavanttal"
"Leonard Schneeberger","John-Huter-Gasse 69
3720 Wörgl"
"Univ.Prof. Levi Stummer","Paula-Kloiber-Weg 11
2211 Graz"
"Emilie Stern","Krainerstr. 270
1763 Litschau"
"Louise Oberleitner","Sauerring 927
8430 Fehring"
"Bianca Schuler","Theodora-Sieber-Weg 2
2979 Marchegg"
"Ing. Aleksander Fleck","Lean-Hollaus-Weg 9/4
8677 Neulengbach"
"Clemens Draxler","Eda-Käfer-Weg 778
3611 Grein"
"Adriana Springer","Handlerstr. 5/6
3688 Sankt Valentin"
"Dora Ladner-Mark","Felix-Singer-Platz 1/0
1880 Poysdorf"
"Adrian Bock","Siena-Walder-Gasse 310
6703 Attnang-Puchheim"
"Univ.Prof. Ela Adler","Maria-Hinterberger-Platz 82
9862 Bregenz"
"Carlo Waldner","Vogtweg 63
3832 Traiskirchen"
"Darius Neumann-Wurzer","Elona-Fleischhacker-Weg 966
4389 Oberpullendorf"
"Tobias Hübner-Horak","Marijana-Herrmann-Weg 893
7981 Laa an der Thaya"
"Dr. Rosa Mayrhofer","Schrempfstr. 792
2316 Groß-Siegharts"
"Alexa Messner","Charlotte-Gollner-Platz 75
7547 Traun"
"Aleksander Rauscher-Albrecht","Schwaighoferring 052
6409 Friedberg"
"Darko Jungwirth","Isabella-Stelzl-Platz 7/3
9331 Rattenberg"
"Marcus Schuster-Pichler","Martina-Steiner-Platz 0
1261 Ybbs an der Donau"
"Adrian Pfister-Amann","Bianca-Hartmann-Platz 022
2281 Waidhofen an der Ybbs"
"Carla Stark","Rene-Krenn-Straße 72
1890 Grein"
"Lorenzo Rinner","Johanna-Köhler-Weg 8
5980 Bärnbach"
"Emma Sauer-Taucher","Annika-Pfeiffer-Gasse 327
2360 Mürzzuschlag"
"Beatrice Haberl-Handl","Miriam-Günther-Gasse 3/5
1017 Neulengbach"
"Leonhard Schuler","Müllerstr. 28
7534 Trofaiach"
"Zoe Bruckner","Eberharterweg 461
9722 Bischofshofen"
"Leon Hager","Englplatz 47
8274 Ansfelden"
"Luisa Schaller","Phillip-Kössler-Ring 439
9187 Wolfsberg"
"Oliver Heigl","Huterstraße 43
2387 Völkermarkt"
"Adrian Sturm-Radl","Bauerring 1
5057 Innsbruck"
"Timo Pacher","Reinischplatz 3
2885 Korneuburg"
"Amanda Eisl","Feichterring 9/2
9763 Laakirchen"
"Natalie Plank-Lang","Eisnerring 1/4
7506 Oberpullendorf"
"Emanuel Pichler","Pauerstraße 38
4167 Hartberg"
"Ella Fröhlich","Milan-Braun-Ring 7
2214 Salzburg"
"Dr. Amanda Trinkl","Schullergasse 1
3235 Enns"
"Zara Bösch","Hallerstr. 626
8988 Salzburg"
"Mateo Thurner","Leon-Leibetseder-Straße 5/8
5287 Bad Leonfelden"
"Leyla Jöbstl","Max-Schmidt-Platz 299
4889 Feldbach"
"Adriano Hinterleitner","Hellerplatz 8/2
2307 Lilienfeld"
"Marie-Sophie Steurer","Pascal-Kurzmann-Ring 24
2003 Zwettl"
"Dominik Niederl","Kyra-Polzer-Ring 54
2956 Schwaz"
"Cristina Böhm","Pirkerweg 265
5043 Marchegg"
"Nadja Rauch-Wiesinger","Roman-Ertl-Platz 91
8259 Ferlach"
"Dora Ecker","Sammergasse 88
9743 Zistersdorf"
