"Aaron Becker-Scheidl"	"Marta-Zehetner-Weg 454
8480 Zeltweg"
"Ing. Eleonora Hinterberger"	"Elvira-Scherr-Platz 487
5396 Deutschlandsberg"
"Lean Schreiner"	"Danglring 522
9141 Gmünd"
"Dr. Vito Nagel"	"Angelo-Göschl-Straße 67
8550 Leoben"
"Leonora Schönauer"	"Schwarzingerweg 4/4
7564 Laakirchen"
"Robin Lammer"	"Louise-Windisch-Platz 2
4462 Radstadt"
"Henri Dallinger"	"Elena-Hölzl-Platz 81
6750 Langenlois"
"Dipl.-Ing. Philip Hirsch"	"Kernring 396
4327 Innsbruck"
"Ines Gollner"	"Lionel-Eibl-Ring 272
4407 Ebenfurth"
"Univ.Prof. Carina Haindl"	"Helmstraße 6
9714 Hartberg"
"Aaron Kapeller"	"Erhartplatz 6/0
6102 Ybbs an der Donau"
"Marta Loibl"	"Larcherring 8/0
3876 Schrattenthal"
"Tiffany Adam"	"Kasperstr. 44
6638 Ternitz"
"Prof. Nikola Schindler"	"Scheiberplatz 63
5614 Wieselburg"
"Elyas Eisl"	"Annalena-Maringer-Ring 8
6275 Bad Radkersburg"
"Julia Kral"	"Jovana-Praxmarer-Weg 0
4472 Friesach"
"Natan Fiedler"	"Annabell-Strohmaier-Weg 45
8060 Altheim"
"Lorenzo Brandtner"	"Christopher-Brandstätter-Weg 2/5
6605 Gerasdorf bei Wien"
"Prof. Anna-Maria Geyer"	"Niko-Nußbaumer-Platz 4/3
9947 Feldkirchen"
"Liam Reiner"	"Alexandra-Reisinger-Straße 343
2159 Mistelbach an der Zaya"
"Aaron Ortner"	"Kunzweg 0
6005 Wolkersdorf"
"Siena Wolf"	"Liliana-Pfeffer-Gasse 1/0
5014 Murau"
"Milica Richter-Schwarzl"	"Burgstallerstraße 04
4842 Imst"
"Nathalie Klement"	"Schwarzweg 6/1
4954 Fürstenfeld"
"Sena Haslauer"	"Premplatz 48
5434 Mürzzuschlag"
"Ilias Egger"	"Valentina-Gschwandtner-Weg 734
8955 Fürstenfeld"
"Ralph Klotz"	"Maya-Dorn-Straße 3/7
3878 Weiz"
"Yasmina Lorenz-Schöffmann"	"Altmannstraße 039
2804 Zistersdorf"
"Vincent Schweighofer"	"Emilija-Kröll-Gasse 75
1191 Eisenstadt"
"Amanda Paulitsch"	"Johann-Höfler-Ring 92
9990 Linz"
"Aaron Renner"	"Thomas-Zauner-Straße 55
2700 Leibnitz"
"Rana Santner"	"Gregor-Kiss-Weg 5/3
9647 Gloggnitz"
"Jannis Bischof"	"Leo-Waltl-Ring 1
8670 Pöchlarn"
"Zoey Hartmann"	"Suppanring 6/3
5724 Oberpullendorf"
"Siena Weinberger"	"Mariella-Weninger-Gasse 3/9
2780 Bad Aussee"
"Rita Holl"	"Pfisterring 3
8857 Bad Hall"
"Sandro Klocker"	"Weningerstraße 5
8324 Wilhelmsburg"
"Stephan Dietrich"	"Mühlbergerplatz 4/8
8295 Gmünd"
"Ing. Stephan Füreder"	"Carina-Kirschner-Ring 180
1927 Klagenfurt"
"Ing. Niko Baumgartner"	"Lionel-Gratzer-Straße 44
7895 Wiener Neustadt"
"Aaron Stock"	"Verena-Haumer-Gasse 2
9070 Perg"
"Stephanie Grüner"	"Eichingerplatz 6/2
8579 Spittal an der Drau"
"Jonas Sailer"	"Soraya-Scherz-Straße 2/8
7015 Kapfenberg"
"Prof. Jacob Reiner"	"Bittnerstr. 090
9174 Straßburg"
"Alma Farkas-Mark"	"Erlacherring 7/7
8541 Bärnbach"
"Yasmina Reicher"	"Jahnplatz 1/8
8811 Klagenfurt"
"Damian Höfer"	"Violetta-Köck-Ring 701
6959 Knittelfeld"
"Tom Stocker"	"Koglerstr. 799
2067 Drosendorf-Zissersdorf 1"
"Ing. Laureen Neureiter"	"Sofia-Taferner-Ring 826
3379 Gleisdorf"
"Jannik Meyer"	"Schmuckweg 94
5591 Klagenfurt"
"Adam Neumann"	"Sagmeistergasse 35
9782 Trofaiach"
"Laurenz Kainz"	"Reinthalerweg 1/8
8715 Bad Radkersburg"
"Marcel Grüner"	"Dannerplatz 1/5
4583 Hainfeld"
"Emma Grill-Mathis"	"Greinerring 0
5476 Bleiburg"
"Natan Leitgeb"	"Ringhofergasse 1/4
8894 Landeck"
"Nina Hauer"	"Streicherstr. 6
8459 Stockerau"
"Laetitia Steindl"	"Neureiterstr. 57
1161 Steyr"
"Dr. Levi Gratz"	"Heidi-Kröll-Gasse 9
7100 Schwaz"
"Aurelio Frick"	"Ismail-Fritsch-Weg 1
4707 Enns"
"Dr. Sabrina Schönauer"	"Kyra-Koller-Ring 1
8241 Althofen"
"Adam Schneider-Salzer"	"Buchingerstr. 8/0
4092 Zistersdorf"
"Selina Erber"	"Emilie-Gahleitner-Platz 72
7611 Drosendorf-Zissersdorf 1"
"Carlo Ackerl"	"Nicolai-Hufnagl-Straße 737
5778 Lienz"
"Raphael Putz"	"Eichingergasse 530
7693 Herzogenburg"
"Ing. Anja Kunz"	"Aignerstraße 546
2881 Deutschlandsberg"
"Nicolas Günther"	"Doblerplatz 3/3
6659 Wieselburg"
"Ing. Cornelius Ecker"	"Schönring 55
1767 Hardegg"
"Steven Pilz"	"Hartlweg 712
2988 Sankt Johann im Pongau"
"Linda Grünberger"	"Pendlring 5
5955 Neulengbach"
"Ismail Griesser"	"Bürgerplatz 070
8231 Schrattenthal"
"Adam Stelzl"	"Liam-Stefan-Ring 2
6571 Gföhl"
"Elisa Lutz-Freitag"	"Riederplatz 939
8774 Groß-Enzersdorf"
"Dipl.-Ing. Emilija Freudenthaler"	"Schweigerstraße 4/3
2488 Raabs an der Thaya"
"Kristina Wagner"	"Lindnerstr. 1
1832 Altheim"
"Raphael Hörmann-Biedermann"	"Steurerweg 1
9523 Bischofshofen"
"Nora Neuner-Kopp"	"Thallerstraße 620
3324 Stadtschlaining"
"Adriano Riedler"	"Mairhofergasse 1/9
5644 Schwaz"
"Konstantin Lerch"	"Sebastian-Hinterberger-Gasse 1/1
1431 Heidenreichstein"
"Severin Kraus"	"Seiserplatz 09
2138 Sankt Valentin"
"Anna Kaltenegger"	"Jonathan-Kraus-Weg 55
9709 Korneuburg"
"Adelina Gamsjäger-Schröder"	"Nadine-Neuhold-Gasse 658
8692 Innsbruck"
