"Aaron Kälin","Staufferstrasse 96
5052 Val-de-Travers"
"Aurel Herzog","Probststrasse 4
8930 Kreuzlingen"
"Eugenio Lüscher","Mäderstrasse 50
4773 Zollikofen"
"Suzanne Hafner","Kälinstrasse 2
6459 Köniz"
"Burim Gut","Hotzstrasse 94
1403 Münsingen"
"Zuzana Schär","Bolligerstrasse 191
6862 Versoix"
"Dr. Balz Näf","Siegriststrasse 47
4733 Zofingen"
"Hildegard Stalder","Kohlerstrasse 94
1509 Olten"
"Lydie Schweizer","Kägistrasse 46
8392 Martigny"
"Cinzia Bieri","Studerstrasse 51
2757 Thalwil"
"Abdullah Isler","Zinggstrasse 98
6382 Maur"
"Timon Portmann","Zieglerstrasse 52
2155 Olten"
"Silvan Kern","Ammannstrasse 87
3948 Neuenburg"
"Prof. Idriz Stocker","Fehrstrasse 94
7977 Arbon"
"Leyla Ott-Mäder","Knechtstrasse 54
5183 Kreuzlingen"
"Dr. Enes Gfeller","Tannerstrasse 14
6129 Pfäffikon"
"Silvia Bühler Friedli","Hodelstrasse 52
3031 Morges"
"Jutta Knecht","Wirthstrasse 854
5115 Wetzikon"
"Edith Hirt","Wengerstrasse 20
2601 Emmen"
"Nino Widmer","Mettlerstrasse 6
9644 Allschwil"
"Abel Lanz","Stuckistrasse 5
9865 Grenchen"
"Jérôme Ziegler","Walderstrasse 57
6754 Münchenstein"
"Siro Arnold","Steinerstrasse 25
3132 Baar"
"Tomasz Zingg","Schumacherstrasse 39
9055 Stäfa"
"Wendy Kaufmann","Schürchstrasse 61
1095 Einsiedeln"
"Sophie Steiger","Herzogstrasse 81
3187 Münchenstein"
"Mahmoud Arnold","Brunstrasse 17
4011 Versoix"
"Marianna Hoffmann Ferrari","Wagnerstrasse 35
8823 Langenthal"
"Susana Gross","Sennstrasse 3
2804 Glarus"
"Predrag Tobler","Wehrlistrasse 62
4342 Liestal"
"Achim Hunziker","Grobstrasse 96
6819 Liestal"
"Sinisa Forster","Islerstrasse 63
8646 Le Grand-Saconnex"
"Sofia Furrer","Bachmannstrasse 55
6792 Bülach"
"Nina Arnold","Eglistrasse 2
5039 Horgen"
"Antonella Moser","Probststrasse 22
1487 Lancy"
"Christophe Ritter","Braunstrasse 26
7620 Biel/Bienne"
"Gerlinde Kohler","Hotzstrasse 509
6918 Genf"
"Jolanda Tobler","Staubstrasse 89
1441 Maur"
"Ana Bühlmann Schmidt","Itenstrasse 80
4686 Baar"
"Sven Häfliger","Grafstrasse 4
3929 Zürich"
"Ada Maier","Schärerstrasse 1
3822 Yverdon-les-Bains"
"Skender Hofer","Zimmermannstrasse 7
5639 Aesch"
"Pia Bühler","Rothstrasse 43
9987 Davos"
"Danilo Arnold","Gfellerstrasse 877
2473 Küssnacht"
"Iva Marti","Fankhauserstrasse 57
1465 Hinwil"
"Mina Müller","Hürlimannstrasse 247
1140 Kloten"
"Joséphine Wettstein","Kochstrasse 24
7458 Bulle"
"Eloïse Bühlmann","Eglistrasse 5
2949 Münsingen"
"Marie-Louise Zbinden","Studerstrasse 79
1173 Oberwil"
"Alexander Schoch","Schumacherstrasse 907
1566 Lausanne"
"Ada Schwarz","Vogelstrasse 18
4296 Glarus"
"Kujtim Wolf","Ritterstrasse 70
4969 Kreuzlingen"
"Marlise Peter","Mettlerstrasse 50
9880 Winterthur"
"Julia Kuhn","Winklerstrasse 33
8635 Kloten"
"Alison Berger","Wengerstrasse 33
6071 Münchenstein"
"Andrzej Maurer","Wegmannstrasse 2
8206 Lutry"
"Antoine Peter","Schärstrasse 757
8713 Spiez"
"Bruno Braun","Christenstrasse 615
9995 Schwyz"
"Maddalena Wehrli","Wettsteinstrasse 2
5435 Pully"
"Kai Meili","Sigriststrasse 96
5307 Steinhausen"
"Ada Stadelmann Grob","Fischerstrasse 85
4142 Riehen"
"Yannick Fischer","Bühlerstrasse 33
8009 Bernex"
"Ann Benz","Martinstrasse 70
4718 Renens"
"Mariangela Kunz","Schmidstrasse 1
4235 Genf"
"Gilles Steiger","Fuchsstrasse 56
6976 St. Gallen"
"Konstantin Spörri","Scheideggerstrasse 3
1735 Liestal"
"Joanna Schuler","Betschartstrasse 47
3394 Spreitenbach"
"Luljeta Wenger Gross","Scheideggerstrasse 63
9926 Delsberg"
