"Aaliyah Ritchie"|"467 Korokawa Anchorage
Smithleigh 6493"
"Timothy Lee"|"237 Peter Flats
Gulleryhaven 1204"
"Rebecca Anderson"|"Level 3
5 Taungauru Cove
Johansentown 5163"
"Ian Faulkner"|"62 Tangikoro Line
Whangawharehoro 5247"
"Christopher Berry"|"2 Pedersen Way
Ianstone 2323"
"Caitlin Wilkinson-Adams"|"Apt. 381
20 Rongomotumaunga Flats
Clarke Flats 8184"
"Joseph O'Keefe-Andrew"|"541 Low Causeway
Ngaurukiwi 9729"
"Adrienne Barnett"|"17 Holland-Williamson Range Road
Kowhaimata 8591"
"Jennifer Scott"|"Unit 39
1 Taumaunga Street
High Brownport 2541"
"William Beattie"|"886 Nicholson Road
Terenui 8107"
"Aaron Burton"|"93 Tangimokowhaka Corner
Sinclairgate 9208"
"Georgia McIntyre"|"87 Whangapapapa Highway
RD 7
Rongohope 8153"
"Peter Terry-Harper"|"143 Whakamoko Quay
Andersonmouth 6995"
"Andrew Smith"|"PO Box 10
Fullermouth 8566"
"Suzanne Small-McFarlane"|"40 Burns Ridge
RD 8
Manawamata 2524"
"William Hood"|"513 Dalton Causeway
RD 9
South Jonesbury 6120"
"Christopher Robson"|"PO Box 5
Tahinui 8848"
"David Hood"|"56 Pedersen-Rowe Point
Howardleigh 5303"
"Jessie Pope"|"800 Taylor Copse
Reidleigh 5591"
"Ellie Campbell"|"310 Rohewekahoro Street
Pokiwi 8553"
"Aaron Cook"|"2 Matthew Anchorage
Awatai 1833"
"Archie Kerr"|"550 Whangawainuku Road
Awamotu 6126"
"Jeremy Pearson"|"438 Brown Street
Manawangauru 6113"
"Vanessa Smith-Perry"|"899 Taitahiiti Way
RD 8
Rohewhare 5364"
"Mason Hills"|"2 Wekamakau Trail
Kendallgate 9204"
"Jacob Jefferies"|"498 Boyce Quay
Larsenneath 5884"
"Robert Prouse"|"11 Morris Crescent
Aramakau 1298"
"Kora Berry"|"72 Rangikawamakau Heights
Rongopuke 2329"
"Richard Dillon-Goodwin"|"690 Rangiroto Way
Campbellton 9890"
"Samuel McKay"|"5 Peter Avenue
Stewartmouth 9843"
"Aaron Harris"|"Flat 72
4 Wakanui Place
McEwenborough 9626"
"Noah Crawford"|"40 Oliver Rise
Patersonfort 4988"
"Sarah Mitchell"|"927 Gullery-Gardner Beach Road
RD 8
Manawahanga 1570"
"Peter Gore-Hyde"|"PO Box 4
Hopkinsneath 2633"
"Jacqueline Johnston"|"244 Horopapapa Street
Woodleigh 8675"
"Sarah Thornton"|"30 Elizabeth Terrace
Smithstone 5864"
"Tyler Stevens"|"913 Guard Drive
Moturangipapapa 2026"
"James Allen"|"6 Wharewekanui Ridge
Chambersborough 8190"
"Lorraine Lloyd"|"187 Gray Street
Haywardburn 2324"
"Joel Taylor"|"186 Whangakorowhitu Keys
Matamaunga 0445"
"Aaron Jones"|"2 Tipumokorongo Terrace
Smithbury 5201"
"David Warren"|"Flat 27
4 Wakaaraweka Line
Jessehaven 6125"
"Steven Ward"|"97 Susan Street
Koronui 2372"
"Brandon O'Connell"|"Flat 24
1 Kowhairangi Lane
Graemeleigh 9033"
"Margaret Duncan"|"PO Box 589
Rohewhakawhanga 9236"
"Emily Law-Moody"|"801 Campbell Access
RD 8
Taikawa 8627"
"Stacey Thomas-Rodgers"|"423 Weston-Elliott Road
Smithneath 1291"
"Barry Craig-Rodgers"|"7 Chambers View
RD 9
Smartberg 6198"
"Ruby Shaw"|"889 Elizabeth Crossing
Whakatauhanga 2402"
"Renee Andrew"|"200 Higgins Avenue
Brenda Hill 5830"
"Aaron Stevens"|"Unit 25
7 Doyle Terrace
Matamotutahi 1290"
"Frances Fowler"|"1 Matthews Beach Road
Mount Stoneland 2299"
"Dianne Guard"|"90 Tereiti Flats
South Andrewneath 2077"
"Russell Hills"|"588 Mokowekanui Rise
Terepapapa 9619"
"Kyle Holmes"|"PO Box 606
Tipukoro 4243"
"Jason Bull"|"84 Tipumatamaunga Heights
Chambersmouth 5507"
"Taylor Joe-Adams"|"Level 7
8 Whyte Avenue
Humemouth 5594"
