"Aada Andersson"	"Hannukselankuja 91
81292 Kivijärvi"
"Maija Salmela"	"Saanatunturinkuja 59
17706 Parikkala"
"Orvokki Lankinen"	"Degermosankatu 2
45686 Mustasaari"
"Tapio Hämäläinen"	"Sahaajantie 41
17033 Kitee"
"Elisabeth Nurmi"	"Bertha Pauligin katu 60
42186 Pudasjärvi"
"Aleksandra Kukkonen-Hirvonen"	"Kimmonkuja 20
05688 Kotka"
"Heidi Nurmi"	"Ilvesbulevardi 7
90239 Riihimäki"
"Kari Saarinen"	"Zaidankatu 4
66787 Eurajoki"
"Maarit Laitinen"	"Caloniuksenkuja 5
36172 Pälkäne"
"Marjatta Korhonen"	"Nervanderinbulevardi 819
78536 Raasepori"
"Aada Järvinen"	"Kiitäjänpolku 7
67389 Siikalatva"
"Juhani Salminen"	"Puroniityntie 7
02934 Saarijärvi"
"Olavi Heikkilä"	"Vellikellonkatu 12
84765 Eurajoki"
"Uolevi Vuorela-Mäkelä"	"Vellikellonbulevardi 15
00088 Liminka"
"Eija Kuusisto"	"Haahkapolku 8
64217 Enonkoski"
"Kalervo Hietala"	"Tahtibulevardi 723
99335 Kirkkonummi"
"Tapio Rantanen"	"Franzéninpolku 22
37044 Suomussalmi"
"Kalevi Lindroos"	"Uunisepänpolku 99
28736 Brändö"
"Tellervo Hyvönen"	"Uussillankuja 66
12010 Pöytyä"
"Harri Seppänen"	"Bertha Pauligin bulevardi 43
73462 Forssa"
"Aapo Hyvärinen"	"Laurinniitynbulevardi 103
04406 Kärsämäki"
"Kristiina Pitkänen"	"Maasalonbulevardi 541
39514 Ylivieska"
"Maria Tolvanen"	"Tuohikoivunbulevardi 103
66012 Valtimo"
"Emilia Hänninen"	"Sapilastie 40
14266 Helsinki"
"Toni Jussila"	"Maapadonkuja 414
01931 Varkaus"
"Sinikka Leinonen"	"Louhentie 4
59820 Lapua"
"Aleksi Lehto"	"Biologintie 83
45067 Mäntyharju"
"Amanda Tiihonen-Saastamoinen"	"Bergankuja 2
53343 Alavieska"
"Ensio Niskanen"	"Hankasuonkuja 6
34224 Kalajoki"
"Martti Mikkola"	"Orisaarenbulevardi 535
07531 Kökar"
"Aapo Tervo-Salonen"	"Versokatu 35
75355 Pomarkku"
"Anneli Lepistö"	"Veropellonbulevardi 6
34977 Kauniainen"
"Essi Hiltunen-Karjalainen"	"Wäinö Aaltosen katu 51
79578 Savitaipale"
"Juhani Hyvönen"	"Gotlannintie 490
67284 Kyyjärvi"
"Iiris Mikkonen"	"Jägerhorninkuja 04
45661 Laitila"
"Petteri Leinonen"	"Gadolininbulevardi 6
04224 Merijärvi"
"Juha Mattila"	"Zaidanpolku 429
41863 Kontiolahti"
"Aaron Juntunen"	"Harakkamyllynbulevardi 28
35755 Kärsämäki"
"Johanna Kujala-Peltonen"	"Saramäenkuja 40
96004 Sysmä"
"Tuija Rytkönen-Jalonen"	"Vesakkopolku 92
49732 Lapua"
"Aarne Karjalainen"	"Biologinkuja 801
58996 Kustavi"
"Oskari Takala"	"Hankasuonkuja 0
02817 Ilmajoki"
"Ellen Anttila"	"Damaskuksenpolku 748
73451 Raisio"
"Raimo Kyllönen"	"Degermosanbulevardi 71
09457 Lappeenranta"
"Maarit Moisio"	"Kolsinkuja 4
61622 Hankasalmi"
"Juhani Salmi"	"Werner Wirénin kuja 40
87615 Loppi"
