"Albina Barišić","Jurkovićeva 7
44983 Rovinj"
"Mia Halambek","Mihaljevac 7b/4
84378 Varaždinske Toplice"
"Đurđica Boljkovac","Mesnička 070
06721 Križevci"
"Dalibor Boban","Kaptol 8a/1
76337 Mali Lošinj"
"Zdenka Trutanić","Splavnica 3a/0
35676 Pleternica"
"Mislav Rogošić","Novi Goljak 252
98814 Nova Gradiška"
"Jadranka Čiš","Šalata 1c/4
36858 Novi Vinodolski"
"Josip Čuljak","Vijenac 5c
74363 Trilj"
"Robert Tisaj","Višnjica 8b
73276 Vrbovsko"
"Martin Jurković","Dvoranski prečac 1c/7
52837 Sveta Nedelja"
"Albina Bunčić","Voćarsko naselje 1
49068 Rovinj"
"Zlatko Odobašić","Splavnica 1b/0
19869 Mursko Središće"
"Branko Radojković","Opatovina 0
36922 Labin"
"Darko Kahlina","Klesarski put 3b/6
53943 Knin"
"Branka Ćosić","Klesarski put 7c/4
74982 Šibenik"
"Milka Maloča","Zelengaj 7b/5
23934 Krk"
"Marin Kuveždić","Zmajevac 7a/4
59932 Vrbovec"
"Mato Požega","Kamaufova 4b/8
38860 Hvar"
"Maria Rukavina","Pod zidom 1c/1
18573 Lipik"
"Marijan Živković","Mihaljevac 26
03484 Stari Grad"
"Albina Gregov","Petrova 2b
81846 Senj"
"Dragutin Čop","Hercegovačka 3c
32687 Glina"
"Mateo Radolović","Paunovac 1c
31804 Umag"
"Maja Andrašek","Klesarski put 5b
89593 Zaprešić"
"Mateja Mikulčić","Krvavi most 9c/3
53656 Šibenik"
"Niko Ribarić","Dubravkin 5b/6
12928 Ludbreg"
"Maja Kokanović","Ilica 460
40152 Krk"
"Igor Sokač","Jabukovac 1
53223 Čazma"
"Danijela Abičić","Mletačka 8
44211 Zadar"
"Marijan Miletić","Višnjičke 6a/8
49005 Mursko Središće"
"Albina Knežević","Horvatovac 173
31012 Đakovo"
"Mara Perkov","Kraljevečki ogranak 95
11196 Našice"
"Ema Prtenjača","Podgaj 189
25362 Labin"
"Mile Čudić","Cmrok 4
02981 Nin"
"Romano Ivšić","Mirogojska 3b/8
80768 Vukovar"
"Valter Gudelj","Vrazovo šetalište 6c
40329 Poreč"
"Stana Šibalić","Mala 0c/1
58430 Crikvenica"
"Katarina Ćosić","Demetrova 381
69984 Vinkovci"
"Ilija Klarić","Istarska 5b
04759 Vinkovci"
"Gordana Didović","Perivoj srpanjskih žrtava 35
54465 Novi Vinodolski"
"Albina Kresonja","Krležin gvozd 3a/3
09744 Vis"
"Đurđica Vaci","Zeleni dol 1b/0
90394 Pazin"
"Mateja Batrac","Strossmayerovo šetalište 6
91868 Vinkovci"
"Martina Jurić","Cmrok 0a
96414 Donja Stubica"
"Nevenka Staničić","Bakačeva 9a/0
30674 Sisak"
"Sanja Gelemanović","Zamenhofova 516
38119 Pakrac"
"Nika Kuščević","Visoka 5
88894 Kaštela"
"Joško Ukić","Klenovac 7c
12336 Ivanić-Grad"
"Tomo Marić","Splavnica 6a/9
47969 Dubrovnik"
"Katarina Hranj","Voćarsko naselje 7a/6
20849 Kutjevo"
"Albina Pikec","Zavojna 878
20240 Ludbreg"
"Dušan Barešić","Ksaverska 7c/2
76914 Beli Manastir"
"Mara Tomić","Zamenhofove 8a/8
69095 Novigrad"
"Andrea Kokorić","Kurelčeva 6a
91996 Ivanić-Grad"
"Erik Dujmović","Medvedgradska 752
75080 Vis"
"Mislav Šipek","Srebrnjak 701
93478 Vodnjan"
"Karla Raguž","Nova Ves 596
38110 Vinkovci"
"Đurđica Rajčić","Opatička 1b/2
16557 Glina"
"Boris Salopek","Dvoranski prečac 6a
83550 Virovitica"
"Martina Cvetnić","Jurjeve 5a/7
69699 Imotski"
"Albina Radolović","Kozarčev vijenac 9b
19892 Makarska"
"Goran Ivančan","Kaptol 224
83205 Bjelovar"
"Katica Kostanić","Ljubinkovac 1
87043 Ozalj"
"Ana Jukić","Kraljevec II. 73
34846 Grubišno Polje"
"Kata Cukon","Radnički dol 532
71317 Gospić"
"Antonio Pavičić","Kapucinske 6c
03353 Belišće"
"Davor Modrić","Vrazovo šetalište 4b
07559 Krapina"
"Rozalija Stražičić","Kraljevečki odvojak 7a/9
01138 Mursko Središće"
"Anđa Crnković","Zmajevac 6a/8
92004 Zaprešić"
"Željka Perkov","Kraljevečki odvojak 60
74179 Benkovac"
"Albina Smolić","Dolac 3c
33839 Dugo Selo"
"Mirjana Botić","Goljak 7c/3
32227 Glina"
"Mira Hardi","Jabukovac 80
94844 Koprivnica"
"Biserka Brezjan","Bijenička 17
01870 Hvar"
"Zoran Lukinić","Ribnjak 9b/0
14620 Hvar"
"Štefanija Žugec","Slavujevac 45
85937 Vukovar"
"Darko Kramarić","Goljak 7b/4
46289 Našice"
"Kate Gržinčić","Goljačke 4a/7
26704 Zabok"
"Mladen Bungić","Višnjičke 5c/5
42286 Koprivnica"
"Marin Štimac","Višnjica 1b
98813 Mursko Središće"
"Albina Stipanović","Kurelčeva 2c/0
12974 Ivanić-Grad"
"Nikša Nižetić","Jurjeve 0b/3
77179 Zagreb"
"Roko Borojević","Remetska 3a/1
17104 Buje"
"Robert Matković","Višnjica 6c/7
02535 Daruvar"
"Albina Buljan","Cmrok 30
52909 Čazma"
"Andrea Županić","Mala 9a/3
20175 Šibenik"
"Mia Vukušić","Kurelčeva 5b
34466 Novigrad"
"Mario Vaci","Kamenita 9b/7
86873 Novigrad"
"Dalibor Šipić","Radnički dol 6b
84001 Popovača"
"Matea Viljevac","Lisinskoga 8a/9
79286 Vodice"
"Aldo Bačić","Jurišićeva 8
57404 Petrinja"
"Niko Filipčić","Višnjičke 0b/8
30317 Novigrad"
"Dalibor Ilinović","Gornje Prekrižje 8c/8
91655 Zlatar"
"Pavao Harapin","Čačkovićeva 8c/9
79762 Koprivnica"
"Mateo Tomljanović","Jadranska 7
80912 Velika Gorica"
"Ema Čuček","Slavujevac 0b/9
47763 Pazin"
"Eva Bušljeta","Streljačka 749
35205 Makarska"
"Barica Halambek","Gupčeva zvijezda 1c/0
78937 Glina"
"Božena Vižintin","Zvonarnička 4a
00375 Supetar"
"Saša Turina","Medveščak 8a/5
09028 Ploče"
"Aldo Kostelac","Jurjeve 6
35179 Pregrada"
"Mladen Jagarinec","Krležin gvozd 7a
76093 Kraljevica"
"Nina Pongrac","Šestinski vrh 8c/0
95165 Vodnjan"
"Jure Leščić","Svibovac 98
17353 Vukovar"
"Ante Matošević","Vončinina 871
92169 Opuzen"
"Mateo Kuveždić","Vrazovo šetalište 8c
82072 Opatija"
"Joso Kukučka","Mirogojska 34
61278 Drniš"
"Nikola Pavić","Jezuitski trg 930
26203 Glina"
"Matija Jagečić","Remetska 7c
85794 Pleternica"
"Antonio Meić","Klesarski put 7
60341 Opuzen"
"Aldo Krčelić","Čačkovićeva 3c/3
22786 Zadar"
"Mladen Dragičević","Krvavi most 3c/4
75134 Vrgorac"
"Albina Šoštarić","Hercegovačka 5a
72376 Petrinja"
"Danijel Bolčević","Lisinskoga 34
22370 Prelog"
"Zdravko Barušić","Zelengaj 2b/0
78206 Pazin"
"Jozo Lasić","Magdićeve 95
06996 Sveti Ivan Zelina"
"Nevenka Car","Kraljevečki odvojak 8c
95770 Vukovar"
"Vlado Đurašević","Kamenjak 1b/8
35628 Buzet"
"Janko Vrabelj","Paunovac 7c/6
09398 Hrvatska Kostajnica"
"Domagoj Ciganović","Mihaljevac 1c/6
77159 Zaprešić"
"Aldo Liović","Kamenita 6b
46895 Drniš"
"Anita Maržić","Zvonarnička 9c
85266 Belišće"
"Mateo Ćosić","Zavojna 5b
73499 Slatina"
"Ljiljana Martinčević","Jabukovac 0b/4
75487 Stari Grad"
"Vesna Rađenović","Rockefellerova 6b/0
16932 Gospić"
"Milan Perišić","Višnjica 6c
46997 Sveta Nedelja"
"Fuma Radošević","Ksaverska 9b/4
70789 Novska"
"Vlado Jurković","Mlinovi 32
95665 Umag"
"Milica Fabijanić","Mlinske 4c
85120 Rijeka"
"Ivka Žiković","Vijenac 2b/5
58875 Trilj"
"Aldo Miletić","Harmica 5b/4
60530 Umag"
"Ilija Nimac","Zmajevac 9
04722 Zabok"
