"A. Fehér Gábor","Kereszthidai utca 215.
H-1269 Dunakeszi"
"Dr. Soós Alexandra","Kistapolcai utca 78.
H-5551 Dunaújváros"
"Horváth Anna","Fürdőházai utca 59.
H-8551 Alsóhátdevecser"
"V. Sipos Erzsébet","Pusztaszéki utca 240.
H-8389 Hajdúfürdővára"
"Nagy I. Roland","Szabadság utca 27.
H-7412 Dunaújváros"
"Dr. Máté Attila Tibor","Győri utca 199.
H-6434 Belsőmellékbánya"
"Prof. Dr. Farkas J. Sándor","Drávatamásii utca 8.
H-5434 Felsőtótkövesd"
"Dr. Sipos Károly László","Ceglédi utca 176.
H-4806 Nagymártonharaszti"
"Barna Gulyás István","Szigetszentmiklósi utca 249.
H-6970 Alsógyörgybánya"
"Kovács T. Mátyás","Mindszentnádasdi utca 242.
H-6930 Tapolcakövesd"
"A. Juhász Edina","Bajai utca 11.
H-8917 Hajdútóthida"
"Szabóné Gál Irén","József attila tér 122.
H-3920 Érd"
"Dr. Váradi Fazekas Laura","Ady endre utca 113.
H-9955 Mosonmagyaróvár"
"Ballané Kiss Éva","Rácligeti utca 58.
H-6647 Bácstamásiberény"
"Nagyné Bálint Julianna","Bakonyligeti utca 121.
H-7518 Borsoddevecser"
"Farkas Andrea Erzsébet","Mezőtóti utca 26.
H-8679 Mártondevecser"
"Dr. Kelemenné Pataki Julianna","Fürdőfalui utca 18.
H-4986 Baja"
"Mészáros Istvánné Kovács Anna","Nagykanizsai utca 42.
H-3825 Mezőhetvenvég"
"Dr. Tóth Istvánné","Újtóti utca 27.
H-1535 Széknémeti"
"Kovács István Andor","Ady endre út 100.
H-8962 Hetvenvárad"
"A. Katona Klára","Bakonytapolcai utca 192.
H-1940 Bácstapolcavára"
"Pintér Györgyné Szabó Mária","Szolnoki utca 189.
H-5753 Hódmezővásárhely"
"Dr. Barna Imrené Oláh Andrea","Mellékapátii utca 126.
H-2920 Borsodmellékapáti"
"Dr. Rácz Attilané","Nagykanizsai tér 22.
H-7977 Vácmellékfa"
"A. Illés Gyula","Ceglédi tér 184.
H-5890 Pilishátnádasd"
"Horváth R. Máté","Kossuth utca 73.
H-3363 Szerbligetfalva"
"Kisné Bodnár Ildikó Alexandra","Petőfi sándor út 147.
H-5978 Érd"
"N. Németh Dániel","Tótváradi út 147.
H-8630 Oroszmindszentfa"
"Z. Varga Mária","Kossuth út 88.
H-7034 Fürdőháza"
"Szabó Ádámné","Somogytapolcai utca 32.
H-9315 Drávatótkőrös"
"A. Kovács Szilvia","Petőfi utca 238.
H-2276 Pilismellékfalva"
"Dr. Székely Balázsné","Kecskeméti utca 8.
H-8515 Borsodszékfalva"
"Katona F. Béla","Lajostamásii utca 156.
H-9678 Mátrahídfalva"
"Dr. P. Németh Csaba","Tótkövesdi út 215.
H-2487 Borsodszékvára"
"Dr. Kovács Luca Rozália","Budatóti utca 250.
H-9440 Györgynádasd"
"Dr. Kovácsné Nagy Emma","Oroszszéki utca 44.
H-9805 Borsodfürdővég"
"Szabó Tóth Szilveszter","Tóthalasi tér 89.
H-5990 Fürdővég"
"Nagyné Nagy Gabriella","Borsodligeti utca 8.
H-4281 Mindszentháza"
"Szabóné Dr. Szabó Ilona","Hídházai tér 168.
H-1878 Borsodgyörgyvárad"
"Németh L. János","Egyházasmártoni utca 57.
H-7886 Ózd"
"A. Kovács Ágnes","Mellékfalvai utca 170.
H-8252 Debrecen"
"Kiss Ilona Irén","Szabadság utca 60.
H-6186 Tapolcaberény"
"Varga Simon Sándor","Bakonytóti utca 109.
H-8118 Hajdútamásifa"
