"A. Antal András"|"Törökligeti utca 40.
H-1287 Szeged"
"Dr. Sándor Viktorné Balogh Petra"|"Váradi utca 45.
H-9085 Debrecen"
"Kiss Kovács Ilona"|"Váci utca 113.
H-3342 Mellékfalu"
"Pataki Dániel János"|"Pusztai út 14.
H-5222 Dunaújváros"
"M. Máté Piroska"|"Tótkőrösi utca 143.
H-6802 Bakonymindszentapáti"
"Dr. Molnár Balla Mária"|"Györgyfalvai út 166.
H-4818 Nagykanizsa"
"Tóth Orsolya"|"Tamásikőrösi utca 61.
H-4709 Cegléd"
"Dr. Kovács Tünde Jázmin"|"Nyékhídi tér 51.
H-2932 Alsótamásibánya"
"Dr. Jakab Bélané Nagy Gizella"|"Szolnoki tér 139.
H-9360 Székháza"
"Kisné Dr. Dudás Edit"|"Rácfürdői utca 162.
H-9788 Szolnok"
"A. Farkas Ilona"|"Fürdőkőrösi tér 157.
H-4726 Hetvenkövesd"
"Némethné Prof. Dr. Kovács Gizella"|"Béke út 9.
H-9854 Veszprém"
"Dr. Rácz T. Béla"|"Hetvenvárai tér 237.
H-2253 Töröktamásifalu"
"Dr. T. Szűcs Erika"|"Kossuth út 221.
H-3493 Mellékbánya"
"Dr. Nagy D. László"|"Salgótarjáni utca 105.
H-7764 Apáti"
"Baloghné Dr. Kiss Edit Beáta"|"Petőfi sándor út 135.
H-7179 Györgyhida"
"Oroszné Fazekas Nikolett Györgyi"|"Salgótarjáni utca 6.
H-5205 Mellékvára"
"Horváth Noémi Krisztina"|"Nyírkereszti utca 52.
H-8627 Lajoskeresztnémeti"
"Horváth M. Mária"|"Keresztbányai utca 195.
H-7656 Cegléd"
"Dr. A. Molnár Zsuzsanna"|"Ózdi utca 193.
H-5389 Cegléd"
"A. Jakab Mária"|"Rácfürdői utca 84.
H-8249 Belsőhátvárad"
"Horváth J. Petra"|"Kecskeméti utca 9.
H-1240 Budatapolcahida"
"Dr. Takács Gáborné"|"Töröktamásii utca 249.
H-1757 Tótvár"
"Horváth Győző"|"Szabadság utca 13.
H-9667 Györgyvára"
"Dr. Farkas Leventené"|"Béke utca 70.
H-2213 Mátratótberény"
"Dr. Vargané Sárközi Magdolna Vivien"|"Egyházasmelléki utca 203.
H-5306 Mezőtapolcafalva"
"Dr. S. Szőke Géza"|"Dózsa györgy utca 149.
H-2200 Tótvár"
"Balogh Bencené Kovács Nóra"|"Borsodtóti tér 168.
H-7607 Nagyhídapáti"
"Bognár É. Ágnes"|"Mártonfalvai utca 80.
H-4733 Székháza"
"Dr. Fehér Lászlóné"|"Soproni utca 143.
H-5759 Szeged"
"A. Juhász István"|"Hídvégi utca 107.
H-2687 Némettótkőrös"
"V. Papp Irén"|"Pusztamártoni út 164.
H-3139 Tamásihida"
"Dr. Bogdán Péterné"|"Ceglédi utca 80.
H-2856 Kecskemét"
"Kelemen Ferenc Árpád"|"Fürdőfai tér 209.
H-8907 Tamásikőrös"
"Dr. M. Varga Zoltán"|"József attila tér 69.
H-2371 Szigetszentmiklós"
"Dr. Kissné Szabó Mónika"|"Václigeti utca 244.
H-7017 Felsőmindszentberény"
"Németh Rozália"|"Soproni utca 59.
H-8310 Nagykanizsa"
"Dr. Papp Mártonné Pál Andrea"|"Drávatóti utca 183.
H-7342 Fürdőnádasd"
"Varga Ildikó"|"Györgyberényi utca 146.
H-3577 Somogykeresztkőrös"
"Váradi Kiss Sándor"|"Bácstóti utca 66.
H-3969 Zalaegerszeg"
"A. Kiss Erzsébet"|"Szabadság utca 46.
H-3525 Nagytamásikőrös"
"Gulyás János József"|"Nagykanizsai utca 198.
H-9140 Salgótarján"
"Kovács Miklós"|"Dunakeszii tér 209.
H-9051 Tótnádasd"
"Szücs Tóth Kristóf"|"Mellékhidai utca 190.
H-9725 Tamásivárad"
"Tóth Erzsébet"|"Petőfi sándor utca 243.
H-7516 Kecskemét"
"Dr. Horváth Anikó Terézia"|"Nádasdi utca 192.
H-5154 Felsőgyörgyfalu"
"Némethné Lakatos Gizella"|"Pécsi utca 248.
H-8370 Mindszentfalva"
"Dr. Budai Gáborné Kocsis Ildikó"|"Petőfi sándor utca 4.
H-2240 Felsőtótberény"
"Prof. Dr. Barna E. Erika"|"Ligetdevecseri utca 226.
H-4254 Székesfehérvár"
"Biró József"|"Hídhalasi utca 11.
H-4885 Salgótarján"
"A. Kiss János"|"Mosonmagyaróvári utca 4.
H-7155 Németmártonvára"
"Dr. Takács Fanni Judit"|"Györgynémetii utca 149.
H-3148 Tamásivár"
"Szabó Gizella Mária"|"Bajai utca 132.
H-2218 Vác"
"Fazekas Varga László"|"Kecskeméti utca 96.
H-4633 Salgótarján"
"Dr. Németh Lajosné"|"Dózsa györgy út 237.
H-9185 Mellékapáti"
"Dr. Jakabné Somogyi Eszter"|"Béke utca 19.
H-1835 Baja"
"Horváth Kristóf"|"Pusztaszéki utca 39.
H-1725 Székesfehérvár"
"E. Németh Beatrix"|"Ligetváradi utca 114.
H-1192 Székfalva"
"Takács Miklós Ferenc"|"Devecseri utca 84.
H-8501 Székesfehérvár"
"Varga Éva"|"Pusztahetveni utca 164.
H-8056 Székesfehérvár"
"A. Kiss Piroska"|"Györgyfalvai út 243.
H-1431 Mellékhida"
"Lakatos Péterné Kiss Judit"|"Nyíregyházai utca 140.
H-1107 Balatonkeresztvár"
"Dr. L. Nagy György"|"Ligetfai utca 198.
H-8911 Pilistótkőrös"
"Biróné Dr. Dudás Andrea Renáta"|"Győri út 87.
H-7922 Keresztfa"
"Horváth Csabané"|"Pusztaligeti utca 142.
H-4479 Pilistapolcafalva"
"Oláhné Szilágyi Petra"|"Ady endre utca 107.
H-7198 Mindszentnémeti"
"Varga Gáborné Szabó Anna"|"Újmelléki utca 45.
H-5106 Oroszszékhalas"
"Balogné Dr. Takács Éva Ildikó"|"Fürdőfalvai utca 106.
H-5435 Várad"
"Tóth László János"|"Veszprémi utca 128.
H-2470 Keresztnémeti"
"Kiss A. Annamária"|"Hetvenfai utca 170.
H-1419 Hátdevecser"
"A. Kovács Barbara"|"Ligetvári utca 73.
H-2831 Sopron"
"K. Sipos Patrik"|"Szombathelyi utca 129.
H-4672 Némettapolcaháza"
"Szabó Mária Márta"|"Egyházasszéki tér 126.
H-5278 Székfalva"
"Márton Ottóné"|"Mellékhidai utca 153.
H-9340 Hídváros"
"Dr. László Bodnár Ádám"|"Kossuth utca 83.
H-3177 Egyházaskereszthida"
"Kovácsné Székely Piroska"|"Mindszentfai utca 175.
H-3796 Budatapolcaváros"
"Takács Balázs"|"Arany jános utca 68.
H-4539 Tapolcafalu"
"Dr. Varga Zoltán"|"József attila tér 12.
H-2202 Mosonmagyaróvár"
"Veresné Pintér Edit"|"Petőfi sándor utca 95.
H-4323 Vára"
"Dr. Mártonné Orbán Viktória"|"Németkereszti utca 63.
H-1547 Mosonhídharaszti"
"A. Kovács Ádám"|"Ligetváradi utca 150.
H-7399 Baja"
"Z. Gulyás Tibor"|"Arany jános tér 83.
H-3988 Hetvenkövesd"
"Németh Gáborné"|"Dózsa györgy utca 130.
H-9236 Érd"
"Dr. Szabó Kovács Ildikó"|"Mártonbányai utca 175.
H-5985 Székvég"
"Törökné Molnár Mária"|"Szentmártoni utca 19.
H-3121 Székesfehérvár"
"Bakosné Dr. László Edina"|"Ózdi utca 145.
H-8293 Miskolc"
"Dr. Kovács János"|"Tamásifai utca 42.
H-6956 Mosonmagyaróvár"
"Pintérné Tóth Ilona"|"Petőfi tér 116.
H-7959 Balatonmártonberény"
"Faragó E. Norbert"|"Ady endre utca 147.
H-5202 Baja"
"Dr. Papp Istvánné"|"Tatabányai tér 239.
H-8617 Érd"
"A. Nagy Andrea"|"Salgótarjáni utca 99.
H-3603 Debrecen"
"Takács L. Dániel"|"Szerbgyörgyi utca 183.
H-8197 Lajoshídvárad"
"Prof. Dr. Kiss Andrea"|"Szombathelyi utca 106.
H-7324 Tatabánya"
"Simon Gyöngyi"|"Pécsi út 68.
H-5871 Rácligetvég"
"Dr. Németh Mária Márta"|"Rácfürdői utca 17.
H-3521 Szenttapolcafa"
"Dr. S. Kiss József"|"Bajai utca 145.
H-3544 Tótkövesd"
"Horváth B. Erik"|"Keresztfai utca 181.
H-9052 Baja"
"Varga Zsolt"|"Tapolcanémetii utca 139.
H-3543 Mosonmagyaróvár"
"Kovács Tóth Balázs"|"Dunamártoni utca 34.
H-6867 Hídberény"
"Dr. Kocsisné Lakatos Piroska Ildikó"|"Szombathelyi utca 19.
H-3861 Váckeresztfa"
"A. Németh Zsuzsanna"|"Nyírtapolcai utca 243.
H-1918 Belsőligetbánya"
"Orsós László Etelka"|"Mártonfai utca 118.
H-4034 Mezőhídkőrös"
"Kiss Andrea Laura"|"Dunaújvárosi utca 17.
H-6057 Pusztatapolcahalas"
"Prof. Dr. Szabó T. Sándor"|"Bácstóti utca 224.
H-6369 Mindszenthalas"
"Dr. Kovácsné Vörös Júlia"|"Szigetszentmiklósi út 250.
H-7843 Keresztvára"
"Pásztor Varga Zsolt"|"Harasztii utca 143.
H-1531 Drávaligetbánya"
"Dr. Molnár Istvánné Varga Margit"|"Váci utca 58.
H-2136 Kecskemét"
"B. Kovács Béla"|"Pilistamásii utca 128.
H-8246 Hídnémeti"
"Kovács Erika Alexandra"|"Debreceni tér 44.
H-6620 Szigetszentmiklós"
"Dr. Rácz A. József"|"Hátvárai utca 35.
H-8886 Dunaújváros"
"A. Pintér Anna"|"Lajosmindszenti tér 195.
H-6337 Salgótarján"
"Horváthné Dr. Tóth Mária"|"Tótkőrösi utca 231.
H-2893 Nyéktótfalva"
"Dr. I. Kovács Orsolya"|"József attila utca 7.
H-7400 Tótdevecser"
"Dr. C. Boros Dániel"|"Szigetszentmiklósi utca 15.
H-9332 Kuntamásiháza"
"Nagy Edina Éva"|"Kossuth utca 73.
H-8906 Hajdúligetfalu"
"Dr. Balogh Kovács Mária"|"Szabadság utca 145.
H-5793 Budamellékkövesd"
"Horváth M. László"|"Békéshídi tér 110.
H-4130 Oroszhetvenfalva"
"Szilágyi F. Ádám"|"Pusztatapolcai utca 226.
H-6671 Kistótnádasd"
"Oláhné Kovács Julianna"|"Ady endre tér 123.
H-6552 Eger"
"Dr. Barnané Kovács Krisztina Csilla"|"Tótdevecseri út 193.
H-2332 Székbánya"
"A. Rácz Ádám"|"Bácstamásii utca 222.
H-2592 Szeged"
"I. Szekeres Nándor"|"Debreceni tér 122.
H-1278 Salgótarján"
"Szekeresné Kovács Éva Éva"|"Veszprémi utca 18.
H-2818 Balatonkeresztvég"
"Hegedüs Tamás János"|"Egyházastóti utca 210.
H-3152 Nagyhídváros"
"Takács Szabó Géza"|"Szabadság utca 120.
H-9609 Borsodligetváros"
"Dr. Szabó V. Barbara"|"Nagyháti utca 219.
H-2768 Budaligetfalu"
"Dr. Varga Szalai Éva"|"Székesfehérvári utca 97.
H-6050 Nyíregyháza"
"Deák D. Csaba"|"Szabadság utca 98.
H-4760 Fürdőbánya"
"Fodor Sándorné Farkas Ilona"|"Béke utca 193.
H-7526 Mátramindszentkőrös"
"Farkasné Dr. Pintér Mária Bernadett"|"Petőfi sándor tér 217.
H-1108 Dunahátváros"
"A. Tóth Éva"|"Ráchídi utca 224.
H-4013 Tamásikövesd"
"Kovács Tamás Ábel"|"Tamásihidai utca 74.
H-6404 Érd"
"Tóthné Dr. Kovács Kinga"|"Györgykövesdi utca 165.
H-4095 Zalaegerszeg"
"Nagy P. Krisztina"|"Bajai utca 216.
H-6879 Fürdőfalu"
"Dr. Farkas Molnár Ferenc"|"Mosonmagyaróvári út 231.
H-8048 Magyarmártonbánya"
"Antal Jánosné"|"Nagykanizsai utca 239.
H-8813 Békésmártonhida"
"Dr. Vargané Szabó Erzsébet"|"Arany jános utca 21.
H-6991 Nyéktótapáti"
"Dr. Mészáros Magdolna"|"Ady endre utca 156.
H-8538 Tamásivára"
"Kovács I. Erzsébet"|"Veszprémi utca 128.
H-3455 Békéscsaba"
"Dr. Kiss M. Szilvia"|"Dózsa györgy utca 181.
H-4600 Tamásifalu"
"A. Varga Bernadett"|"Dunakeszii utca 28.
H-3673 Budapest"
"Balog Zsombor Imre"|"Nyírszéki utca 159.
H-3219 Nyírmártonnémeti"
"Horváth I. Miklós"|"Fai utca 55.
H-5245 Kaposvár"
"Dr. V. Biró Csilla"|"Érdi utca 214.
H-5600 Tiszahídbánya"
"Dr. Kocsis Csilla"|"Lajosháti út 179.
H-1935 Hídkőrös"
"Faragóné Dr. Horváth Irma Jolán"|"Egeri utca 152.
H-6702 Nagyhátkövesd"
"Máté M. Károly"|"Béke utca 216.
H-7968 Ráchetvenvár"
"Nagy Hunor János"|"Nyírszéki tér 163.
H-1311 Borsodharaszti"
"Dudás Róbert"|"Székváradi utca 171.
H-2865 Győr"
"Fehér Istvánné Nagy Noémi"|"Tamásinádasdi utca 98.
H-1842 Mindszentkőrös"
"A. Varga Katalin"|"Hídházai utca 69.
H-2591 Szigetszentmiklós"
"Dr. Barna Krisztina Brigitta"|"Keresztkövesdi utca 204.
H-3653 Hídkőrös"
"A. Kiss Erika"|"Arany jános tér 112.
H-6150 Tótváros"
"Dr. K. Pál Klára"|"Németligeti út 170.
H-3758 Nyékmártonnádasd"
"Dr. G. Kovács Tibor"|"Szombathelyi utca 39.
H-1670 Szombathely"
"Dr. Antalné Nagy Noémi"|"Belsőmártoni utca 5.
H-8046 Baja"
"Dr. T. Molnár Béla"|"Arany jános utca 73.
H-7694 Némettamásinémeti"
"Kiss Anna Mónika"|"Ózdi utca 199.
H-6603 Mellékháza"
"Mészáros Gábor"|"Tapolcahidai út 43.
H-4681 Hetvennémeti"
"Nagy A. Péter"|"Belsőmártoni út 29.
H-3356 Kaposvár"
"A. Virág Mária"|"Debreceni út 149.
H-9452 Györgyvárad"
"Dr. Balogh Lili Katalin"|"Érdi utca 85.
H-4162 Veszprém"
"Takács László Attila"|"Kossuth tér 143.
H-3014 Magyarhídapáti"
"Dr. Szabó Sándorné Varga Emma"|"Borsodligeti utca 218.
H-3570 Ózd"
"Királyné Balogh Piroska"|"Ligetvári utca 180.
H-9585 Veszprém"
"Szabó László Máté"|"Tamásiapátii utca 107.
H-2234 Fürdővár"
"Dr. Fábián István"|"Szolnoki utca 60.
H-5503 Baja"
"Papp J. Sándor"|"Váchídi utca 128.
H-5302 Pécs"
"Oláh Dávid"|"Dózsa györgy utca 79.
H-6259 Felsőszékháza"
"Horváthné Dr. Kiss Szilvia Mária"|"Bakonyhídi utca 206.
H-3173 Töröktamásikövesd"
"Antalné Hajdu Erzsébet"|"Balatonháti tér 218.
H-3790 Mátramártonváros"
"Dr. H. Kiss Valéria"|"Budapesti út 140.
H-5655 Kecskemét"
"Kovács C. Lajos"|"Budaligeti utca 118.
H-7085 Mártonvég"
