"A. Balog Lajos"	"Tamásiházai utca 81.
H-7599 Tatabánya"
"Dr. Tamás Melinda Sára"	"Magyarhetveni utca 149.
H-1955 Budapest"
"Dr. Pintérné Nagy Irén Szilvia"	"Váci tér 216.
H-7746 Mosonhátháza"
"Sándor P. Attila"	"Kunligeti utca 170.
H-8036 Mártonfalva"
"Lakatosné Dr. Szabó Tünde"	"Nyírkereszti utca 35.
H-8524 Nagyfürdőkövesd"
"Dr. Horváth Margit"	"Petőfi út 54.
H-1615 Békéscsaba"
"Horváth Éva"	"Dunamártoni utca 1.
H-6147 Oroszhídkövesd"
"Balog Irén"	"Hídharasztii utca 55.
H-8919 Mindszentkövesd"
"Szűcsné Dr. Nagy Anna Rózsa"	"Mindszentfalvai utca 12.
H-5506 Bakonyfürdőfalu"
"Szalai Tamás János"	"Szigetszentmiklósi utca 107.
H-2053 Nyírtapolcahida"
"A. Boros Katalin"	"Hetvenvárosi utca 5.
H-8826 Váchídháza"
"Barna Tóth István"	"Székesfehérvári út 92.
H-9243 Szerbfürdődevecser"
"Szabóné Nagy Orsolya"	"Mártonvári utca 235.
H-7680 Haraszti"
"Pappné Dr. Bakos Anna"	"Váci utca 98.
H-5052 Miskolc"
"Dr. Bakosné Szabó Tünde"	"Nyírháti utca 198.
H-4922 Nagykanizsa"
"Dr. Kiss Miklósné Török Julianna"	"Lajosmindszenti tér 38.
H-8421 Drávaszékbánya"
"Dr. Balogh Józsefné"	"Györgykövesdi utca 10.
H-4238 Mellékfalva"
"Kozmané Dr. Horváth Erzsébet"	"Kuntóti utca 56.
H-6500 Debrecen"
"Rácz Tamásné Halász Mária"	"Tamásiváradi utca 10.
H-1951 Keresztháza"
"Tóth Imre"	"Belsőtapolcai utca 151.
H-7086 Borsodhetvenberény"
"A. Lengyel Zoltán"	"Petőfi sándor utca 130.
H-6906 Györgyharaszti"
"Horváthné Dr. Deák Marianna Mária"	"Házai tér 93.
H-3889 Szombathely"
"Dr. Tóth D. Marcell"	"Mellékapátii utca 203.
H-6167 Györgyvára"
"Juhász Tóth Áron"	"Soproni utca 148.
H-1846 Zalaegerszeg"
"Pap Tóth Virág"	"Ady endre utca 173.
H-6241 Győr"
"Tóth Annamária Enikő"	"Kossuth utca 90.
H-8241 Dunakeszi"
"Márton Rácz Anna"	"Tapolcanémetii utca 43.
H-6448 Nyíregyháza"
"Kiss Z. Irén"	"Somogytapolcai utca 93.
H-7648 Tatabánya"
"Dr. Deák Balázsné Varga Gizella"	"Mosonmindszenti utca 6.
H-5964 Tamásifa"
"Varga Viktória"	"Kossuth utca 57.
H-9383 Szolnok"
"A. Magyar Barbara"	"Mosonháti utca 4.
H-5845 Tótháza"
"Dr. Rácz E. Anna"	"Hajdúmártoni utca 146.
H-5358 Cegléd"
"Tóth C. István"	"Szabadság utca 208.
H-9205 Cegléd"
"Veres Sándor"	"Soproni utca 61.
H-5547 Hídapáti"
"Szűcs Jónás Miklós"	"Tapolcavári utca 143.
H-5325 Tamásiberény"
"Király A. Anita"	"Béke utca 164.
H-8725 Fürdőfalva"
"Dr. Kocsis Z. Attila"	"Tótkövesdi tér 213.
H-4670 Egyházasharaszti"
"Gál Tóth László"	"Lajoskereszti út 206.
H-5403 Keresztdevecser"
"Dr. Takács Jolán"	"Hátbányai utca 142.
H-1295 Györgyharaszti"
"Varga Horváth Erika"	"Kaposvári utca 102.
H-5087 Debrecen"
"A. Molnár Ferenc"	"Ceglédi utca 99.
H-9052 Budatapolcanémeti"
"Tóthné Kiss Jolán"	"Ady endre utca 202.
H-4846 Drávakeresztháza"
"Tóth Dávidné László Jázmin"	"Fürdőnádasdi utca 15.
H-5618 Tatabánya"
"Dr. Molnár Soós László"	"Ady endre utca 205.
H-1454 Györgynádasd"
"Horváth A. Attila"	"Szolnoki tér 101.
H-7746 Eger"
"Molnár Irén Mária"	"Tiszatapolcai utca 203.
H-4906 Tiszafürdővárad"
"Vincze András László"	"Pécsi út 13.
H-4877 Hídberény"
"Kovácsné Dr. Kovács Mónika Anna"	"Szerbkereszti utca 152.
H-4178 Szerbkeresztkövesd"
"Dr. Varga D. Róbert"	"Szabadság tér 234.
H-5462 Mártonapáti"
"Nagyné Balogh Zsuzsanna"	"Ady endre utca 227.
H-5563 Hódmezővásárhely"
"A. Molnár Mihály"	"József attila utca 191.
H-3951 Borsodtóthida"
"Dr. Farkas Sára"	"Székvárosi utca 86.
H-1012 Hajdúmellékharaszti"
"Nagy Eszter"	"Bácsmelléki utca 138.
H-8978 Keresztvárad"
"Dr. Katona Ildikó"	"Ózdi tér 126.
H-1311 Drávaszékharaszti"
"Prof. Dr. Kovács Sándorné"	"Hódmezővásárhelyi út 218.
H-7425 Mezőháza"
"Dr. Hajdu Zoltánné"	"Tamásihalasi utca 84.
H-3680 Bácsligetberény"
"B. Kis Katalin"	"Fürdőharasztii utca 69.
H-4649 Békéscsaba"
"Kiss Judit"	"Mezőkereszti utca 30.
H-9223 Fürdővár"
"Nagyné Prof. Dr. Balogh Judit"	"Béke út 78.
H-6342 Baja"
"Takács Váradi Zoltán"	"Hajdúhetveni utca 66.
H-6302 Ligetvárad"
"A. Mészáros Zoltán"	"Petőfi sándor utca 196.
H-9290 Debrecen"
"Dr. Királyné Horváth Gabriella"	"Hídharasztii utca 140.
H-4534 Nagytótháza"
"Nagy Erzsébet"	"József attila út 35.
H-6983 Hídnémeti"
"Vargané Németh Éva Anita"	"József attila utca 199.
H-7517 Alsótapolcavár"
"Dr. Kiss Nagy István"	"Györgyharasztii utca 174.
H-1608 Kisgyörgyvárad"
