"Ѓорги Јовановски"|"Никола Вапцаров 711
87858 Битола"
"Сања Атанасова"|"Будимпештанска 8а/4
57214 Богданци"
"Ристо Поповски"|"Шарпланинска 7
07097 Струга"
"Наум Стојановски"|"Свети Климент Охридски 20
13955 Скопје"
"Др. Марјан Гроздановски"|"Булевар Александар Македонски 3б/4
62920 Струмица"
"Г-ѓа Елена Крстеска"|"Даме Груев 0в
93832 Дебар"
"Др. Ристо Христов"|"Воденска 64
73819 Свети Николе"
"Проф. Огнен Јанев"|"Булевар Гоце Делчев 3в
39919 Скопје"
"Сања Георгиева"|"Јасминска 5а/5
38082 Свети Николе"
"Валентина Чулева"|"Едвард Кардељ 6б/3
98951 Кратово"
"Ѓорги Јовчев"|"Пролетерска 838
71636 Валандово"
"Маја Николовска"|"Јане Сандански 4
80994 Струмица"
"Ана Спасова"|"Македонија 6б
57422 Берово"
"Анета Мојсова"|"Булевар Блаже Конески 9а/6
91794 Прилеп"
"Проф. Софија Николовска"|"Даме Груев 9а/2
03084 Ресен"
"Г-ца Симона Ѓорѓиевска"|"Перо Наков 3б/1
66164 Кратово"
"Проф. Сања Крстеска"|"Кеј Димитар Влахов 60
26831 Битола"
"Симона Мојсова"|"Христијан Тодоровски Карпош 07
44537 Виница"
"Филип Стефановски"|"Зелезничка 5б
14656 Гостивар"
"Г-ѓа Јасмина Цветковска"|"Кеј Димитар Влахов 6а/4
10534 Скопје"
"Ѓорги Дешановски"|"Женевска 67
14539 Валандово"
"Г-н Томе Ристовски"|"Аристотел 9б/3
21838 Штип"
"Марина Марковска"|"Женевска 2б/8
66140 Пробиштип"
"Магдалена Марковска"|"Едвард Кардељ 1
80862 Виница"
"Г-н Чедо Глигоров"|"Никола Вапцаров 6а
63276 Кочани"
"Кристина Петковска"|"Природна 7б
48884 Струга"
"Методи Лазаревски"|"Зелезничка 3в
90698 Демир Хисар"
"Г-ѓа Милена Андоновска"|"Пролетерска 4б/8
94707 Пробиштип"
"Анета Лазова"|"Трета македонска бригада 3
89851 Прилеп"
"Сара Дешановска"|"Крсте Мисирков 2б/6
73460 Радовиш"
"Ѓорги Заев"|"Кирил Пејчиновиќ 8
23207 Македонски Брод"
"Цвета Митревска"|"Варшавска 6в
91115 Богданци"
"Др. Тања Глигорова"|"Партизански одреди 0б
14304 Охрид"
"Г-ца Благица Митревска"|"Зелезничка 79
60109 Кратово"
"Г-н Тихомир Зафировски"|"Природна 4б/9
57505 Демир Капија"
"Наташа Атанасова"|"Никола Вапцаров 570
58245 Кичево"
"Тијана Иванова"|"Аристотел 2а
16421 Валандово"
"Др. Марина Андоновска"|"Варшавска 0
62828 Кочани"
"Трајан Симоновски"|"Булевар Свети Климент Охридски 2б/5
12010 Тетово"
