"अंजली अहेरजी","6/9 अनिल आगरकर
अमरावती-978757"
"श्री विकास शिरसाट","1 शिंदे
जळगाव 159464"
"विवेक गवळी","37 कदम
परभणी-779791"
"भूषण चौगुलेजी","21/5507 स्नेहा साळुंखे
मिरज-905385"
"श्री इशिता शिरसाट","7 चौगुले
बीड-920082"
"अनुष्का राऊतजी","47/60 देशपांडे
परभणी 672111"
"अपर्णा पाटील","8 दत्तात्रेय ओक
नांदेड-921991"
"श्रीमती लता चौगुले","8 अपर्णा चव्हाण
उस्मानाबाद-729250"
"विनायक देशमुख","3378 मंगेश माने
परभणी 967997"
"कोमल ठाकूर","7 कुलकर्णी
जळगाव 274593"
"अंजली कोल्हे","00/62 अनिता जगताप
नांदेड-760425"
"श्री प्रवीण चव्हाण","2 पवार
हिंगोली-458822"
"मेघा चौगुले","3/6 मोरे
जळगाव-552114"
"जितेंद्र जगताप","33/642 अनिल कोल्हे
बीड 947397"
"श्रीमती लता गवळी","00/5095 देशपांडे
यवतमाळ-672435"
"सचिन माने","18/858 किरण फडके
सांगली-606156"
"दीपाली पवार","0/0 कांबळे
औरंगाबाद 588861"
"श्रीमती कैलास जाधव","7/7 चेतन कुलकर्णी
ठाणे-289834"
"श्री निलेश कदम","2734 ज्योती गवळी
नांदेड 545303"
"निलेश कांबळेजी","7 दीपाली शिरसाट
सातारा-867324"
"अंजली गायकवाड","0/3 श्रुती पवार
अहमदनगर-030364"
"अनुष्का आगरकरजी","39/040 गवळी
बीड-297450"
"श्रीमती अनिता ओक","44/2010 चव्हाण
नवी मुंबई-899012"
"श्री विवेक शिंदे","132 पाटील
पिंपरी-चिंचवड 803654"
"कुमारी स्नेहा कुलकर्णी","7683 नेहा पवार
सांगली 719748"
"कुमारी भूषण मोरे","3156 विवेक कांबळे
अकोला-977037"
"प्रज्ञा महाजन","8787 जगताप
चंद्रपूर-640123"
"श्रीमती माधव भोसले","74/16 आगरकर
नागपूर 538545"
"श्री हर्षदा फडके","4668 सुरेश गवळी
चंद्रपूर-818358"
"भूषण जोशी","4/7 देशपांडे
वसई-392606"
"अंजली चव्हाण","78 साने
उस्मानाबाद-315292"
"शिल्पा जाधव","4684 चेतना कुलकर्णी
मुंबई-462948"
"आदित्य जोशी","166 अमित भोसले
कोल्हापूर-467175"
"कोमल मोरेजी","90/6269 सुनील साळुंखे
ठाणे-208201"
"स्मिता देशमुखजी","5742 अशोक चव्हाण
चंद्रपूर-962396"
"रेणुका महाजन","91 रोहित चौगुले
नवी मुंबई-978941"
"मकरंद सानेजी","9 संदीप कुलकर्णी
रत्नागिरी-310729"
"रोहित महाजन","8491 भूषण अहेर
उस्मानाबाद 600155"
"कविता जाधवजी","85 वैशाली राऊत
अहमदनगर 707772"
"प्रशांत राऊत","21 चेतन राऊत
पिंपरी-चिंचवड-255456"
"अंजली चव्हाणजी","21/3019 धनंजय माने
पिंपरी-चिंचवड-098954"
"जितेंद्र चव्हाणजी","4 संदीप भोसले
मुंबई 475886"
"दत्तात्रेय कदमजी","39/28 जगताप
अमरावती-897306"
"कुमारी कैलास कुलकर्णी","71/409 ठाकूर
लातूर 659257"
"आकाश मोरेजी","2 गौरी मोरे
सांगली 383678"
"निखिल जाधवजी","16/917 शिल्पा कांबळे
सोलापूर-162963"
"प्रकाश ओकजी","8/4 कोल्हे
कोल्हापूर-802425"
"आदित्य भोसले","8419 पाटील
सातारा 448747"
"नेहा देशपांडे","8 जाधव
परभणी 378499"
"कुमारी रोहिणी साळुंखे","37 माने
उस्मानाबाद-932786"
"अंजली देशपांडेजी","2/6 प्रिया पवार
हिंगोली 073022"
"श्रीमती अमोल माने","83/0336 आदित्य कदम
कोल्हापूर 468017"
"कुमारी विनायक चौगुले","3/4 कविता साळुंखे
पुणे-590868"
"कुमारी लता गायकवाड","904 अपर्णा ठाकूर
गोंदिया 822832"
"आदित्य जगतापजी","25/829 पंकज महाजन
पुणे 066597"
"अनिल सावंत","7 मीनल जोशी
नांदेड-860890"
"अशोक गायकवाडजी","128 मोरे
पिंपरी-चिंचवड 151800"
"चेतन चव्हाणजी","0/0 देशमुख
अहमदनगर 576609"
"मोहन जोशी","00/13 हर्षद देशपांडे
नाशिक 091729"
"इशिता साळुंखेजी","325 सचिन कदम
लातूर-915301"
"अंजली देशपांडेजी","5/9 कांबळे
नवी मुंबई-581537"
"जितेंद्र देशपांडेजी","495 प्रवीण माने
अमरावती-212855"
"माधव कांबळेजी","76 चव्हाण
हिंगोली-696957"
"चेतना फडके","0044 कविता कदम
वसई 603262"
"कीर्ती साळुंखेजी","73/2259 कुलकर्णी
सांगली-956930"
"चेतन देशपांडे","67/68 जाधव
अमरावती-962228"
"विकास पाटीलजी","45/095 दीपाली कोल्हे
पिंपरी-चिंचवड-937001"
"कविता सावंत","05/7862 पवार
अमरावती 061621"
"सुनील कुलकर्णी","47 साने
रत्नागिरी 095854"
"सचिन अहेरजी","9/5 जोशी
रत्नागिरी 291868"
"अंजली देशमुखजी","96/00 हर्षद चव्हाण
लातूर-179017"
"श्री ईश्वर अहेर","8/4 कांबळे
अहमदनगर-390584"
"पल्लवी ठाकूरजी","96 अशोक ठाकूर
नवी मुंबई 155046"
"अंजली महाजनजी","70 सावंत
बीड-827346"
"श्री अनिल ओक","19/102 देशमुख
सातारा-948155"
"शिल्पा कोल्हे","27/6171 फडके
नवी मुंबई 814191"
"दीपाली गायकवाड","7 ओक
गोंदिया-276937"
"अपर्णा फडकेजी","5499 कविता शिंदे
अहमदनगर 016012"
"सचिन जोशी","9 देशमुख
वसई-226354"
"गणेश कोल्हेजी","3119 उमेश ओक
नाशिक-101294"
"अंजली पाटीलजी","14/298 साळुंखे
पिंपरी-चिंचवड 869284"
"कविता ओक","9394 शिल्पा शिंदे
नवी मुंबई-543564"
"कुमारी चेतना जगताप","5 संदीप फडके
बीड-765888"
"अमित कदम","65 राहुल जगताप
ठाणे 992936"
"कीर्ती गायकवाडजी","94/74 जाधव
मिरज 812083"
"कुमारी सुनील राऊत","5343 चेतना मोरे
रत्नागिरी-223120"
"धनंजय देशमुखजी","3/9 स्वाती मोरे
हिंगोली 958389"
"श्रीमती अनुष्का सावंत","23/240 महाजन
लातूर 957924"
"श्री लता शिंदे","6 दीपक चौगुले
नाशिक 389485"
"दत्तात्रेय फडके","14/2137 निखिल मोरे
जळगाव 603466"
"अंजली फडकेजी","1 पल्लवी साने
अहमदनगर-408456"
"कुमारी प्रवीण देशपांडे","4425 कांबळे
अकोला 594840"
"रेणुका ओक","2/8 सचिन चव्हाण
पिंपरी-चिंचवड-103060"
"प्रशांत पवारजी","38/528 जाधव
कोल्हापूर-158448"
"कुमारी मिलिंद पाटील","38/01 अमोल महाजन
बीड 733706"
"आकांक्षा आगरकर","0/8 निखिल जगताप
चंद्रपूर-911469"
"स्मिता ओक","9/6 राऊत
लातूर 757621"
"संदीप शिंदे","672 सुरेश जोशी
सांगली 667565"
"ज्योती गवळीजी","50 स्नेहा सावंत
औरंगाबाद-323633"
"जितेंद्र कांबळेजी","83/703 दीपाली चव्हाण
हिंगोली 064484"
"अंजली फडकेजी","95/050 चव्हाण
ठाणे 244886"
"अभिषेक कोल्हे","45 चौगुले
पुणे 163123"
"श्री दीपक शिंदे","49/51 शिंदे
लातूर-412230"
"जितेंद्र शिरसाटजी","08/39 कुलकर्णी
नाशिक 991306"
"दीपाली साळुंखे","54 उमेश सावंत
नांदेड-920062"
"ईश्वर चौगुलेजी","02/4336 कुलकर्णी
वसई-650419"
"कुमारी अरुण सावंत","54/364 निखिल देशपांडे
लातूर 733430"
"कुमारी उमा शिंदे","56 ओक
नवी मुंबई 627973"
"दीपाली फडके","54/03 अमोल आगरकर
लातूर-638705"
"दत्तात्रेय कांबळे","01/635 मकरंद फडके
नांदेड 431536"
"अंजली मोरे","3/8 स्नेहा ओक
मुंबई-379998"
"भूषण ठाकूर","19 कीर्ती चव्हाण
वसई-965900"
"राहुल महाजनजी","308 अंजली पाटील
कोल्हापूर 979253"
"श्रीमती विवेक चौगुले","52/1997 संदीप देशपांडे
हिंगोली 569501"
"श्रीमती धनंजय जगताप","013 कैलास कोल्हे
नवी मुंबई 137290"
"श्री मेघा जाधव","40/8798 संदीप माने
नाशिक 873470"
"प्रशांत जगतापजी","33 ठाकूर
नांदेड-725763"
"उमा देशपांडेजी","06/0129 देशमुख
अमरावती-863315"
"मोहन गवळी","43 कुलकर्णी
वसई-478079"
"कुमारी मीनल देशमुख","3 स्मिता साने
ठाणे 281622"
"अंजली मोरे","86/4745 रोहित देशमुख
मुंबई 741941"
"श्री विवेक फडके","79 शिंदे
गोंदिया-497783"
"निखिल मोरेजी","31/456 देशमुख
परभणी 946395"
"पूजा गवळी","63/2334 गायकवाड
नांदेड 231303"
"चेतना महाजनजी","59/014 शिल्पा पाटील
नाशिक 888462"
"उमेश ठाकूर","4/2 जोशी
सांगली 201097"
"श्रीमती आकाश गवळी","35/2191 जगताप
ठाणे-858378"
"श्रीमती अनिल साळुंखे","84/924 अनिता ओक
पिंपरी-चिंचवड 263608"
"कुमारी आकांक्षा शिंदे","21/1774 भूषण गायकवाड
नांदेड 424216"
"श्रीमती चेतना ठाकूर","88 अनिरुद्ध चौगुले
अकोला-317876"
"अंजली मोरेजी","87/0056 प्रकाश जगताप
यवतमाळ 438190"
"दीपाली फडकेजी","4/0 ईश्वर जगताप
नाशिक 863288"
"श्रीमती अनिल देशपांडे","4 चौगुले
रत्नागिरी-792310"
"मकरंद पवार","03 दीपाली चौगुले
रत्नागिरी 224889"
"श्रीमती अरुण फडके","13/738 आकाश अहेर
यवतमाळ-688683"
"श्री भूषण देशमुख","84/434 राऊत
ठाणे 692279"
"श्रीमती कविता अहेर","127 कैलास चौगुले
ठाणे 872379"
"प्रवीण साळुंखेजी","0343 पाटील
जळगाव 783740"
"श्रीमती अमित ओक","76/44 गौरी चौगुले
सांगली-906698"
"अनिता अहेरजी","04/60 स्नेहा चव्हाण
मिरज 937147"
"अंजली शिरसाटजी","9 माने
पुणे-298568"
"सचिन देशमुखजी","309 गणेश कुलकर्णी
कोल्हापूर-753419"
"स्मिता सानेजी","9 माधुरी चौगुले
जळगाव 834012"
"श्री स्मिता जोशी","18/065 मकरंद देशमुख
बीड 809095"
"आकांक्षा साळुंखेजी","095 हर्षदा राऊत
पिंपरी-चिंचवड-331136"
"स्वाती सावंतजी","33/2061 साने
कोल्हापूर 438378"
"विनायक साने","46/637 देशपांडे
चंद्रपूर-307800"
"श्री मेघा आगरकर","1691 जितेंद्र शिंदे
उस्मानाबाद-734679"
"अमित राऊत","2703 प्रशांत कोल्हे
पिंपरी-चिंचवड 993290"
"आकाश जाधव","8/8 मंगेश जोशी
सोलापूर-232481"
"अनिता अहेरजी","770 कांबळे
सांगली-211462"
"हर्षदा कांबळे","36 रोहित गायकवाड
नाशिक 905283"
"श्री उमेश जाधव","2 गायकवाड
हिंगोली 792968"
"कुमारी रोहिणी देशपांडे","91 शिल्पा महाजन
बीड-402215"
"अरुण सावंतजी","65/7581 अनिता जोशी
अमरावती-652163"
"धनंजय भोसलेजी","38 जितेंद्र मोरे
परभणी 351606"
"श्रीमती पल्लवी ओक","6661 दीपक ठाकूर
मिरज 847539"
"सचिन जाधव","26/43 जाधव
औरंगाबाद 126856"
"गौरी कांबळे","6 माने
अमरावती-627945"
"मिलिंद जाधवजी","88/4344 मेघा राऊत
जळगाव 372206"
"अनिता कदम","3723 कोल्हे
कोल्हापूर-728704"
"मानसी महाजन","78/00 उमा जाधव
नाशिक 482324"
"स्वाती आगरकर","12/31 लता देशपांडे
मुंबई 777333"
"इशिता गवळीजी","34/0517 निखिल गायकवाड
मिरज 168751"
"अरुण जाधवजी","283 वैशाली महाजन
अमरावती-741406"
"अंजली चौगुलेजी","70 कविता मोरे
हिंगोली 122547"
"संदीप कुलकर्णी","83/290 उमा शिंदे
अहमदनगर-084679"
"श्रीमती स्नेहा फडके","4/0 सुनील राऊत
नवी मुंबई-229976"
"लता कांबळेजी","3808 उमा भोसले
ठाणे-264500"
"कुमारी प्रज्ञा सावंत","5578 ज्योती कदम
ठाणे-462376"
"अनिता कुलकर्णीजी","34 माधव शिरसाट
गोंदिया-327094"
"श्रीमती कविता कांबळे","2/5 समीर जगताप
सातारा 036970"
"गौरी कोल्हे","2/4 विकास पवार
हिंगोली-107058"
"अमित जाधवजी","66/4213 प्रज्ञा भोसले
वसई-685573"
"कुमारी विनायक शिरसाट","5490 भोसले
नवी मुंबई 246361"
"कुमारी ज्योती सावंत","6645 शिल्पा जगताप
नाशिक-458877"
"मकरंद कांबळेजी","50/0872 ओक
नाशिक 601612"
"कल्पना जाधवजी","41/62 सचिन देशमुख
नवी मुंबई-885350"
"स्वाती शिरसाटजी","20/788 मेघा पवार
अहमदनगर 681347"
"श्री आकांक्षा शिरसाट","69/6396 विवेक जोशी
मिरज 266389"
"अनिता गवळी","5 भोसले
परभणी-970860"
"दत्तात्रेय ठाकूरजी","5/1 पवार
मुंबई 076848"
"दीपाली गवळीजी","0/3 कांबळे
बीड-529659"
"कुमारी स्मिता चौगुले","05/57 अहेर
उस्मानाबाद-309812"
"आकाश मोरे","8045 राऊत
ठाणे 192333"
"रीमा पवार","8/0 कदम
कोल्हापूर 589394"
"कुमारी मिलिंद माने","91/262 जोशी
सांगली-569336"
"प्रिया राऊत","84/405 सावंत
नांदेड 772808"
"श्री संदीप गवळी","67/1127 महाजन
गोंदिया-612461"
"पूजा चव्हाणजी","5703 अपर्णा जाधव
उस्मानाबाद 464525"
"अनिता चव्हाण","7 मानसी राऊत
हिंगोली-021564"
"अनिरुद्ध ओक","3/4 कुलकर्णी
नांदेड-339008"
"प्रज्ञा गवळीजी","2 देशपांडे
नागपूर-575221"
"इशिता शिंदेजी","9 साळुंखे
गोंदिया 695296"
"अमोल मोरेजी","0440 साने
हिंगोली-330963"
"आकाश फडकेजी","2 रेणुका जगताप
गोंदिया 792632"
"कीर्ती महाजनजी","4/4 स्नेहा महाजन
नवी मुंबई-992191"
"निलेश फडके","83/1830 अरुण कांबळे
नवी मुंबई-480453"
"पूजा कदम","93 जाधव
वसई 417293"
"दत्तात्रेय फडकेजी","2191 चौगुले
अहमदनगर 793670"
"अनिता चौगुले","2 जगताप
मुंबई-905009"
"श्रीमती किरण चौगुले","252 तन्वी मोरे
सोलापूर-256894"
"अमोल जाधवजी","28/100 रेणुका देशपांडे
ठाणे-731821"
"श्री पंकज गवळी","4/7 आगरकर
मुंबई 328895"
"श्रीमती कविता सावंत","98/982 राऊत
नांदेड-601123"
"श्री हर्षदा साळुंखे","214 आगरकर
परभणी-149830"
"कीर्ती ठाकूर","7 मंगेश अहेर
हिंगोली-159488"
"किरण शिंदेजी","73/30 कांबळे
औरंगाबाद-244010"
"मिलिंद जगतापजी","4/9 धनंजय गायकवाड
यवतमाळ 616896"
"अशोक सावंत","78/099 मीनल चव्हाण
चंद्रपूर-849917"
"अनिता जोशी","05/22 माधुरी साने
परभणी 667102"
"चेतना सावंत","1 जोशी
अमरावती-409040"
"कोमल पाटील","25 गायकवाड
वसई-894866"
"कुमारी अनिल पवार","106 प्रिया शिरसाट
जळगाव-156461"
"माधव शिंदेजी","1 पवार
रत्नागिरी 338331"
"अमोल गायकवाड","82 मोहन भोसले
बीड-797495"
"मकरंद ठाकूरजी","23/927 गायकवाड
गोंदिया-510803"
"श्रीमती जितेंद्र गवळी","94 जाधव
चंद्रपूर-934289"
"अनुष्का जोशीजी","10/318 महाजन
अकोला 447430"
"लता पवार","41/173 अरुण राऊत
यवतमाळ 537185"
"अनिता जोशी","22/5862 श्रुती जाधव
हिंगोली 668211"
"दीपाली कदम","96 दीपाली आगरकर
बीड-006572"
"आकाश गायकवाड","55 ईश्वर चव्हाण
धुळे-746353"
"आदित्य चव्हाण","651 गवळी
सोलापूर-809024"
"अनिल सानेजी","35/5237 शिरसाट
नांदेड-674169"
"पंकज महाजन","11/6382 राहुल पवार
कोल्हापूर 162764"
"आकाश चौगुले","09/05 जोशी
नांदेड-682092"
"हर्षद सावंतजी","5 मिलिंद जाधव
गोंदिया-413122"
"सचिन जाधवजी","03/46 फडके
पुणे 298921"
"श्री किरण जाधव","802 साने
गोंदिया-899890"
"अनिता मोरेजी","44 कांबळे
गोंदिया 690520"
"कुमारी कविता सावंत","1/5 जाधव
गोंदिया 581253"
"कुमारी अनिल जाधव","14/340 विनायक कुलकर्णी
यवतमाळ-436609"
"श्रीमती अनिता सावंत","18/95 मकरंद पवार
जळगाव-136601"
"विनायक जोशी","9431 समीर मोरे
नागपूर-850953"
"श्री विवेक जाधव","41/79 फडके
अमरावती-589466"
"अपर्णा चौगुले","70/9314 आकांक्षा मोरे
अमरावती 125831"
"कुमारी हर्षदा पवार","7 मोरे
नाशिक 087983"
"कुमारी विवेक कांबळे","771 अहेर
यवतमाळ-532457"
"कुमारी जितेंद्र चौगुले","61/1490 कांबळे
नागपूर-770518"
"अनिता शिरसाट","55/2220 पाटील
सांगली-588612"
"शिल्पा कांबळेजी","833 आकांक्षा माने
अमरावती-395175"
"नेहा आगरकर","02/756 अहेर
सांगली 792595"
"अरुण चौगुले","71 लता मोरे
चंद्रपूर 840970"
"स्मिता अहेर","5 अनिल जोशी
परभणी 815547"
"कुमारी अरुण जगताप","418 वैशाली जोशी
कोल्हापूर 750980"
"कुमारी आदित्य जोशी","06/7082 ठाकूर
यवतमाळ 386199"
"श्रीमती प्रवीण कांबळे","156 कुलकर्णी
कोल्हापूर-648943"
"सुरेश साळुंखे","07/56 पवार
रत्नागिरी-101782"
"रेणुका फडकेजी","13 सावंत
पिंपरी-चिंचवड 619268"
"अनिता सानेजी","46 फडके
सातारा 425367"
"आकाश अहेर","428 चेतन महाजन
यवतमाळ 153630"
"प्रकाश ठाकूर","32/432 पाटील
पिंपरी-चिंचवड 350739"
"अमोल गवळी","46/0309 कोल्हे
सांगली-042628"
"ईश्वर साळुंखेजी","8261 ज्योती ओक
परभणी-916549"
"स्मिता कुलकर्णीजी","00/95 चौगुले
नवी मुंबई-303127"
"राहुल ठाकूरजी","7 अहेर
हिंगोली 646953"
"श्रीमती वैशाली चव्हाण","6259 गणेश कांबळे
अकोला-548788"
"माधव मोरे","7/7 अंजली गवळी
रत्नागिरी-349539"
"कुमारी समीर सावंत","09 रेणुका कांबळे
पुणे-633525"
"अनिता सावंतजी","20/34 सचिन सावंत
सोलापूर 552677"
"श्रीमती कोमल जोशी","19/63 चौगुले
सोलापूर 698773"
"श्रीमती लता गवळी","9/7 विकास गायकवाड
अकोला-526059"
"ईश्वर महाजन","9665 पाटील
परभणी-277013"
"कुमारी दीपक साळुंखे","4247 कदम
ठाणे 276491"
"इशिता कुलकर्णीजी","5339 रोहिणी कुलकर्णी
धुळे-071845"
"श्री मोहन पवार","9 गौरी शिंदे
वसई-094687"
"कुमारी मेघा फडके","7/1 जगताप
ठाणे-580993"
"आकाश आगरकर","377 गवळी
पुणे 807017"
"कुमारी कैलास जोशी","43/5964 माने
जळगाव-387947"
"अनिता सावंतजी","6 महाजन
पुणे 529875"
"दत्तात्रेय ओक","45/27 भूषण जाधव
मुंबई 731427"
"चेतन पाटीलजी","83/111 साने
औरंगाबाद-308768"
"हर्षद पवार","6 चव्हाण
जळगाव-845096"
"कुमारी स्वाती भोसले","8/7 सावंत
वसई 282612"
"कुमारी निलेश राऊत","7/9 अनिरुद्ध पाटील
अमरावती-092543"
"पंकज कदमजी","31/18 मोहन पवार
उस्मानाबाद 222098"
"जितेंद्र कुलकर्णीजी","61/2853 ठाकूर
नाशिक-460428"
"श्रीमती संदीप देशमुख","50/05 कांबळे
बीड-562339"
"अभिषेक अहेर","44/1307 रेणुका चव्हाण
नाशिक-354048"
"अनिता सावंतजी","7/2 देशपांडे
नांदेड-255470"
"श्रीमती अनिरुद्ध माने","031 कुलकर्णी
ठाणे-058608"
"मानसी मोरे","16/041 आकाश पाटील
सातारा 453177"
"अशोक महाजन","6/7 कदम
परभणी-942306"
"अंजली भोसले","23/8134 कोमल राऊत
रत्नागिरी 102630"
"स्मिता मानेजी","6 अंजली अहेर
धुळे 342792"
"विनायक जगतापजी","63/866 विवेक साळुंखे
उस्मानाबाद 239368"
"अनिल चव्हाण","854 अनिल जोशी
औरंगाबाद 394931"
"आशा सावंत","2/9 आशा देशमुख
पिंपरी-चिंचवड-181450"
"कविता साळुंखे","73/0334 शिंदे
सांगली-197897"
"अनिरुद्ध ओक","325 जाधव
चंद्रपूर-668417"
"श्री आशा मोरे","40/091 मोरे
नवी मुंबई-686231"
"श्री अनिता ओक","29 राऊत
पुणे 830996"
"मोहन कुलकर्णीजी","04/522 सुनील शिंदे
लातूर-276914"
"इशिता जोशी","93/50 जाधव
पुणे 363165"
"अनिता अहेरजी","71 चौगुले
नवी मुंबई-878154"
"उमा सावंत","7 मानसी चव्हाण
औरंगाबाद 974626"
"कुमारी भूषण कांबळे","0/8 चेतना चौगुले
नाशिक 439372"
"मंगेश जगतापजी","77/9677 जोशी
उस्मानाबाद 616818"
"स्नेहा कदमजी","327 रोहित ठाकूर
सांगली 921009"
"अनिरुद्ध कदम","3/3 चेतना भोसले
मुंबई 384621"
"किरण राऊत","43/188 रीमा गायकवाड
सोलापूर-866992"
"अभिजीत कांबळेजी","063 उमा चौगुले
परभणी 955952"
"कुमारी कविता महाजन","2 स्मिता माने
जळगाव 851306"
"कुमारी श्रुती गवळी","8 चव्हाण
नाशिक 132530"
"कुमारी मानसी माने","7/7 फडके
रत्नागिरी 676014"
"कल्पना कोल्हे","72 महाजन
ठाणे 678491"
"श्रीमती गणेश जाधव","206 पवार
पिंपरी-चिंचवड-772793"
"प्रशांत पवार","877 अहेर
अहमदनगर 515180"
"श्री अमोल राऊत","18 साळुंखे
ठाणे-377573"
"अनिरुद्ध कांबळेजी","02/1885 पाटील
चंद्रपूर 492079"
"अंजली चव्हाण","26/19 पाटील
गोंदिया-158951"
"गौरी ओकजी","46/54 कांबळे
चंद्रपूर 281592"
"पूजा मानेजी","79/84 अहेर
पुणे-818200"
"कुमारी उमा गवळी","82/068 इशिता जगताप
रत्नागिरी-862060"
"कीर्ती जगताप","91/7658 गायकवाड
औरंगाबाद-682883"
"मिलिंद ओक","07/784 चौगुले
अहमदनगर 620912"
"आशा राऊतजी","5 तन्वी शिरसाट
अमरावती 018781"
"प्रवीण मोरेजी","57/8388 साळुंखे
धुळे-046850"
"आशा राऊत","46/702 साने
ठाणे 454181"
"अनिरुद्ध कांबळेजी","10/776 उमेश कदम
वसई-463430"
"रोहिणी भोसले","7/6 साने
गोंदिया 003356"
"अमोल जोशी","138 ठाकूर
अकोला-899395"
"स्नेहा पाटीलजी","488 कल्पना देशपांडे
उस्मानाबाद-771997"
"दत्तात्रेय जोशीजी","31/2292 कदम
वसई 648847"
"कुमारी विनायक कदम","02 पवार
रत्नागिरी-822508"
"श्री प्रज्ञा साळुंखे","5/3 साळुंखे
परभणी-969173"
"कुमारी प्रज्ञा चौगुले","3409 महाजन
सांगली 721365"
"श्री माधव देशमुख","3 अरुण राऊत
मुंबई-143370"
"वैशाली गवळीजी","343 दीपक शिंदे
सोलापूर 797868"
"अनिरुद्ध गवळीजी","88/3914 दत्तात्रेय देशपांडे
ठाणे-492463"
"आकाश सानेजी","49/1962 कोल्हे
औरंगाबाद-067744"
"अमोल पवारजी","67/39 माधुरी पवार
उस्मानाबाद 391162"
"कैलास भोसले","9 कीर्ती ओक
यवतमाळ-063154"
"किरण सानेजी","561 विवेक फडके
रत्नागिरी-648016"
"श्री नेहा जोशी","38/10 शिरसाट
औरंगाबाद-458889"
"पूजा आगरकरजी","097 शिरसाट
धुळे-483307"
"पल्लवी पवार","6/4 कोल्हे
नागपूर 822605"
"विवेक सावंत","94/99 प्रशांत राऊत
अकोला 567874"
"आकाश साळुंखेजी","81 गायकवाड
हिंगोली-489758"
"अनिरुद्ध चव्हाण","58/66 इशिता शिंदे
मिरज 902492"
"श्री सुनील आगरकर","21/1303 ज्योती पवार
मुंबई-551323"
"आदित्य पवारजी","506 शिल्पा कुलकर्णी
औरंगाबाद 321290"
"श्री गणेश माने","6685 माने
जळगाव-507989"
"रेणुका महाजन","44/1146 अनिरुद्ध महाजन
मिरज-878061"
"अनिरुद्ध साने","989 साळुंखे
वसई 702866"
"कुमारी उमा कदम","2/1 गवळी
धुळे 457813"
"अनुष्का देशमुख","72/77 गवळी
नवी मुंबई-784216"
"श्री विनायक गवळी","39 विकास गवळी
चंद्रपूर 252262"
"श्री सुनील कुलकर्णी","708 शिंदे
लातूर 130725"
"अनिरुद्ध चव्हाणजी","535 श्रुती देशमुख
धुळे 136055"
"विकास देशमुख","81/4767 महाजन
नवी मुंबई-504824"
"श्रीमती कोमल साने","90/2570 कीर्ती कुलकर्णी
मुंबई 791734"
"मंगेश पाटीलजी","6859 गौरव भोसले
जळगाव 629300"
"कुमारी निलेश फडके","8 कोल्हे
परभणी 567735"
"प्रशांत जगतापजी","0/4 अनिरुद्ध कांबळे
पुणे 260904"
"सुनील साने","4 गणेश जोशी
सांगली 368049"
"श्रीमती स्वाती सावंत","92 प्रज्ञा कुलकर्णी
रत्नागिरी 785496"
"श्री गौरव देशपांडे","02/859 ज्योती गवळी
कोल्हापूर 038970"
"पंकज फडकेजी","83 अभिषेक शिरसाट
पुणे-479678"
