"अंजली आगरकर"|"7225 जाधव
नांदेड-416315"
"शिल्पा पाटीलजी"|"71/5119 प्रकाश कोल्हे
बीड-291281"
"हर्षद ओक"|"4110 गवळी
कोल्हापूर 490221"
"धनंजय मोरे"|"2748 साळुंखे
चंद्रपूर 138232"
"श्रीमती कैलास देशमुख"|"3393 गवळी
कोल्हापूर 887609"
"मीनल गवळी"|"6 विवेक राऊत
नवी मुंबई-295689"
"अनिल कांबळेजी"|"1880 अपर्णा माने
सोलापूर-579489"
"श्रीमती उमा गायकवाड"|"80 पवार
जळगाव-374605"
"प्रशांत ओक"|"6/8 देशपांडे
कोल्हापूर 625850"
"दीपक गवळी"|"935 मिलिंद पवार
कोल्हापूर-678522"
"अंजली ओकजी"|"5 माने
लातूर 655477"
"निखिल कदम"|"3137 भोसले
सांगली 478134"
"श्री मीनल चौगुले"|"3136 राऊत
बीड-653279"
"मंगेश अहेरजी"|"4917 प्रिया पाटील
वसई-166799"
"अनिता जोशी"|"8 फडके
पिंपरी-चिंचवड-770760"
"विकास कुलकर्णीजी"|"9 तन्वी ठाकूर
अमरावती 596712"
"श्रीमती दीपक देशमुख"|"21/0695 अनिता राऊत
ठाणे-606431"
"आशा देशमुख"|"88 सावंत
मुंबई 328829"
"अभिजीत कुलकर्णी"|"51/1090 स्मिता देशपांडे
जळगाव-844120"
"श्री आदित्य कदम"|"46/982 अभिषेक शिंदे
नाशिक 741327"
"अंजली कुलकर्णी"|"12 जाधव
गोंदिया-547289"
"कुमारी समीर शिरसाट"|"78 सावंत
सोलापूर 501522"
"रेणुका सानेजी"|"28/76 अरुण पाटील
मुंबई-645351"
"चेतना शिंदे"|"87/4851 ओक
हिंगोली 153734"
"श्री विवेक महाजन"|"55 ठाकूर
सातारा-037675"
"आदित्य महाजन"|"65/0770 पल्लवी पाटील
मिरज 252533"
"कुमारी दत्तात्रेय मोरे"|"50 रोहित जाधव
पिंपरी-चिंचवड 702217"
"निखिल महाजन"|"0/2 निखिल राऊत
बीड-940574"
"धनंजय शिरसाटजी"|"09/73 अनुष्का कुलकर्णी
पिंपरी-चिंचवड-032837"
"श्री विवेक साने"|"265 गवळी
धुळे 777390"
"अंजली कोल्हे"|"8 देशपांडे
पिंपरी-चिंचवड 954011"
"मंगेश जोशीजी"|"09/862 पवार
परभणी-044470"
"आकांक्षा जोशी"|"0090 माधुरी जोशी
नागपूर-894465"
"श्री रेणुका देशपांडे"|"90 गायकवाड
नागपूर 179170"
"श्रीमती दत्तात्रेय ओक"|"95/2074 कल्पना मोरे
नागपूर-138376"
"चेतना फडकेजी"|"33/594 गवळी
चंद्रपूर 641961"
"गौरव देशपांडे"|"49/5742 कोमल देशमुख
सातारा 281113"
"ईश्वर कांबळे"|"91/840 मिलिंद जोशी
यवतमाळ 613249"
"श्री कोमल कांबळे"|"43/09 महाजन
मुंबई 010498"
"श्री स्मिता चव्हाण"|"306 आगरकर
बीड 612912"
"अंजली गायकवाड"|"031 चौगुले
सांगली-577767"
"श्रीमती प्रशांत कोल्हे"|"3 देशपांडे
अमरावती 604908"
"दीपाली शिरसाट"|"6513 जोशी
मिरज 515712"
"प्रशांत देशमुख"|"820 आगरकर
ठाणे-468708"
"अमोल कुलकर्णीजी"|"86/338 देशपांडे
जळगाव 813438"
"स्नेहा सावंतजी"|"254 माने
हिंगोली-187123"
"कुमारी अनुष्का अहेर"|"05/775 फडके
नागपूर-428319"
"सुनील अहेरजी"|"583 कल्पना जाधव
उस्मानाबाद 675181"
"सुनील कदमजी"|"60/9006 जोशी
पुणे 709836"
"जितेंद्र मोरे"|"3 महाजन
पुणे 420630"
"अंजली चव्हाणजी"|"0/6 धनंजय कांबळे
परभणी 845817"
"सुरेश जाधव"|"4985 जितेंद्र महाजन
परभणी 775717"
