"Aaron Bruneel","Mauricesteeg 94
2260 Rijkhoven"
"Monique Vermeire","Floorsteeg 37
2190 Halle-Booienhoven"
"Michaël Dockx","Vincehof 66
8595
Nodebais"
"Lena Bekaert","Nilshof 73
7758
Vichte"
"Rita Claeys","Mariehof 59
1661 Kallo-Kieldrecht"
"Christiane Roels De Bruycker","Katriensingel 79
7550
Grâce-Berleur"
"Dirk Peeters","Mathieusteeg 302
3295 Monstreux"
"Willy Michiels","Patricksingel 739
2021 Bertrée"
"Alexander Vanhoutte","Liselaan 70
8320 Eppegem"
"Emilie Thys","Raniasingel 24
6152
Romsée"
"Aaron Vandamme","Ismailbaan 637
1256 Neerrepen"
"Fernand De Wilde","Martinesteeg 824
4371 Xhoris"
"Anna De Baets","Yasminebaan 2
9375 Westerlo"
"Tom Cools Maes","Ellielei 15
3461
Rognée"
"Hugo Adriaenssens Roels","Woutbaan 243
2622
Bertrée"
"Pieter Wellens","Katrienring 470
5353
Terwagne"
"Andrea Bouckaert","Noradreef 011
5564 Trognée"
"Maria De Clerck","Adrianhof 02
5121 Hoogstraten"
"Inge Verstraeten","Moniquestraat 93
4096
Noville-les-Bois"
"Ingrid Leemans","Dorinedreef 999
9079
Etterbeek"
"Adam Ahmed","Timstraat 346
2677 Pittem"
"Marie De Wulf","Willybaan 3
2046 Péruwelz"
"Jana Neven","Johnnypad 127
6776
Fallais"
"Sandra De Graeve","Karldreef 042
8297
As"
"Luc François Van Hove","Dirkdreef 82
6951
Alleur"
"Elisa Dobbelaere","Owendreef 0
8989 Ouwegem"
"Lore Bosmans","Liensteeg 291
5961
Riemst"
"Frans Coppens","Ericsteeg 5
9573 Ladeuze"
"Liesbet Meeus","Annbaan 64
3138
Neerharen"
"Julienne Joris Michielsen","Nataliebaan 8
9167
Rièzes"
"Adriaan Yildirim","Tinekebaan 43
6074
Basècles"
"Jacques Horemans","Ellaboulevard 14
7565
Slins"
"Anouk Jansen","Mariasingel 984
2512
Pussemange"
"Christel Dewaele","Agnèsboulevard 9
1096 Taintignies"
"Piet Verhelst","Helgadreef 17
9267 Thimister"
"Kris Gielen","Marijkesingel 9
7311
Bikschote"
"Maria Michiels","Christophepad 650
5997 Burcht"
"Yasmine Staelens","Mariaweg 82
8604 Drogenbos"
"Jan Vanhove Christiaens","Kimdreef 6
3210 Rebecq-Rognon"
"Jonas Van Hoecke","Brendasteeg 76
3314 Roloux"
"Adrian Vercammen","Lienstraat 44
4140
Gimnée"
"Janne Christiaens","Antoniusboulevard 22
3808 Leugnies"
"Anna Van de Walle","Lilypad 98
5202 Gavere"
"Johan Lemmens","Rolanddreef 872
2031 Werken"
"Wouter Smets","Annemielaan 593
9063 Sint-Stevens-Woluwe"
"Maria Dhondt","Julesbaan 5
3902 Stave"
"Jeroen Vanderstraeten","Sophialaan 635
3583
Croix-lez-Rouveroy"
"Lies De Muynck","Wilfriedsingel 0
2433
Buissonville"
"Cas Naessens","Dirkpad 4
3658
Bouillon"
"Marleen Schoofs","Annadreef 840
5114
Gedinne"
"Agnes Bogaerts","Maartendreef 76
1106
Grazen"
"Mieke Van Gorp","Richardring 531
3524 Ellignies-lez-Frasnes"
"Magda Celis","Davidhof 950
5666
Nijlen"
"Kaat Maes","Gerardaring 83
2864
Templeuve"
"Peter Singh","Peterpad 197
7568
Herve"
"Louisa Willems","Martinestraat 53
9112
Wasmes"
"Ayse Vermeersch","Monikadreef 137
5283
Moerkerke"
"Roel Helsen","Madeleineweg 6
7352
Polleur"
"Brent Bonte","Femkehof 1
1593 Retie"
"Cynthia Merckx","Gerardaboulevard 706
5709
Feluy"
"Agnes De Coninck","Thomassteeg 957
9480 La Hulpe"
"Henriette Bollen","Saskiadreef 2
4684
Champlon"
"Maarten Callewaert","Mariopad 39
9843 Lennik"
"Alex Van Hecke","Jolienboulevard 412
7599
Riemst"
"Eva De Keyser","Magalistraat 243
9546
Gullegem"
"Louise Buelens","Runeboulevard 2
3112 Puurs"
"Roger De Smedt","Natasjaweg 662
5898
Rèves"
"Christiane Bauwens","Kennyweg 994
9144 Couillet"
