"Aaron Ceulemans","Lisasteeg 10
6043 Tertre"
"Bram Peeters","Nicolelei 03
3092 Habergy"
"Geert Van Loo","Wimlaan 186
6780 Mannekensvere"
"Hubert Luyten","Ellabaan 91
8888
Vaux-sous-Chèvremont"
"Monique Yilmaz","Marcsingel 89
9866 Lemberge"
"Cédric Geuens","Lucpad 32
5190
Moresnet"
"Anne-Marie Viaene","Loreboulevard 117
2885
Welle"
"August Verstraeten","Frankbaan 38
8776
Moorsel"
"Marie Mestdagh","Jeroensingel 3
4650 Appelterre-Eichem"
"Paul Herman","Mariaweg 52
4808
Sint-Pieters-Leeuw"
"Aaron Hermans","Rogerpad 985
4179
Engelmanshoven"
"Robert Van de Voorde","Andrésteeg 47
9119
Erneuville"
"Gerard De Coster","Svenpad 8
4010 Waudrez"
"Evelyn Van den Bergh","Mariadreef 826
9645
Sint-Martens-Bodegem"
"Cindy Smet","Elsboulevard 139
4650 Beerzel"
"Timothy Van Damme","Stephanielei 38
3454
Thuin"
"Marie Coppens","Joransteeg 360
4245
Casteau"
"Eric Declerck","Patrickbaan 92
5772
Saint-Jean-Geest"
"Inge Bracke","Renésteeg 93
4760
Neervelp"
"Nancy Wouters Lippens","Carlosboulevard 99
5103
Betekom"
"Abdul Deckers","Raflaan 54
4396 Beerst"
"Luca Fransen","Fernandbaan 61
5595 Lacuisine"
"Maria Van Looy","Joëllei 599
3748
Waardamme"
"Myriam Lemmens","Anne-Mariepad 62
5446 Verlée"
"Karina De Coster Verstraeten","Robertweg 844
4230
Graide"
"An Michiels","Shanasingel 6
5433
Saint-Remy-Geest"
"Wim Van Landeghem","Danieldreef 3
2892 Sint-Niklaas"
"Alex Stevens Cools","Brittsingel 70
8189 Beveren-Roeselare"
"Maria Van Gestel","Jeanweg 16
7831
Weelde"
"Fatiha De Backer","Kennethboulevard 659
6058 Niel-bij-As"
"Adam Ooms","Simonpad 22
1192 Westouter"
"Elisabeth De Smet","Sennesingel 75
7291 Louvain-la-Neuve"
"Patrick Peeters","Bartlaan 23
9371 Awenne"
"Manon Torfs","Chantalweg 8
1195 Engis"
"Maaike Van den Bergh","Kristienboulevard 0
1867
Hody"
"Florent Raes","Nielsring 07
4410 Ambly"
"Tamara Dewulf Vandekerckhove","Fannydreef 83
6472 Alsemberg"
"Godelieve Heyvaert","Koenweg 7
8880 Fernelmont"
"Bruno Vanderheyden","Ibrahimsingel 17
6675 Floriffoux"
"Nick Daems","Thomassingel 66
8285
Tervuren"
"Agnes Beckers Van de Velde","Annelei 81
4000
Bovekerke"
"Jack Sabbe","Johandreef 905
2862 Bassevelde"
"Marie-Louise Thys","Pierrepad 2
7533 Haren-Tongeren"
"Lowie Van Roy","Saraweg 5
4234 Massemen"
"Maria Verhelst","Amysteeg 28
2149 Vaux-lez-Rosières"
"Thomas De Mey","Yanadreef 86
8640 Oleye"
