"Adrian Aasen","Myklebustflata 540, 1216 Johnsen"
"Ingeborg-Ingrid Christensen","Nilsengropa 443, 6211 Torillmark"
"Maren-Aud Fredriksen","Tangenhavna 8, 5095 Jannemark"
"Leif Paulsen","Rønningringen 3, 7639 Gunnvik"
"Simen Tangen","Bøemyra 6, 0767 Torillstad"
"Rune Larsen","Svendsenflata 799, 0966 Sigurdeid"
"Gunn Myklebust-Brekke","Ruudgropa 6, 9449 Anettedal"
"Randi Lunde","Edvardsentunet 88D, 4884 Rutheid"
"Prof. Kenneth Andersen","Hauggrenda 39A, 0391 Brekke"
"Kristin Simonsen","Solbergalléen 6, 9657 Trondby"
"Adrian Evensen","Johannessenbakken 921, 7546 Halvorsen"
"Unni Christensen","Holmløkka 67, 5148 Hauge"
"Stein Tveit","Rønningringen 36D, 5996 Olavåg"
"Maren Engen","Andersenstykket 8, 1009 Sivertsen"
"Marius Tveit-Jacobsen","Tveitstubben 8, 8038 Pettersen"
"Nils Antonsen","Myhrelyngen 02, 0493 Kåreås"
"Vilde Nguyen","Isaksenskogen 7, 9505 Lund"
"Tonje Knutsen","Haugjordet 23, 9656 Holm"
"Prof. Rolf Aasen","Solbergmyra 1B, 4869 Roarøy"
"Karin Sandvik","Eriksenengen 9, 4212 Eriksen"
"Adrian Haug","Henriksenkollen 5, 2069 Knudsen"
"Kjell Sivertsen","Antonsenmarka 58B, 4803 Solveigfjell"
"Bjørn Jacobsen-Amundsen","Hansenhaugen 5, 8475 Jensen"
"Olav Ødegård","Andersenstubben 8A, 6050 Karinmark"
"Marit-Mona Berntsen","Pettersenlyngen 370, 8437 Håkonnes"
"Emilie-Grete Ødegård","Thorsenhaugen 4, 0589 Lien"
"Kirsten Mathisen","Haugenmyra 1, 6369 Danielstrøm"
"Tom Abrahamsen","Solbergringen 4, 2141 Ingervær"
"Ida Jensen-Andersen","Bakkebakken 02, 4417 Anitavåg"
"Anders Jacobsen-Gulbrandsen","Henriksenstranda 8, 7614 Beritvik"
"Adrian Knudsen","Sivertsenflata 17, 3338 Nielsen"
"Elise Lien","Myhrelunden 4, 1245 Lien"
"Dr. Kim Rønning","Strømfaret 3, 7831 Knutsen"
"Janne Johnsen","Iversenåsen 35, 3745 Jakobsen"
