"Adrian Aasen"|"Bøeplassen 64, 8771 Aas"
"Odd Nilsen"|"Jacobsenplassen 62, 5787 Randisand"
"Vilde Næss"|"Solberghaugen 85, 0955 Ellingsen"
"Kristoffer Jørgensen"|"Knutsenvika 9, 7097 Heleneberg"
"Grete-Ragnhild Martinsen"|"Antonsenbakken 6, 7559 Jakobsen"
"Anette Johansen-Gulbrandsen"|"Kristoffersensvingen 44, 2682 Livmark"
"Janne Nielsen-Jakobsen"|"Tangenkroken 94C, 2801 Finnvik"
"Eva Helland"|"Christensenjordet 02, 2009 Elisabethnes"
"Rita Myhre"|"Brekkeskogen 1, 0627 Halvorsen"
"Simen Aune"|"Hellandkollen 3, 4234 Alfbø"
"Adrian Eide"|"Antonsenplassen 25, 8028 Sandvik"
"Tommy Nilsen"|"Liefaret 7, 0881 Ninaberg"
"Stein-Kenneth Isaksen"|"Sivertsenekra 50D, 4687 Hanssen"
"Maria Nygård"|"Jørgensenholtet 07, 9603 Åsevåg"
"Harald-Christian Jenssen"|"Jenssenstykket 2, 2895 Tovefjord"
"Erling Fredriksen"|"Haugstubben 569, 4330 Nygård"
"Ruth Moe"|"Moenåsen 579, 5700 Jørgenstrøm"
"Else Gulbrandsen"|"Antonsenmarka 513, 0833 Haugen"
"Andreas Arnesen"|"Lievollen 1, 2776 Nilsøy"
"Kari Haug"|"Alisvingen 6, 2924 Evensen"
"Adrian Jensen"|"Edvardsentunet 19, 9710 Olavodden"
"Elisabeth Ali-Gulbrandsen"|"Myhrebakken 25F, 1469 Mariusstrøm"
"Ivar-Håkon Sandvik"|"Brekkevollen 4F, 6658 Berge"
"Prof. Gunnar Brekke"|"Aunehagen 17C, 4775 Beritodden"
"Mona-Trine Strøm"|"Andreassenrøa 46, 0208 Rønning"
"Marit Eliassen"|"Auneeggen 4B, 0734 Eliø"
"Janne Sivertsen"|"Abrahamsenfaret 9, 4866 Johansen"
"Kirsten Bakke"|"Thomassenlunden 7, 2015 Haraldås"
"Eli Eriksen"|"Moenhaugen 5, 1019 Heidivik"
"Robert Eriksen"|"Eriksenengen 69, 4812 Astridås"
"Adrian Kristensen"|"Nygårdkollen 84, 3054 Berge"
"Tommy Gulbrandsen"|"Ødegårdtoppen 2, 8174 Hildefoss"
"Kåre Hauge"|"Berntsenrøa 68, 9281 Marenstad"
"Synnøve Paulsen-Haugland"|"Sandvikeggen 972, 0112 Jennyfjell"
"Grethe-Inger Evensen"|"Hauglandvollen 20, 5060 Linnvær"
"Vilde Thorsen"|"Gulbrandsenkroken 1, 8681 Gunnhamn"
"Ann-Hanne Eliassen"|"Evensenroa 3, 8542 Simenborg"
"Hanna-Sigrid Solheim"|"Myhrejordet 02A, 1114 Karolineborg"
"Adrian-Tom Dahl"|"Gundersenkroken 1, 2182 Lund"
"Helene-Solveig Myhre"|"Kristoffersenflata 58F, 9602 Sveinvær"
"Adrian Lund"|"Amundsenringen 491, 8304 Larsen"
"Rune Haug"|"Paulsenbakken 3, 9142 Oladal"
"Ragnhild Johannessen"|"Liengropa 8, 6335 Frodeby"
"Jorunn Ellingsen"|"Johansenhavna 12D, 5585 Haugland"
"Lise-Rita Madsen"|"Andersenskogen 35, 5197 Idaborg"
"Cathrine Nielsen"|"Sandvikbakken 806, 0596 Jenssen"
"Vegard Næss"|"Lienspranget 01D, 8433 Sofieodden"
"Nina Isaksen"|"Andersenbråten 6, 9925 Tangen"
"Odd-Harald Amundsen"|"Mikkelsenstubben 9, 2783 Runevåg"
"Thomas Nguyen"|"Ruudstykket 1, 4295 Emilievik"
"Adrian-Asbjørn Bøe"|"Andersenhagen 251, 5457 Emilieby"
"Elisabeth Kristiansen"|"Vikroa 36F, 5448 Trondstrand"
"Roar Berge"|"Lundholtet 18E, 6135 Holm"
"Marte Strøm"|"Hanseneggen 48, 3418 Kristinemark"
"Kristin Kristoffersen"|"Moejordet 69A, 4178 Jacobsen"
"Kjell-Sigurd Bakken"|"Fredriksenengen 2, 2314 Haugen"
"Helge Brekke-Paulsen"|"Svendsenstykket 825, 8814 Berg"
"Karin Arnesen"|"Næssroa 15, 6188 Ruthberg"
"Simen Amundsen"|"Bøehavna 33, 8834 Egiløy"
"Anita Mikkelsen"|"Kristoffersenringen 3, 0672 Ødegård"
"Adrian-Kristoffer Mathisen"|"Jacobsenløkka 16, 7476 Ali"
"Jon Berg"|"Gundersenvollen 67, 3966 Ahmed"
"Stig Hanssen-Helland"|"Gundersenbakken 32, 1843 Johnsen"
"Hilde Lie"|"Christensenhøgda 95E, 1606 Sverresund"
"Frode Lunde"|"Bergeflata 1, 9607 Vik"
"Finn-Sander Mikkelsen"|"Fredriksengata 7, 0991 Synnøveeid"
"Trine Haug"|"Vikberget 25, 2722 Jenssen"
"Anita Johannessen"|"Mathisenbråten 2, 3584 Astrideid"
"Thomas-Rolf Ruud"|"Fredriksenvollen 4, 5105 Martinfjell"
"Ingeborg Pettersen"|"Nguyengjerdet 05, 0620 Nielsen"
"Alexander Engen"|"Christenseneggen 46, 8804 Henriksen"
