"Adrian Danielsen"	"Pettersenrøa 36D, 5131 Audeid"
"Anders Ali"	"Johannessenvika 9, 3937 Lund"
"Tove Strand"	"Iversenhagen 7, 0360 Elinstrand"
"Torbjørn Pettersen"	"Hansensvingen 5F, 2900 Holm"
"Marte Gundersen"	"Bakkenspranget 5D, 1716 Elivær"
"Hanna Nguyen"	"Hauglandkollen 2, 9786 Oddsund"
"Ole Mathisen"	"Jakobsengropa 94, 9043 Myhre"
"Sander Danielsen"	"Bøebakken 01, 3829 Nilsen"
"Kari Bakke-Olsen"	"Evensenholtet 6, 6835 Birkeland"
"Markus Simonsen"	"Madsenstranda 1, 0644 Martinsen"
"Adrian Edvardsen"	"Henriksenmyra 45G, 8364 Larsen"
"Elisabeth Madsen"	"Antonsenstien 51, 9455 Martestad"
"Marius Haug-Lunde"	"Hansenlunden 6, 7929 Næss"
"Unni Edvardsen"	"Madsenstien 02A, 6220 Ingeborgvær"
"Jørgen Holm"	"Hagenlia 6, 6159 Rasmussen"
"Aud Olsen"	"Isaksenhøgda 1, 5548 Joakimvær"
"Aud Thomassen"	"Moeflata 5F, 5611 Ahmed"
"Prof. Olav Rønning"	"Eidekroken 747, 8428 Tombø"
"Anette Kristoffersen"	"Johnsenroa 9, 3752 Øyvindstrøm"
"Stein Mathisen"	"Engenholtet 4, 9247 Mariusstrand"
"Adrian Evensen"	"Lientunet 71, 0765 Andersen"
"Henrik Abrahamsen"	"Knutsenjordet 30, 4636 Pettersen"
"Emil Lie"	"Nilsengata 7, 6381 Magnevik"
"Tor Berntsen"	"Bakkelyngen 5, 5417 Johnsen"
"Fredrik Andreassen"	"Tveitstubben 6, 4169 Hagen"
"Geir Jacobsen"	"Nygårdekra 64, 4512 Henriksen"
"Maria Haug-Sørensen"	"Kristensenmyra 9, 2120 Jensen"
"Reidun-Aud Sandvik"	"Mikkelseneggen 3, 7301 Kjelløy"
"Simen Knudsen"	"Haugvika 1A, 9647 Frankodden"
"Dr. Sondre Lunde"	"Johannessenlunden 7, 1098 Kirstenberg"
"Adrian Mathisen"	"Lienringen 4, 1376 Evensen"
"Petter-Rune Olsen"	"Jørgenseneggen 7, 6212 Hauge"
"Daniel Knudsen"	"Johansenekra 85, 8874 Astridfjord"
"Per Mathisen-Berg"	"Paulsenlia 2, 4359 Christianstad"
"Kristian Thorsen"	"Pedersenhøgda 2, 5887 Henriksen"
"Åse-Laila Halvorsen"	"Jensenmoen 1, 3322 Karldal"
"Kari Knudsen"	"Ruudgjerdet 4A, 8812 Tonehavn"
"Andrea Nielsen"	"Myklebustlyngen 8E, 6652 Toneås"
"Kjersti Evensen-Larsen"	"Sivertsenroa 1, 9996 Vildevåg"
"Mathias Knutsen"	"Isaksenskrenten 3, 2637 Erlingfjell"
"Adrian Næss-Nguyen"	"Danielsenberget 1, 9005 Abrahamsen"
"Martine Pettersen"	"Aaskollen 1, 8109 Lunde"
"Arne Eriksen"	"Olsenringen 3, 4522 Kimberg"
"Hege Sandvik-Isaksen"	"Halvorsenfaret 7, 9822 Bjørghamn"
"Johannes-Ola Sørensen"	"Olsenholtet 2A, 6131 Mortenstrand"
"Mette Nygård"	"Næsslunden 1, 1360 Andersen"
