"Ada Hamerla"	"pl. Świerczewskiego 98
76-081 Bielawa"
"Kazimierz Wawryniuk"	"plac Norwida 70
33-469 Piekary Śląskie"
"Dorota Loska"	"ulica Malinowa 86
44-134 Kętrzyn"
"Sonia Migoń"	"ul. Krasińskiego 48/27
28-667 Ostrowiec Świętokrzyski"
"pan Ignacy Kluj"	"al. Borowa 08
40-292 Brzeg"
"Julian Tomaszczyk"	"plac Kołłątaja 30/03
55-017 Jarosław"
"Ida Tatarczyk"	"al. Żabia 978
61-345 Sopot"
"Szymon Smykla"	"ulica Partyzantów 18
63-236 Zambrów"
"Sara Linke"	"plac Kusocińskiego 046
58-690 Zamość"
"Aniela Misiarz"	"ulica Norwida 48
45-843 Wyszków"
"Ada Madura"	"plac Brzechwy 64
11-183 Ełk"
"Kamila Świadek"	"ul. Wierzbowa 35/45
47-186 Jarocin"
"pani Aniela Krzysztoszek"	"ulica Wyspiańskiego 56
25-862 Leszno"
"Krystian Matejczyk"	"plac Maczka 876
97-499 Śrem"
"Eryk Grześków"	"plac Gałczyńskiego 64
06-222 Skierniewice"
"pani Natasza Miodek"	"pl. Kusocińskiego 94/69
70-340 Oleśnica"
"Kazimierz Dybał"	"ul. Słowicza 44
59-005 Grodzisk Mazowiecki"
"Franciszek Drewnik"	"pl. Korczaka 412
15-944 Łaziska Górne"
"Tymoteusz Gwara"	"pl. Sienkiewicza 620
18-697 Kościan"
"Tymon Pindral"	"plac Jana Sobieskiego 76
30-047 Augustów"
"Ada Misztela"	"ul. Rejtana 97/75
29-248 Chełm"
"Robert Zielke"	"al. Przemysłowa 05
93-550 Ełk"
"Anna Maria Pachowicz"	"ul. Matejki 70/52
05-360 Białystok"
"pan Mateusz Gajcy"	"pl. Matejki 58
54-667 Iława"
"Janina Błażejak"	"pl. Władysława Jagiełły 493
95-689 Zduńska Wola"
"pan Dominik Solis"	"pl. Władysława Łokietka 78/35
32-673 Tomaszów Mazowiecki"
"Jerzy Drożdżal"	"al. Osiedlowa 505
90-027 Pszczyna"
"Jerzy Machowicz"	"aleja Jana Pawła II 07
63-874 Otwock"
"Eliza Giża"	"aleja Truskawkowa 355
50-133 Giżycko"
"pan Igor Kurant"	"plac Powstańców Wielkopolskich 398
39-473 Skierniewice"
"Ada Powałka"	"pl. Jana Sobieskiego 777
38-380 Lubliniec"
"Dagmara Plak"	"plac Wieniawskiego 05/83
03-387 Oświęcim"
"Sara Rudowicz"	"ulica Kruczkowskiego 546
78-473 Ostrów Wielkopolski"
"Aleksander Byra"	"pl. Makuszyńskiego 49/85
89-509 Gdańsk"
"pani Marika Gronostaj"	"ul. Jana III Sobieskiego 12
14-131 Ostrów Wielkopolski"
"pani Monika Plebanek"	"plac Mieszka I 71
99-965 Myszków"
"pan Mariusz Słomian"	"aleja Pałacowa 51/04
09-618 Sanok"
