"Adam Bezák"	"Chorvátska 35
033 81 Oľšinkov"
"Denisa Kollárová"	"Hlučínska 748
939 90 Roškovce"
"Kristián Petrovický"	"Latorická 1
899 35 Markovce"
"Eder Tomaň"	"Jalovcová 132
917 63 Čakajovce"
"Kamila Rosová"	"Kolárska 690
877 27 Dobrá"
"Henrieta Hanúsková"	"Na Slanci 86
083 27 Belina"
"Miloslava Žigmundová"	"Strelecká 16
828 09 Nižný Klátov"
"Pankrác Habšuda"	"Želiarska 795
056 28 Ludanice"
"Rastislav Hanák"	"Hraničiarska 246
859 78 Diviaky nad Nitricou"
"Atila Hanák"	"Pod vinicami 672
046 83 Rakovčík"
"Adam Chudík"	"Tešedíkova 208
938 55 Ľubotín"
"Monika Pavlíková"	"Gondova 232
809 35 Neded"
"Ján Jakubec"	"Žabotova 78
857 94 Vieska nad Žitavou"
"Bc. Izidor Malíšek"	"Stará Černicová 65
946 44 Zlatná na Ostrove"
"Jaroslav Kubíček"	"BzovIcka 5
089 93 Šašová"
"Michaela Kyselová"	"Hamuliakova 8
973 83 Abrahámovce"
"Sebastián Vaska"	"Pri Starej Prachárni 250
028 77 Krná"
"Lucia Hučková"	"Bratská 102
890 16 Kordíky"
"Dušan Ťapák"	"Jasovská 9
064 69 Pravotice"
"Koloman Puška"	"Poľná 541
922 00 Cigeľ"
"Adam Kovalčík"	"Ľanová 30
830 68 Ďačov"
"Albert Kisela"	"Poloreckého 86
051 41 Šalov"
"Miriama Kubeková"	"Korabinského 44
068 49 Chrastince"
"Valéria Dullová"	"Ostružinová 17
898 52 Cinobaňa"
"Valéria Zachariášová"	"Pod záhradami 21
933 53 Nová Polianka"
"Václav Bruška"	"Rajecká 69
998 53 Sečovce"
"Sebastián Šalajka"	"Gorkého 55
029 41 Uhrovské Podhradie"
"Albert Pašek"	"Orechová cesta 57
846 70 Závažná Poruba"
"Jaromír Markoš"	"Hlohová 985
004 84 Láb"
"Lenka Vojtková"	"Cesta na Červený most 55
988 09 Gemerská Panica"
"Adam Mrázik"	"Zlatá 42
804 31 Turčianska Štiavnička"
"Rudolf Krajíček"	"Šinkovské 668
984 50 Dubové"
"Adam Majeský"	"Brančská 58
004 90 Klížska Nemá"
"Kamila Halušková"	"Hattalova 7
003 47 Štvrtok na Ostrove"
"Hana Husárová"	"Pri Bielom kríži 789
918 39 Stupava"
"Viera Chrappová"	"Kadnárova 8
086 69 Horné Vestenice"
"Patrícia Jantošovičová"	"Saratovská 26
025 59 Perín - Chym"
"Alojz Kolnik"	"Janotova 911
077 36 Nižná Slaná"
"Oliver Nižňanský"	"Jakabova 2
017 13 Šmigovec"
"Ignác Masarik"	"Jegeneš 64
832 99 Jaslovské Bohunice"
"Adam Ružička"	"Zavadilová 2
030 39 Lieskovec"
"Natália Gáliková"	"Šášovská 63
855 55 Rabča"
"Blanka Čierniková"	"Chmeľová 732
885 36 Lubina"
"Martina Lesná"	"Albrechtova 2
953 24 Dolné Mladonice"
"Zoran Hlinka"	"Ladislava Dérera 28
967 02 Hrabová Roztoka"
"Sláva Čiernaová"	"Betliarska 92
041 68 Malé Raškovce"
"Sidónia Kozová"	"Iľjušinova 2
877 17 Záriečie"
"Bernard Madar"	"Škovránčia 1
840 31 Pliešovce"
"Lenka Finková"	"Jiskrova 519
050 23 Valice"
"Bc. Cyprián Husťák"	"Banícka 84
874 74 Popudinské Močidľany"
"Adam Škriniar"	"Ružomberská 91
005 34 Važec"
"Adolf Kisela"	"Bohrova 79
825 57 Nižná Jedľová"
"Zina Sklenicová"	"Čachtická 56
081 48 Klenov"
"Erika Hrdličková"	"Drieňová 6
953 77 Častá"
"Dana Mečiarová"	"Šaštínska 5
802 82 Jurkova Voľa"
"Karol Masár"	"Želiarska 48
069 28 Popudinské Močidľany"
"Romana Kocúrová"	"Snežienková 89
017 29 Jaklovce"
"Kvetoslava Ondrejkovičová"	"Kapušianska 50
070 80 Luhyňa"
"Kornel Paľo"	"Šamorínska 58
882 55 Ľutov"
"Leopold Jalovec"	"Spišská 625
914 00 Dlhá nad Oravou"
"Adela Dušeková"	"Trebišovská 82
913 85 Gánovce"
"Irma Talpašová"	"Olbrachtova 551
935 80 Lukovištia"
"Vilma Navarová"	"Hlavné námestie 31
944 89 Lipníky"
"Gregor Tomaško Th.D."	"Pekná cesta 4
979 21 Malá Lehota"
"Margaréta Kúbeková"	"Na Hrebienku 60
850 92 Bodovce"
"Erik Martinko"	"Tabaková 9
818 16 Lovce"
"Zoran Kramár"	"Uhrovecká 918
842 39 Ruská"
"Erika Tomečková"	"Podkerepušky 368
913 40 Mlynčeky"
"Helena Vydarená"	"Bratislavská 598
912 11 Valentovce"
"Eder Lajčiak"	"Kozia 28
965 50 Korňa"
"Adela Janková"	"Moravská 3
969 29 Jelka"
"Gabriel Melicherík"	"Bystrická 55
874 32 Tlmače"
"Františka Melichárová"	"Líščie nivy 62
848 30 Topoľčianky"
"Saskia Králová"	"Pestovateľská 916
905 65 Roztoky"
"Lívia Sámelová"	"Želiarska 328
992 08 Roztoky"
"Prokop Kupka"	"Dubová 2
996 75 Šúrovce"
"Adriána Tatárová"	"Pri Habánskom mlyne 700
840 47 Čaklov"
"Arpád Zubko"	"Vodné elektrárne 5
821 57 Pribeta"
"Darina Bukovská"	"Boragová 2
047 79 Ratkovská Lehota"
"Radovana Havranková"	"Dargovská 21
916 30 Varhaňovce"
"Adela Sklenková"	"Černockého 28
984 98 Senné"
"Ida Ryšová"	"Rybničná 1
833 80 Kátlovce"
"Sláva Chovanová"	"Buková 812
969 96 Špania Dolina"
"Martina Rihová"	"Schillerova 522
043 88 Oreské"
"RNDr. Branislava Dudíková"	"Bukureštská 9
833 66 Chmiňany"
"Leonard Orlík"	"Pri hradnej studni 72
096 66 Lúčky"
"Alan Ďurka"	"Majerská 4
934 49 Polichno"
"Bruno Puškár"	"Námestie slobody 2
045 34 Spišský Štvrtok"
"Monika Plekancová"	"Na Štyridsiatku 489
976 56 Margecany"
"Uršuľa Hanúseková"	"Drieňová 636
998 97 Dobšiná"
"Adolf Farkašovský"	"Pílová 842
887 85 Topoľa"
"Barbora Maďarová"	"Kováčska 8
087 56 Brestovec"
"Šimon Palkovič"	"Bratislavská 724
808 86 Litmanová"
"Alana Šulcová"	"Výtvarná 530
942 21 Trakovice"
"Olympia Vrablecová"	"Fedákova 599
982 21 Košariská"
"Eder Dzurjanin"	"Rádiová 452
822 32 Dúbravka"
"Simona Slobodová"	"Svébska 8
932 12 Dobšiná"
"Kristián Ďurovič"	"Smikova 91
083 09 Jalovec"
"Ivana Ondrášová"	"Roľnícka 9
054 88 Kubáňovo"
"Adam Šuňavec"	"Revolučná 823
845 50 Mokrance"
"Adolf Holuby"	"Brodská 8
064 64 Vrbov"
"Roland Kubek"	"Na pasekách 90
924 08 Kľače"
"Herbert Tomeček"	"Treskoňova 99
893 55 Moštenica"
"Ondrej Rubík"	"Borekova 832
910 38 Kováčovce"
"Benedikt Sokol"	"Ulica Viktora Tegelh 5
018 49 Vyšná Slaná"
"Ľudomil Leto"	"Laborecká 7
045 92 Myslina"
"Irma Vozárová"	"Vendelínska 3
924 82 Habura"
"Cecília Fraňvá"	"Pribinova 648
834 15 Báhoň"
"Kornélia Čobrdová"	"Dobrovičova 8
960 21 Suchohrad"
"Barbora Tomašeková"	"Barónka 51
030 55 Košice"
"Adolf Junás"	"Bottova 8
933 77 Želmanovce"
"Emil Selecký"	"Palackého 5
877 15 Veľký Čepčín"
"Cyril Jakubek"	"Leknová 13
050 47 Kaľamenová"
"Jarmila Drajnová"	"Záhradnícka 946
862 52 Ptičie"
"Alojzia Kelová"	"Zochova 789
030 11 Hutka"
"Frederika Krajčírová"	"Bazalková 3
866 46 Lipovec"
"Petrana Ondrušková"	"Korytnická 869
830 75 Selice"
"Alica Lacková"	"Šípková 28
888 80 Neded"
"Zara Beňušková"	"Bezekova 81
942 18 Jalšovík"
"Šimon Samson"	"Vtáčnik 59
915 85 Hažín nad Cirochou"
"Adolf Lepšík"	"Pivoňková 51
928 49 Kusín"
"Pankrác Ďurča"	"Cintulova 5
865 51 Lipová"
"Marika Holíková"	"Korabinského 1
048 03 Doľany"
"Benjamín Paľo"	"Majoránová 629
926 73 Senohrad"
"Barbora Mrazeková"	"Bukureštská 7
944 59 Pašková"
"Alex Kniha"	"Harmanecká 1
085 79 Livov"
"Marianna Mišíková"	"Urbánkova 292
014 13 Hnilec"
"Ladislava Šulcová"	"Tibériová 589
990 01 Štefanovce"
"Brigita Zacharová"	"Kaštielska 6
002 15 Chynorany"
"Boleslav Slovák"	"Račianske mýto 151
853 88 Rimavské Zalužany"
"Adolf Paľa"	"Murnice 338
893 79 Radvaň nad Dunajom"
"Miloš Franka"	"Mateja Bela 717
967 49 Vyšné Nemecké"
"Hilda Habláková"	"Piešťanská 690
053 90 Branč"
"Frederika Lukšová"	"Žitavská 1
848 59 Medveďov"
"Denisa Brunovská"	"Ružinovská 7
016 73 Abranovce"
"Fridrich Dudo"	"Pavlovova 22
040 50 Horný Bar"
"Viktória Valentínová"	"Námestie slobody 28
865 71 Sikenica"
"Darina Mackovičová"	"Planckova 7
890 48 Šuňava"
"Paulína Kozová"	"Vlastenecké námestie 4
928 88 Hraň"
"Bohumír Obšut"	"Čachtická 610
973 86 Dubodiel"
"Adolf Rusnák"	"Bažantia 8
930 01 Detrík"
"Radovana Masariková"	"Pažítková 71
040 54 Turie"
"Michaela Jakubčeková"	"Máchova 9
080 03 Prihradzany"
"Antónia Dušičková"	"Tekvicová 31
915 58 Koromľa"
"Beňadik Pavlík"	"Klokočova 990
056 33 Jelšovec"
"Alexej Korec"	"Puškinova 387
891 09 Vieska"
"Eulália Tománeková"	"Na Brezinách 6
971 58 Veľká Čausa"
"Eder Bezák"	"Jakubovo námestie 4
939 31 Bzovská Lehôtka"
"Andrea Černochová"	"Vrbenského 733
070 87 Slavec"
"Antónia Lesná"	"Trinásta 5
937 30 Hnúšťa"
"Adolf Sedliak"	"Mlynská dolina 621
937 49 Nová Ľubovňa"
"Alana Heretiková"	"Čiernovodská 863
924 07 Čajkov"
"Adriána Capeková"	"Kamenárska 8
822 32 Ruský Potok"
"Zdenka Vajciková"	"Stálicová 27
815 26 Donovaly"
"Gregor Vaško"	"Tomášikova 134
882 20 Zálesie"
"Jaromíra Imrichová"	"Oskorušová 36
803 42 Lekárovce"
"Marek Adam"	"Horná 460
978 15 Matejovce nad Hornádom"
"Judita Blahová"	"Vinohradnícka 830
903 01 Lazisko"
"Elvíra Mlynárová"	"Biela 58
064 76 Lúč na Ostrove"
"Bibiána Pavúková"	"Matúšova 108
843 36 Dolný Lopašov"
"Adrián Ondruš"	"Križkova 55
075 95 Dlhá"
"Benjamín Martinák"	"Parková 80
075 10 Peder"
"Denis Klapka"	"Šuty 1
937 67 Výčapy - Opatovce"
"Filip Vrabec"	"Vyhliadka 915
909 26 Studenec"
"Eugénia Záborská"	"Pažického 195
886 76 Očová"
"Florián Valušek"	"Gajc 302
912 67 Pakostov"
"Gregor Ondruška"	"Kuneradská 291
910 36 Zalužice"
"Danica Fraňová"	"Štefana Králika 85
910 40 Repište"
"Milan Sýkora"	"Nábrežná 38
973 99 Chrámec"
"Želmíra Rosová"	"Francisciho 504
853 57 Svrčinovec"
"Adrián Podkonický Th.D."	"Borinská 94
090 45 Hrabovčík"
"Atila Šváb"	"Špieszova 34
067 69 Držkovce"
"Iveta Škultétyová"	"Drieňová 7
821 58 Klubina"
"Vratko Huska"	"Ulica 29. augusta 1
031 20 Valentovce"
"Aleš Dudo"	"Teplická 4
023 50 Suché Brezovo"
"Zora Micháliková"	"Grösslingova 45
852 30 Ostrov"
"Otília Pavúková"	"Tajovského 54
039 62 Ludrová"
"Hugo Kočko"	"Struková 145
937 65 Pavčina Lehota"
"Paulína Martinovičová"	"Brezová 743
093 99 Hruboňovo"
"Koloman Sidor"	"Na úvrati 310
892 57 Bratislava"
"Adrián Škultéty"	"Bilíkova 515
073 58 Turany"
"Ľudmila Selecká"	"Vígľašská 921
984 02 Turčianky"
"Emil Novotný"	"Pri Bielom kríži 866
087 79 Devičany"
"Vasil Skutecký"	"Bajkalská 200
957 69 Kajal"
"Koloman Palko"	"Moyzesova 650
096 28 Jesenské"
"Uršuľa Jakubková"	"Nerudova 1
004 66 Stakčínska Roztoka"
"Dáša Pušková"	"Levočská 2
937 57 Hencovce"
"Kristína Michalicová"	"Krajná 85
885 27 Martin"
"Ľudomil Lajčák"	"Jačmenná 8
881 91 Lechnica"
"Klaudia Melicháreková"	"Okružná 71
814 96 Ovčie"
"Adriána Masná"	"Rigeleho 8
050 28 Mládzovo"
"Ľudovít Hošták"	"Fláviovská 5
037 57 Pružina"
"Tatiana Dutková"	"Krajná 99
047 94 Veľké Lovce"
"Marika Ďurkovská"	"Hadia cesta 89
960 03 Likavka"
"Fedor Mikloško"	"Mlynské luhy 8
916 60 Muľa"
"Blažej Husťák"	"Hanulova 354
015 62 Boldog"
"Zita Vlnová"	"Cesta na Senec 25
833 21 Repejov"
"Maximilián Madara"	"Za sokolovňou 21
045 53 Kráľovský Chlmec"
"Martina Švehlová"	"Bočná 425
042 57 Malé Lednice"
"Vlasta Paľovčíková"	"Mliekárenská 21
947 86 Maňa"
"Adriána Mikuláková"	"Mečíkova 336
993 41 Krpeľany"
"Dagmara Ryšková"	"Amarelková 46
806 47 Záhor"
"Lukáš Klimáček"	"Bieloruská 43
827 78 Dolný Harmanec"
"Vavrinec Váska"	"Dlhé diely III. 96
976 37 Nitrianske Sučany"
"Herbert Maca"	"Dopravná 31
949 07 Dlhé Pole"
"Linda Habláková"	"Jána Raka 856
844 57 Trnovec nad Váhom"
"Magdaléna Vicenová"	"Janíkove role 37
954 94 Kmeťovo"
"Soňa Filipová CSc."	"Puškinova 7
924 33 Čimhová"
"Severín Šurka"	"Bukureštská 83
949 64 Bartošova Lehôtka"
"Jaromír Seč"	"Nemčíkova 318
962 97 Podzámčok"
"Adriána Romančíková"	"Ovsištské námestie 4
923 96 Veľký Klíž"
"Mgr. Ivona Martinčeková DSc."	"Dulovo námestie 4
978 09 Ratkovské Bystré"
"Melichar Skutecký"	"Repíková 469
961 71 Čachtice"
"Dávid Moric"	"Skerličova 8
830 33 Selce"
"Valéria Korčáková"	"Kráľovské údolie 842
000 30 Skerešovo"
"Marika Centeková"	"Pod Rovnicami 1
029 26 Jesenské"
"Izabela Michalicová"	"Pestovateľská 4
891 80 Martin nad Žitavou"
"Bernard Maroš"	"Strakova 97
049 00 Moldava nad Bodvou"
"Rozália Lojeková"	"Marótyho 2
869 14 Dolné Orešany"
"Šimon Janík"	"Zámocké schody 1
903 94 Hrubov"
"Agnesa Boreková"	"Rozvodná 2
905 98 Šarišské Sokolovce"
"Fedor Svrbík"	"Ulica J. Valašťana D 383
962 32 Bešeňov"
"Viera Janíková"	"Kvetná 44
010 67 Choňkovce"
"Žofia Zigová"	"Stolárska 3
951 63 Horný Pial"
"Albert Macko"	"Podniková 6
979 29 Repište"
"Nataša Palová"	"Vetvárska 9
805 33 Omastiná"
"Benedikt Ťažký"	"Námestie SNP 862
906 08 Čermany"
"Mgr. Izidor Jurkovič Th.D."	"Holíčska 6
066 96 Semerovo"
"Štefánia Mrázová"	"Bajkalská 5
833 44 Lomná"
"Cecília Lacová"	"Jesenná 503
972 53 Dolná Ves"
"Agnesa Bosáková"	"Vajnorská 102
048 31 Slovenský Grob"
"Benjamín Jurčina"	"Malagová 3
066 99 Poľany"
"Vanda Miháliková"	"Ľudové námestie 615
938 44 Gemer"
"Sidónia Zubeková"	"Pri tehelni 46
011 07 Lozorno"
"Cyprián Masárik"	"Skerličova 496
816 13 Veľká Mača"
"Emanuel Simon"	"Vajnorská 92
930 12 Sklené Teplice"
"Ivica Kramárová"	"Nové záhrady V 533
877 67 Janov"
"Libor Kuffa"	"Kadnárova 117
018 99 Okres Bratislava III"
"Branislava Pavelková"	"Horská 3
986 89 Uloža"
"Silvia Holičková"	"Kráľovské údolie 19
049 70 Giraltovce"
"Agnesa Cibulová"	"Laborecká 2
844 23 Veľká Lomnica"
"Jaromír Antal"	"Kollárovo námestie 9
948 68 Kráľova Lehota"
"Hana Jakubíková"	"Vyhliadka 5
991 77 Dolné Semerovce"
"Drahomír Zubka"	"Semenárska 651
824 47 Oreské"
"Levoslav Pavlovič"	"Druhá 603
919 16 Selce"
"Vincent Martinkovič"	"Slatinská 10
956 40 Malé Hoste"
"Eunika Kozáčeková"	"Galbavého 556
015 79 Fričkovce"
"Ferdinand Huška"	"Pankúchova 395
052 21 Látky"
"Konštantín Šimonovič"	"Šoltésovej 669
046 96 Sklené"
"PhDr. Viera Janková"	"Homolova 1
916 70 Očová"
"Agnesa Hrianková"	"Za Kasárňou 912
015 65 Beckov"
"Beáta Dávidová"	"Podunajská 43
861 84 Dubovany"
"Ľubor Farkašovský"	"Sinokvetná 5
917 56 Bruty"
"Bernard Klima"	"Karadžičova 1
059 68 Bobrovník"
"Koloman Hupka"	"Rašelinová 32
024 91 Valaská"
"Blažej Rosina"	"Hlboká cesta 465
089 35 Turčianska Štiavnička"
"Martina Štrbová"	"Ulica 8. mája 4
964 87 Báb"
"Uršuľa Palovčíková"	"Vodné elektrárne 17
990 66 Hodejovec"
"Timotej Ťažký"	"Podlesná 382
039 57 Bežovce"
"Boleslav Juráš"	"Pluhová 87
078 37 Počúvadlo"
"Agnesa Kučerová"	"Fláviovská 4
914 40 Vyšná Myšľa"
"Bruno Palov"	"Žižkova 5
024 78 Terany"
"Šimon Ondrášek"	"Višňová 78
879 21 Biskupice"
"Slávka Blažejová"	"Beblavého 3
932 13 Považská Bystrica"
"Antónia Puklušová"	"Modricová 884
948 37 Tvrdošín"
"Hubert Labuda"	"Žižkova 9
959 50 Bašovce"
"Cyprián Holuby"	"Siedma 688
878 11 Hrlica"
"Aurélia Ivašková"	"Dobrovského 98
066 00 Makov"
"Drahomíra Kráľovičová"	"Nové záhrady VII 42
906 67 Kameničná"
"Anabela Drobná"	"Sovia 9
924 15 Muránska Lehota"
"Agnesa Ondrušová"	"Smrečianska 831
815 65 Žihárec"
"Bystrík Zigo"	"Poludníková 26
923 88 Martin nad Žitavou"
"Linda Junasová"	"Oblúková 4
817 06 Bzovská Lehôtka"
