"Adolf Gorenc"|"Hribarjevo nabrežje 6a
7288 Kobarid"
"Antonija Tomažič"|"Vidovdanska cesta 76
2441 Slovenska Bistrica"
"Valerija Skok"|"Nahlikova ulica 2c
6375 Šempeter pri Gorici"
"Darja Koželj"|"Teslova ulica 2c
1878 Šoštanj"
"Rado Mavrič"|"Mlinska pot 8b
1688 Zagorje ob Savi"
"Ana Bajc"|"Knafljev prehod 9b
0699 Šoštanj"
"Julijana Dolinar"|"Vrhovnikova ulica 51
2186 Kranj"
"Cecilija Hafner"|"Rožna ulica 3
4859 Murska Sobota"
"Aleksander Rupnik"|"Novo Polje, cesta III 338
6963 Ptuj"
"Goran Zver"|"Sončna pot 1b
4378 Škofja Loka"
"Adolf Hrovat"|"Kokaljeva ulica 6a
2410 Škofja Loka"
"Žiga Sitar"|"Cesta na Ozare 6
5563 Dravograd"
"Luka Kolenc"|"Gunceljska cesta 4a
7099 Žiri"
"Albina Filipič"|"Divjakova ulica 5c
5549 Lenart v Slovenskih goricah"
"Borut Cerar"|"Pot v Mlake 0a
0577 Ptuj"
"Marinka Hodžić"|"Slovenčeva ulica 6c
6362 Rogaška Slatina"
"Eva Volk"|"Čargova ulica 41
0173 Bled"
"Klemen Bergant"|"Tischlerjeva ulica 2a
7517 Radeče"
"Simon Zver"|"Kettejeva ulica 21
9408 Medvode"
"Ana Žibert"|"Hajdrihova ulica 3
2457 Trbovlje"
"Adolf Janežič"|"Colnarjeva ulica 2
6878 Škofja Loka"
"Žan Dolinšek"|"Vrhovci, cesta XXII 13
8300 Šentjur"
"Justina Ilić"|"Drenikova ulica 6c
5033 Lenart v Slovenskih goricah"
"Janez Tomšič"|"Martinova ulica 137
3067 Kostanjevica na Krki"
"Karel Bregar"|"Verovškova ulica 641
2480 Slovenska Bistrica"
"Viktorija Jenko"|"Prešernova cesta 9
8135 Tolmin"
"Melita Zemljič"|"Mali trg 9
3726 Ravne na Koroškem"
"Olga Zupan"|"Pot na Grič 3
0420 Radovljica"
"Stjepan Kranjc"|"Regentova cesta 9a
6721 Ptuj"
"Patricija Petrovič"|"Jurčičev trg 956
2324 Laško"
"Adolf Janežič"|"Hribovska pot 8
7356 Sevnica"
"Maksimiljan Leban"|"Cesta v Kostanj 658
8335 Hrastnik"
"Olga Hozjan"|"Forsterjeva ulica 6b
3799 Brežice"
"Iris Božič"|"Kamnogoriška cesta 5c
6875 Postojna"
"Stanka Tratnik"|"Židovska ulica 9b
9908 Lenart v Slovenskih goricah"
"Lucija Hozjan"|"Pot na mah 7
5327 Maribor"
"Danijel Kumer"|"Ulica Rezke Klopčič 679
7770 Slovenj Gradec"
"Avgust Jereb"|"Ulica Jožeta Japlja 472
3067 Žiri"
"Daniel Bevc"|"Pod Debnim vrhom 5c
3352 Cerknica"
"Avgust Kovač"|"Pod hrasti 1
7706 Gornji Grad"
"Adolf Kokol"|"Grablovičeva ulica 8a
6293 Radovljica"
"Borut Tomažič"|"Cesta v Legarico 0
7335 Piran"
"Tatjana Javornik"|"Grobeljska pot 73
1744 Šoštanj"
"Antonija Bevc"|"Pri borštu 3a
0806 Gornji Grad"
"Teja Kocjančič"|"Berdajsova ulica 444
5492 Hrastnik"
"Milena Dolenc"|"Sostrska cesta 4a
0986 Železniki"
"Anja Dolinšek"|"Ulica bratov Martinec 2a
6024 Vipavski Križ"
"Nastja Resnik"|"Jensenova ulica 7
0333 Trebnje"
"Vlado Žižek"|"Černigojeva ulica 2a
0990 Tržič"
"Mihael Mrak"|"Ulica Lizike Jančarjeve 382
3651 Piran"
"Adolf Kolar"|"Snojeva ulica 7a
0928 Velenje"
"Nuša Hribernik"|"Čehova ulica 4c
1235 Vipava"
"Mojca Koželj"|"Strmi pot 1c
9251 Ptuj"
"Angela Zorman"|"Pečarjeva ulica 8c
7163 Železniki"
"Nikola Leban"|"Čargova ulica 89
7931 Grosuplje"
"Gal Leskovar"|"Gradnikova ulica 2a
1413 Metlika"
"Franci Krivec"|"Polje, cesta II 3
2960 Cerknica"
"Igor Dolinar"|"Bilečanska ulica 5c
8839 Gornja Radgona"
"Antonija Dolinšek"|"Mrzelova ulica 0b
8026 Idrija"
"Željko Mlinarič"|"Jarška cesta 1a
1863 Slovenj Gradec"
"Adolf Kranjc"|"Pod akacijami 3
0509 Mežica"
"Viljem Filipič"|"Bizjanova ulica 30
6339 Cerknica"
"Maruša Maček"|"Beljaška ulica 9a
7335 Bled"
"Barbara Logar"|"Prištinska ulica 1c
1402 Šempeter pri Gorici"
"Martina Vodopivec"|"Kalinova ulica 2b
9345 Ruše"
"Branka Dolinšek"|"Ulica Mirka Tomšiča 8c
4203 Postojna"
"Boštjan Golob"|"Čižmanova ulica 7
6166 Postojna"
"Marjan Korošec"|"Kavčičeva ulica 6b
2858 Sevnica"
"Maj Bezjak"|"Okiškega ulica 07
0623 Vipavski Križ"
"Sandra Kumer"|"Kozinova ulica 757
8229 Velenje"
"Adolf Rus"|"Torkarjeva ulica 499
7360 Prevalje"
