Abdirahman Frid     19 
Oscar Hjalmarsson   14 
Helén Lundgren      18 
Teresia Roos        16 
Thomas Kjellberg    18 
Ebba Olsson         6  
Albin Lind          20 
Carl Gunnarsson     8  
Mattias Johansson   15 
Eva Persson         7
Adrian Augustsson   14 
Emil Åsberg-Karlsson1  
Marianne Ottosson   20 
Linda Lundström     9  
Jessica Larsson     7  
Sara Johansson      12 
Maj Karlsson        9  
Veronica Jönsson    16 
Ingrid Nordqvist    7  
Nils Helgesson      17
Adrian Pålsson      20 
Jan Gustafsson-Abbas18 
Alva Holmberg Lennar7  
Olle Andersson      3  
Daniel Henriksson   6  
Simon Samuelsson    9  
Kurt Törnqvist      14 
Elsa Blomqvist      17 
Juhani Svensson     19 
Benjamin Nilsson    20
Agne Alfredsson     15 
Piotr Berg          0  
Jan Dahlberg        6  
Marianne Strand     2  
Willy Dahl          18 
Björn Rask-Larsson  0  
Arne Johansson      6  
Annika Johansson    3  
Amanda Hjelm        5  
Inger Larsson       19
Agnes Brodin        13 
Torgny Andersson    2  
Kim Johannesson     2  
Felix Karlsson      13 
Julia Berg          9  
Barbro Håkansson    18 
Rasmus Engberg      10 
Ingemar Lövgren     19 
Ingegerd Johansson  0  
Margareta Karlsson  2
Agnes Fransson      8  
Ragnar Jansson      20 
Ulla Said           20 
Kristian Ahlberg    8  
Mohammed Li Eliasson10 
Anders Johansson    6  
Anita Bergsten      13 
Lennart Södergren   15 
Ann-Louise Gustafsso0  
Malin Eriksson      19
Agnes Lundström     19 
Linda Lindqvist     15 
Tilda Johansson     19 
Mathilda Andreasson 14 
Ellen Jonsson       9  
Benjamin Forslund Ar15 
Viktoria Gustafsson-9  
Linnea Erlandsson   13 
Per Stenlund Sandstr9  
Charlotte Bengtsson 18
Agnes Malmström     7  
Elisabeth Sjöberg   11 
Joakim Johansson    4  
Cecilia Larsson     15 
Elisabeth Johansson 4  
Gerhard Andersson   4  
Linus Karlsson      19 
Alice Friberg       14 
Birgitta Franzén    12 
Edith Gustafsson    5
Agnes Mattsson      16 
Linda Nilsson-Månsso15 
Daniel Berg         19 
Lars Eriksson       6  
Helena Johansson    5  
Ellinor Gunnarsson  15 
Emelie Åberg        12 
Erik Lundgren       16 
Angelica Hellström  20 
Per-Olof Sundström  15
Agnes Nilsson       13 
Mira Holmström      4  
Jerry Lundin-Anderss6  
Anders Jakobsson-Sve13 
Oskar Johansson-Joha4  
Malin Moberg        4  
Mark Bergqvist      3  
Mio Ekdahl          19 
Patrik Jakobsson    20 
Inga Niklasson      8
Agneta Abrahamsson  1  
Linnéa Lindberg Lind10 
Hans Jansson        1  
Theo Gustafsson     5  
Linnea Björk        7  
Algot Johannesson Fr4  
Edvin Hansson       16 
Gunnar Blixt        0  
Lena Johansson      0  
Ingemar Persson     5
Agneta Andersen     4  
Daniel Lindberg     13 
Kristina Bengtsson  6  
Sten Hagman         4  
Bo Larsson Forsberg 0  
Leif Blom           8  
Jenny Hellström Pers5  
