"丁志銘","78228 鳳山雙連路3段88號0樓"
"曹承恩","579 蘆洲縣長春巷46號6樓"
"彭宇翔","59743 彰化關渡巷1號6樓"
"戴秀美","184 古坑莒光街6號7樓"
"趙佩珊","86905 北竿縣中和街619號9樓"
"呂淑華","724 台南民生街2號1樓"
"謝美蘭","936 白沙長安街1號之5"
"林美珍","93794 南投中興路243號5樓"
"方雨霏","46007 頭份縣劍潭巷8號之4"
"吳宗憲","60358 台南民治路581號之0"
"丁正雄","71635 花蓮松山路525號之2"
"韓靜怡","84265 牡丹縣永和巷64號之8"
"黃進發","792 雲林縣成功巷24號0樓"
"蔡素貞","561 台南縣林森路88號0樓"
"陳麗雲","751 馬公縣信義巷44號之1"
"蔡俊佑","55838 關山土城街82號5樓"
"張俊傑","66755 草屯市水源巷14號1樓"
"楊勝雄","378 平鎮紅樹林路55號之7"
"鄭勝雄","55377 草屯市長春巷3段8號7樓"
"陳文章","316 板橋縣長春巷6段522號6樓"
"丁素貞","761 中和市水源巷53號5樓"
"鄭子恩","983 楊梅市蘆洲街1段61號5樓"
"謝玉梅","97716 宜蘭大智路6段162號3樓"
"紀佳蓉","812 朴子明德巷6號之1"
"廖家豪","34740 南投縣土城街1號0樓"
"陳俊賢","22758 基隆迴龍街49號6樓"
"許永昌","79681 橫山天母巷614號0樓"
"林玉梅","99842 馬公永安巷660號之5"
"謝志偉","39238 豐原縣大智街1號6樓"
"梁玉梅","33157 北竿市劍潭巷54號4樓"
"丁雅惠","486 新竹芝山路98號9樓"
"陳國雄","45062 鳳山縣新生巷4號0樓"
"麥正雄","991 橫山永安街4段5號之2"
"翁麗玲","86531 橫山德路949號之4"
"吳淑玲","305 北斗市蘆洲路395號之2"
"馮麗華","12398 樹林市新莊路1段69號之7"
"楊美麗","478 光復市中興街2號之3"
"徐鈺婷","734 汐止市萬隆街48號4樓"
"江淑玲","90163 褒忠市五福巷7號之5"
"呂志豪","67651 斗六縣中山街7號之8"
"丁雅慧","496 大里市和街路56號2樓"
"楊苡菲","263 苗栗正義路521號之4"
"鄭月英","80771 大里縣松山街1段186號之5"
"鐘正雄","34169 南投育英路2段16號之2"
"林麗玲","693 白沙雙連巷33號9樓"
"劉秀珍","56381 馬公民族路591號2樓"
"陳文欽","75517 永康育英路409號之4"
"吳麗華","55939 頭份忠義路2段6號之5"
"林美珠","43576 基隆正義路97號9樓"
"卓宥廷","473 中壢縣興路995號1樓"
"丁麗玲","39729 連江景美巷916號2樓"
"張美英","87893 馬公新興巷39號5樓"
"張家榮","652 新營縣長春街7段428號4樓"
"吳承恩","632 太保縣永和路73號3樓"
"黃仁傑","65660 台北市中正路523號之1"
"張宗霖","29332 古坑縣平和路6段7號之1"
"吳志誠","80767 桃園縣民權路563號之7"
"李柏霖","82424 台北新店巷14號3樓"
"潘芯語","91771 永和蘆洲街826號之3"
"許宗翰","481 永和學府街25號2樓"
"于俊宇","78740 竹北縣勝利巷9號之0"
"陳俊雄","29382 臺東大勇街933號之7"
"黃惠珍","83226 北斗民享路95號之9"
"李宇軒","43000 台北頂福州巷38號之8"
"陳承恩","26306 新竹市新店巷4號2樓"
"邱秀娟","523 員林市南路3號之5"
"黃麗香","24626 三重關渡街4段925號之6"
"王淑玲","24134 褒忠民治巷8段629號之5"
"林俊廷","519 臺東大勇街589號之7"
"陳國華","85850 高雄永寧街137號之8"
