"丁冠宇","48302 豐原松山巷94號之3"
"陳俊佑","724 永康市文昌街690號之0"
"鄭家豪","112 大里新莊巷6號8樓"
"劉美惠","14070 新營市光明路7號6樓"
"鄭勝雄","500 汐止市景美街970號1樓"
"陳靜怡","221 嘉義縣勝利路362號6樓"
"賴建志","70558 台東市德街2號5樓"
"李宸睿","546 草屯新生街1號1樓"
"鍾明宏","96573 蘆竹縣大安路4號2樓"
"林秋香","698 中壢新興街5號7樓"
"丁宗霖","511 基隆福安路1號之6"
"簡淑芬","83383 樹林新北投巷316號4樓"
"陳美華","61901 太保縣學府巷46號4樓"
"吳承恩","53536 宜蘭縣建國巷883號之2"
"張玉鳳","99533 彰化公園路68號4樓"
"吳明宗","809 太平劍南巷4段50號之2"
"白嘉宏","420 竹田縣迴龍巷1號2樓"
"劉淑敏","966 北港市東湖路7號之4"
"鄭淑惠","20589 澎湖仁愛路69號3樓"
"黃宗翰","19890 汐止縣仁愛街75號之6"
"丁建宏","80373 中壢市忠孝街202號之7"
"黃志賢","669 楊梅劍潭路1段752號之5"
"徐秀蓮","37099 連江龍山寺路339號9樓"
"郭子晴","695 嘉義縣北投路95號9樓"
"林怡君","85091 草屯淡水路352號8樓"
"董秀鳳","56071 馬公興巷9段7號1樓"
"黃承翰","423 北港縣新埔巷38號之4"
"林秀珍","743 台東中和巷128號之6"
"陳秀琴","51039 花蓮縣明德巷991號之5"
"饒秀華","423 花蓮東興街9段42號之1"
"丁建良","62853 台南明德巷81號之7"
"劉玉玲","178 連江市中山路72號之1"
"郭柏霖","47647 臺東光華路16號7樓"
"包美珍","96522 宜蘭中華街110號6樓"
"劉美玲","339 鳳山縣育英巷76號9樓"
"廖子豪","610 楊梅縣東湖路90號8樓"
"陳秀蘭","14105 豐原縣新生巷8號之6"
"楊俊銘","53992 新營三民巷439號6樓"
"謝冠霖","87010 新竹廣慈巷2號之3"
"甘美麗","34462 牡丹縣東湖巷8號6樓"
"丁承恩","815 蘆竹市中正街839號之3"
"林秀娟","999 草屯關渡巷23號之8"
"高俊賢","41096 板橋縣福德巷962號之1"
"羅靜怡","312 台東自由巷429號之4"
"游雅雯","65598 樹林市建國巷5號6樓"
"許月娥","59366 嘉義中央路9段4號之7"
"施秀鳳","22759 彰化文山路4號8樓"
"李碧霞","99728 苗栗光復街24號之5"
"邱聰明","527 太保縣中山巷594號6樓"
"劉志明","31577 桃園市忠孝街72號之5"
"丁欣怡","86622 樹林市雙連街3段756號之6"
"蘇建宏","319 朴子頂福州巷32號之4"
"許麗華","78350 基隆廣慈路84號7樓"
"張靜怡","43717 橫山大仁街46號之9"
"林麗珠","82016 橫山仁愛路5號之6"
"賴冠廷","712 八德府中路285號2樓"
"邱麗娟","157 樹林松山街140號之1"
"詹國雄","636 屏東市四維路923號之4"
"陳芸菲","192 草屯和街街9號6樓"
"劉美華","797 金門市新埔路3段264號0樓"
"丁秀霞","401 新營大橋頭街3號之0"
"簡文雄","656 大里仁愛街183號之9"
"簡世明","320 北斗萬隆路392號之2"
"張建興","749 頭份劍南街598號之7"
"何文雄","41295 中和市建國巷1號之3"
"陳俊賢","672 大里自立巷13號9樓"
"李淑美","194 頭份關渡巷4段9號之9"
"莊承恩","937 太保勝利巷1段8號之6"
"王淑華","818 中壢市景美路2號之1"
"康淑敏","73880 古坑市文昌路187號1樓"
"丁美華","41517 連江淡水巷641號之5"
"黃子宸","86572 太保動物園街4號之5"
"吳冠廷","245 朴子芝山路5號之1"
"鄭怡君","42073 楊梅德路46號之2"
"顏玉美","59317 太平信義街751號3樓"
"徐志誠","805 豐原五福巷7號0樓"
"曾淑玲","68314 太保士林街9段733號之3"
"曾家銘","11516 屏東民享巷1段46號之0"
"王美雲","691 大里縣民治路45號之7"
"陳俊男","57399 員林市五福路5段5號2樓"
"丁麗華","477 新竹文化街17號之8"
"呂美玉","14193 大里縣中央路37號之3"
"陳淑貞","31778 桃園中興路30號5樓"
"蕭彥廷","90766 竹北國凱八德路8號6樓"
"林雅玲","15522 臺中市新店巷6號之6"
"張秋月","36803 樹林縣正義巷59號之9"
"蘇志雄","42768 北竿市淡水巷8號6樓"
"方俊賢","395 汐止縣紅樹林巷9號之1"
"龔秋香","90516 平鎮縣大同路146號6樓"
"黃月英","987 屏東民享路472號之8"
"伍文龍","67449 連江三民街8段90號之8"
"陳冠宇","83087 桃園民治街1段12號1樓"
"鍾淑卿","235 光復縣民享街18號之7"
"葉淑芬","74922 蘆竹光華巷213號8樓"
"邱志遠","583 南投太平街571號6樓"
"劉雅婷","793 花蓮芝山路9號6樓"
"吳玉鳳","28683 卑南縣民富巷2號之7"
"鍾家瑋","99677 蘆竹紅樹林街5號之6"
"莊信宏","822 褒忠市大安街2段786號之2"
"黃玉美","32304 太平東興路489號之7"
"何世昌","194 三重府中巷4號之7"
"黃麗珠","267 牡丹雙連路36號0樓"
"張美英","908 汐止光華路38號之2"
"張志豪","78251 汐止縣林森巷691號7樓"
"李博文","51578 三重市新生巷5段7號之5"
"陳素貞","309 白沙縣中興街4段167號之8"
"簡麗美","469 新北市永寧巷6號之7"
"黃素卿","549 花蓮中山街762號1樓"
"蔡宥廷","86918 高雄士林巷851號之6"
"方家豪","850 梅山水源路5號之4"
"何俊明","26755 北港莒光路5號之1"
"徐榮華","582 宜蘭市民富巷51號0樓"
"陳子恩","54960 金門縣大同巷999號7樓"
