"丁哲瑋"|"410 澎湖市紅樹林街80號之6"
"林志忠"|"339 宜蘭市頂福州巷5號3樓"
"陳子豪"|"294 橫山象山巷517號之2"
"顧建華"|"470 台南公園巷4段4號2樓"
"黃政宏"|"44357 八德龍山寺巷21號之9"
"范玉鳳"|"461 宜蘭北投路4號之4"
"吳正義"|"91015 樹林民生路578號1樓"
"黃冠霖"|"68429 蘆洲縣新生路487號之9"
"黃志誠"|"965 桃園忠義路893號之4"
"李美惠"|"173 牡丹市國凱八德路95號之8"
"丁嘉宏"|"453 新竹市新莊巷674號之6"
"李家銘"|"87962 板橋縣動物園巷197號之3"
"謝欣怡"|"75032 花蓮新生巷6段34號之2"
"楊麗娟"|"847 古坑文化巷629號之0"
"葉秀蓮"|"98119 關山市信義街7段520號8樓"
"王淑慧"|"485 三重福安街9段6號之5"
"董進發"|"975 宜蘭縣民有路7號之7"
"吳淑惠"|"512 豐原縣松山街6號之5"
"黃志銘"|"68844 竹田福安路562號之4"
"余麗卿"|"59893 基隆象山街7號7樓"
"丁志偉"|"96045 阿里山中山巷9號1樓"
"羅進財"|"29833 阿里山市三民路386號之9"
"許惠玲"|"881 新北市龍山寺街3段2號7樓"
"余秋香"|"747 雲林縣國凱八德巷6段47號之2"
"陳文祥"|"193 橫山大安街8號6樓"
"簡文華"|"43044 竹北中正路487號4樓"
"蕭金龍"|"676 汐止市東興路259號7樓"
"林嘉宏"|"548 蘆竹市信義巷3號之0"
"張金龍"|"635 桃園縣蘆洲巷931號3樓"
"程淑芬"|"116 橫山市興街9號9樓"
"丁玉鳳"|"67600 臺東市民族巷531號之8"
"林志成"|"215 桃園古亭路7段122號9樓"
"李淑玲"|"78360 太保蘆洲街62號之4"
"蘇淑玲"|"532 頭份市中正路47號之0"
"劉雅惠"|"42458 新北大同街746號2樓"
"朱志賢"|"38950 永和縣頂福州街41號之5"
"張文龍"|"59562 太保信義街4段67號9樓"
"林家榮"|"442 台北縣新生街4號之1"
"李玉梅"|"127 新竹縣動物園路7號之9"
