"Adam Hrubý","Mílovská 870
471 72 Volary"
"Petr Soukup","Vstupní 27
773 21 Pacov"
"Leona Tichá","Mílovská 626
534 32 Hrádek nad Nisou"
"Josef Havlíček","Ke Strašnické 25
389 31 Rejštejn"
"Marcela Navrátilová","Maltézské Náměstí 355
152 93 Kunovice"
"Viktor Valenta","Za Pivovarem 77
172 57 Týnec nad Labem"
"Radka Černá","Za Stadionem 1
798 69 Tišnov"
"Horymír Moravec","U Hřbitova 869
638 58 Bělá pod Bezdězem"
"Miloslav Bárta","U Balabenky 9
788 87 Hostouň"
"Ivona Soukupová","Kremnická 541
724 56 Rýmařov"
"Adam Hruška","Žižkova 3
751 63 Nový Bydžov"
"Anděla Kučerová","Poleradská 80
222 18 Strážov"
"Artur Hruška","U Dálnice 442
787 17 Velké Opatovice"
"Lucie Horáčková","Průškova 63
114 70 Moravské Budějovice"
"Jindřiška Jandová","Javornická 475
170 41 Rajhrad"
"Blahoslav Valenta","Ke Břvům 331
780 81 Jáchymov"
"Horymír Sedlák","Nad Vernerákem 253
374 75 Bezdružice"
"Vasyl Mašek","K Vodě 92
778 15 Strážov"
"Bohumil Havel","Ambrožova 7
575 50 Pacov"
"Jakub Kubíček","Tachovské Náměstí 60
782 00 Vracov"
"Adam Jelínek","Meziškolská 231
182 68 Počátky"
"Klára Šmídová","Novákovo Náměstí 94
789 59 Úpice"
"Iveta Sedláčková","Mezi Sklady 4
114 05 Ždírec nad Doubravou"
"Matouš Brož","Mazancova 7
217 27 Rožďalovice"
"František Holub","Vlasákova 976
726 65 Klimkovice"
"Blahoslav Beránek","Na Staré Vinici 37
770 48 Rotava"
"Filip Vaněk","Souběžná 429
712 23 Náměšť nad Oslavou"
"Mgr. Břetislav Šmíd Ph.D.","U Rakovky 1
415 34 Bochov"
"Radim Kubíček","Mezi Sklady 72
580 77 Milovice"
"Albert Tůma","Opletalova 4
237 33 Kdyně"
"Adam Kovář","Nad Košinkou 102
510 63 Netolice"
