"Aage Bach","Skindergade 267
5243 Vestbjerg"
"Mathilde Dam-Svendsen","Maribovej 327
5930 Liseleje"
"Prof. Olga Vestergaard","Holtevej 6
6755 Sønderborg"
"Osvald Winther-Hansen","Helikonsstræde 248
5847 Holeby"
"Fru Kirsten Østergaard","Bohlendachvej 87
8702 Glumsø"
"Villads Winther-Olsen","Børglum Allé 656
8166 Vejers Strand"
"Karl Laursen","Bramslykkegade 886
6018 Sommersted"
"Karin Vestergaard","Alperosevej 168
6949 Rødby"
"Ragna Larsen","Falkegade 4
4380 Middelfart"
"Malou Mathiesen","Carstensvej 8
6808 Haderup"
"Aage Kjær","Øster Farimagsgade 5
5313 Roskilde"
"Prof. Jack Bertelsen","Ceylon Allé 716
4282 Ølstykke"
"Liva Johnsen-Lassen","Bredvej 9
2298 Jerslev"
"Rolf Hansen","Iran Allé 49
7920 Brønderslev"
"Sara Simonsen","Løjtegårdsvej 664
2805 Vils"
"Mia Jepsen-Søndergaard","Bornholms Allé 7
6575 Mesinge"
"Thea Jeppesen","Colbjørnsens Allé 17
3629 Dalmose"
"Odeline Overgaard-Østergaard","Ungarnsstræde 9
4270 Dybvad"
"Johannes Madsen","Ahrenkildesvej 94
2212 Maribo"
"Agnete Frederiksen","Vestagervej 6
3855 Sønderborg"
"Aage Kristoffersen","Mandel Allé 4
8489 Stenlille"
"Jonas Jørgensen-Olesen","Gislingegade 433
1845 Hjerm"
"Kirsten Ravn","Cumberlandsvej 558
2568 Thorsø"
"Natasha Holst","Vindingevej 2
8321 Snekkersten"
"Gunner Christensen-Bertelsen","Engblommevej 382
8719 Blåvand"
"Frede Holm","Nyropsvej 875
3490 Vejen"
"Prof. Ron Friis","Ravnsborg Tværvej 51
6030 Gedved"
"Dr. Mik Steffensen","Silkegade 60
5415 Flemming"
"Bent Knudsen","Jernæblevej 53
4712 Outrup"
"Jim Kjær","Absalonsvej 6
4109 Klovborg"
"Aage Vestergaard","Knippelsbro Allé 91
6451 Nakskov"
"Yan Dam","Æblevej 710
3585 Dianalund"
"Børge Iversen","Vordingborgvej 43
6900 Horslunde"
"Lene Sørensen","Spanteloftvej 13
4556 Brovst"
"Freja Skov-Krogh","Teglværksgade 9
1203 Blokhus"
"Univ.Prof. Carla Petersen","Vermlandsgade 14
3432 Ørnhøj"
"Bent Sørensen","Eriksgade 59
5934 Rynkeby"
"Danny Mathiasen","Lundevangsgade 1
4917 Bandholm"
"Univ.Prof. Britta Sørensen","Svalehale Allé 400
4044 Fuglebjerg"
"Amalie Pedersen","Bjørneklo Allé 8
2428 Vejle"
"Abelone Bech","Dagø Allé 96
6307 Hadsten"
"Jasmin Laursen","Montagnevej 776
7204 Køge"
"Nicklas Søndergaard","Roshagevej 76
5274 Idestrup"
"Zenia Mogensen","Thingvallavej 50
1584 Skærbæk"
"Anne Nissen","Følfodgade 76
9245 Hårlev"
"Abelone Thorsen","Vejlevej 857
5774 Munke Bjergby"
"Magnus Winther","Slesvigsstræde 490
2555 Svenstrup"
"David Vestergaard","Rossinisvej 30
1430 Åbyhøj"
"Dr. Mikkel Paulsen","Store Regnegade 7
6123 Viuf"
"Børge Christiansen","Arnesvej 32
1876 Aabybro"
"Abelone Bruun","Heisesvej 33
2872 Vejers Strand"
"Jonna Holm","Flaskegade 3
8979 Tommerup"
"Gert Knudsen","Hørtoftestræde 440
2017 Hørning"
"Univ.Prof. Tammy Dahl","Kildebrøndevej 847
9760 Sulsted"
"Laurits Overgaard-Schultz","Sønderborgvej 2
9488 Karby"
"Hr Gert Andreasen","Fælledens Passagevej 580
6966 Løgstør"
"Yngve Nilsson","Glænøvej 49
2914 Stokkemarke"
"Prof. Simon Klausen","Florensgade 3
7647 Hjerm"
"Klaus Lassen","Arne Jacobsens Allé 3
6654 Farsø"
"Jack Friis","Søndre Fasanvej 446
7389 Store Merløse"
"Abelone Lauritsen","Rumæniensgade 62
5569 Ryslinge"
"Regitze Klausen-Jacobsen","Høgholtgade 404
6937 Frederiksværk"
"Prof. Ebbe Jensen","Nokken Fornvej 906
5517 Skævinge"
"Liva Johnsen","Schleppegrellsgade 6
2377 Suldrup"
"Stephan Frandsen-Overgaard","Fakse Tværvej 525
6960 Vig"
"Elna Johnsen","Houmannsvej 7
5267 Harlev"
"Laust Andreasen","Rådvadsvej 232
8998 Lille Skensved"
"Øystein Mortensen","Jollegade 52
5443 Janderup"
"Arne Frederiksen-Andersen","Sorrentovej 9
1636 Svenstrup"
"Prof. Herman Winther","Ramløse Allé 7
2053 Bjerringbro"
"Abelone Laursen","Bjørneklo Allé 8
2047 Varde"
"Nicolai Møller","Trondhjemsvej 893
1482 Skårup"
"Grethe Nielsen","Skovbogårdsstræde 6
6909 Hasle"
"Univ.Prof. Merethe Steffensen","Oldenborggade 5
5856 Gesten"
"Eric Lind","Sommerstedvej 477
4954 Skælskør"
"Alex Mathiesen","Lergravsvej 5
4570 Måløv"
"Prof. Andrea Gregersen","Ringkøbinggade 542
7787 Stenstrup"
"Lasse Lassen","Elselillevej 169
4304 Ebberup"
"Dr. Peder Frederiksen","Skovgaardsvej 9
1740 Sakskøbing"
"Herman Rasmussen","Heinesgade 2
7229 Vamdrup"
"Adam Kjeldsen","Soltofte Allé 1
1643 Dannemare"
"Univ.Prof. Emma Andresen","Mågevej 1
3927 Tisvildeleje"
"Karina Jepsen","Langkærvej 20
4370 Hjallerup"
"Dr. Silas Karlsen","Bellisvej 249
3444 Ikast"
"Ron Lund","Venøgade 635
6179 Havdrup"
"Jonna Gregersen","Kuhlausstræde 877
4615 Haderup"
"Kaspar Clausen-Mathiasen","Dalmosevej 502
4453 Martofte"
"Bitten Iversen","Formosa Allé 6
8889 Låsby"
"Dorthe Møller","Cumberlandsgade 6
4444 Smørum"
"Anne Koch","Rahbeks Allé 15
9268 Løsning"
"Agnes Sørensen","Kuhlausvej 53
6515 Idestrup"
"Mark Jespersen","Kansler Allé 19
8317 Assens"
"Prof. Einar Bruun","Smyrna Allé 9
5449 Stege"
"Johan Lund-Svendsen","Spinderistræde 3
3265 Lille Skensved"
"Zahra Larsen","Overdrevsgade 39
6955 Jordrup"
"Merete Paulsen","Ceylonvej 18
9741 Gelsted"
"Hr Jesper Holst","Belle de Boskoop Allé 890
3241 Rødekro"
"Asger Lund","Molbechsvej 440
8167 Kruså"
"Dr. Åbjørn Mogensen","Sølunds Allé 9
4886 Taastrup"
"Hr Lucas Dam","Uffesvej 2
3458 Klovborg"
"Agnete Frederiksen","Ocean Allé 542
3048 Låsby"
"Rita Søndergaard","Aberdeenvej 3
7595 Vestbjerg"
"Nick Schultz-Kjeldsen","Rigensgade 381
9223 Langebæk"
"Jonna Danielsen","Overdrevsvej 52
2208 Haarby"
"Mike Bech","Eskjærvej 259
6408 Holme-Olstrup"
"Susanne Nørgaard","Gerlevvej 16
6278 Kerteminde"
"Rolf Jørgensen","Folke Bernadottesgade 1
1146 Bække"
"Nikolai Ravn-Gregersen","Knabrovej 1
4671 Højbjerg"
"Ulla Mortensen","Schleppegrellsgade 364
1347 Rask Mølle"
"Arne Larsen","Folke Bernadottesvej 32
8141 Skærbæk"
"Agnete Jakobsen-Andersen","Blankavej 608
4651 Roslev"
"Prof. Ulrik Iversen","Roskildegade 8
6974 Ans by"
"Sonja Carlsen","Vindmøllegade 46
8256 Nørager"
"Herdis Jessen","Svanemøllevej 7
7096 Nivå"
"Erna Mathiasen-Lind","Brofogedstræde 633
3840 Nørreballe"
"Prof. Tilde Johansen","Kvæsthusgade 2
6841 Tilst"
"Thomas Schmidt","Mullerupstræde 2
2627 Ans by"
"Ragnar Kristoffersen","Containervej 137
7393 Veflinge"
"Prof. Paul Winther","Kirsteinsvej 3
1849 Nexø"
"Univ.Prof. Carl Schultz","Øresundsmotoren Allé 675
8766 Fredensborg"
"Aksel Larsen","Fussingsgade 9
4258 Hesselager"
"Katrine Bruun","Skotterupgade 44
7684 Hjortshøj"
"Univ.Prof. Solveig Frandsen","Frederiksgårdsvej 9
6298 Slagelse"
"Dr. Simon Mathiasen","Lindenborgvej 6
5595 Aabenraa"
"Viola Nilsson","Estlandsvej 8
8811 Stenlille"
"Prof. Laura Søndergaard","Markmandsgade 4
6001 Svaneke"
"Øystein Poulsen","Heilsvej 41
7220 Smørum"
"Hr Carlo Dahl","Rialtovej 98
5269 Kibæk"
"Lena Kjeldsen","Rodos Allé 4
4540 Vrå"
"Hr Laus Holst","Apollovej 683
6781 Greve Strand"
"Albert Dahl","Venediggade 90
1202 Hjerm"
"Victor Klausen-Olsen","Clematisvej 174
5042 Brønshøj"
"Sanne Jakobsen","Slotsholmsgade 350
6783 Aalborg"
