"Aage Dahl"|"Jeppes Allé 29
9602 Risskov"
"Univ.Prof. Ragna Winther"|"Hammershusvej 7
8714 Ribe"
"Albert Winther"|"Kasematgade 2
2377 Sydals"
"Flemming Bruun"|"Valhøj Allé 68
4505 Rynkeby"
"Curt Kristoffersen"|"Trepkasvej 5
3941 Torrig"
"Gundhild Christensen"|"Krystalgade 1
3264 Snekkersten"
"Dr. Rikke Schou"|"Nordbyvej 2
3216 Tisvildeleje"
"Univ.Prof. Elias Knudsen"|"Ærtebjergvej 107
3791 Kolding"
"Carsten Schou"|"Vibevej 31
6425 Kalundborg"
"Jasmin Sørensen"|"Sundby Parkgade 54
7512 Nyrup"
"Aage Hansen"|"Kaprifoliegade 122
4384 Havdrup"
"Dr. Kenny Jakobsen"|"Slesvigsvej 790
8143 Hillerød"
"Dr. Emily Paulsen"|"Buntmagervej 2
9227 Them"
"Hans Thygesen"|"Vigerslev Godsgade 6
8003 Aabenraa"
"Birte Jespersen-Svendsen"|"Albaniensvej 534
4347 Svinninge"
"Inga Danielsen"|"Østbanestræde 39
9837 Rødding"
"Britt Rasmussen-Nielsen"|"Masteskursvej 746
2947 Solbjerg"
"Laust Mathiesen"|"Ungarns Allé 577
6523 Bolderslev"
"Dr. Winni Christiansen"|"Løjtegårdsgade 12
8525 Vesterborg"
"Odette Clausen"|"Murervej 5
2525 Fjerritslev"
"Aage Mathiasen"|"Støbegods Allé 4
1063 Hadsund"
"Univ.Prof. Mogens Klausen"|"Nebraskastræde 873
8139 Stensved"
"Daniel Jakobsen"|"Delfinvej 44
1239 Brovst"
"Univ.Prof. Kenneth Clausen"|"Marskens Allé 8
4469 Gjerlev"
"Lennarth Pedersen"|"Helsingørmotorengade 912
4293 Sønder Stenderup"
"Vera Eriksen"|"Dublinstræde 82
4155 Millinge"
"Jonathan Kristiansen"|"Klintevej 6
5166 Ålbæk"
"Lars Thorsen-Lauritsen"|"Hammershusgade 82
6055 Vesterborg"
"Odeline Jeppesen"|"Fanøvej 70
9132 Store Fuglede"
"Timmy Mathiasen-Iversen"|"Katholmvej 58
8252 Hurup Thy"
"Aage Østergaard"|"Heimdalsvej 854
6474 Nordborg"
"Prof. Johanne Kristoffersen"|"Buntmagerstræde 72
8741 Bedsted Thy"
"Iver Svendsen"|"Selinevej 32
3655 Munke Bjergby"
"Ulf Danielsen-Brandt"|"Marskensstræde 22
7600 Snedsted"
"Univ.Prof. Ulrik Dam"|"Skibelundstræde 95
6157 Suldrup"
"Elisabeth Krogh"|"Nivågade 9
8436 Morud"
"Charlotte Lauridsen"|"Overn Oven Vandetvej 27
7440 Terndrup"
"Bente Sørensen"|"Tikøb Allé 391
7987 Karrebæksminde"
"Liva Bech"|"Øster Farimags Allé 7
1238 Humble"
"Margit Svendsen"|"Abildgaardsvej 66
9013 Farum"
"Abelone Frederiksen"|"Hannemannsgade 437
8910 Terndrup"
"Regitze Hermansen"|"Korsgade 8
8699 Grenaa"
"Jakob Steffensen"|"Blekingegade 57
6575 Løgstrup"
"Mette Simonsen"|"Husum Allé 847
8781 Sønder Stenderup"
"Tine Klausen"|"Hellebæk Allé 27
9080 Lejre"
"Univ.Prof. Michelle Mogensen"|"Lundsfrydvej 86
1319 Pandrup"
"Olfert Lauritsen"|"Møllegårdsvej 68
3747 Malling"
"Benedicte Carlsen"|"Metrovej 3
8576 Idestrup"
"Åse Christoffersen"|"Hermodsvej 4
4772 Rønde"
"Dr. Kent Schmidt"|"Nivåvej 91
5517 Regstrup"
"Abelone Jørgensen"|"Kina Allé 5
6359 Greve Strand"
"Dennis Christoffersen-Friis"|"Lyngbyvej 164
5015 Hornbæk"
"Jim Steffensen"|"Lodivej 24
9336 Lintrup"
"Elisabeth Frandsen"|"Rosenholms Allé 66
8579 Asnæs"
"Dr. Casper Frandsen"|"Askøvej 62
5583 Kirke Såby"
"Ane Johansen"|"Skindergade 988
1603 Stoholm"
"Hr Timmy Jessen"|"Mikkel Skovsvej 295
7630 Mørkøv"
"Ole Jespersen"|"Rubikongade 9
4768 Almind"
"Paula Søndergaard"|"Rådvadsvej 53
5380 Flemming"
"Hannah Hansen"|"Letlandsgade 38
8565 Karlslunde"
"Abelone Kristiansen"|"Teglværksstræde 697
4966 Dronningmølle"
"Peter Lauridsen"|"Kronborgvej 9
3918 Marslev"
"Henrik Skov"|"Korsvej 321
2880 Bælum"
"Dr. Xenia Simonsen"|"Store Kannikevej 6
1417 Thyborøn"
"Clavs Jensen-Madsen"|"Willemoes Allé 943
6539 Ørum Djurs"
"Villads Iversen"|"Langebrogade 703
7753 Store Fuglede"
"Jimmy Holst-Andreasen"|"Jyllingevej 776
3998 Hesselager"
"Jeppe Thygesen"|"Ingerslevsvej 102
6386 Farsø"
"Solveig Jensen"|"Krudtmøllegårds Allé 18
4129 Engesvang"
"Dr. Laura Nilsson"|"Dalmosegade 5
8625 Bøvlingbjerg"
"Abelone Paulsen"|"Hauservej 881
9130 Otterup"
"Dr. William Mogensen"|"Klostermarksstræde 55
5007 Sabro"
"Dr. André Olsen"|"Novemberstræde 704
5573 Havdrup"
"Prof. Lona Kjeldsen"|"Søflygade 95
9904 Dronningmølle"
"Anette Madsen"|"Ahlefeldtsgade 5
9377 Hjallerup"
"Univ.Prof. Mette Mortensen"|"Dunhammervej 862
6534 Søndersø"
"Borris Jakobsen"|"Slots Allé 4
9674 Gadbjerg"
"Einer Johnsen"|"Hessensstræde 190
3153 Lejre"
"Johanne Andersen"|"Højsagergade 8
8759 Munkebo"
"Henriette Andreasen"|"Gulkløvervej 997
8808 Føvling"
"Abelone Simonsen"|"Præstekærvej 67
7832 Veflinge"
"Zahra Olsen"|"Peiters Allé 889
6405 Højslev"
"Fru Nora Christoffersen"|"Krudtløbsvej 471
5791 Ebberup"
"Selma Bech"|"Ærtebjerg Allé 8
3765 Nørre Snede"
"Christoffer Jessen-Carlsen"|"Baltika Allé 90
4210 Strandby"
"Olga Paulsen-Dahl"|"Funkiagade 9
3964 Arden"
"Hr Bøje Laursen"|"Wesselsstræde 82
2127 Gørløse"
"Herbert Kristensen"|"Børskovstræde 54
5078 Karise"
"Univ.Prof. Kaspar Knudsen"|"Boeslundevej 6
8303 Blåvand"
"Ronja Christiansen"|"Baltikastræde 244
9160 Mern"
"Adam Mathiesen"|"Bispebjergstræde 2
7747 Mårslet"
"Prof. Inga Jakobsen"|"Adelgade 72
2174 Taastrup"
"Steen Olsen"|"Hillerødvej 7
9588 Bindslev"
"Prof. Emil Mathiesen"|"Klintegade 68
6824 Padborg"
"Berit Mikkelsen-Friis"|"Overskous Allé 80
6005 Bække"
"Timmy Østergaard"|"Hassel Allé 8
9479 Nordborg"
"Dr. Rasmus Petersen"|"Haderslevvej 4
1262 Pandrup"
"Karsten Schmidt"|"Trekløvervej 2
1228 Hampen"
"Prof. Elsebeth Henriksen"|"Tranehavegade 17
9961 Langebæk"
