"Aaron Lercher"|"Anabella-Pilz-Gasse 7
7053 Schwechat"
"Vera Horn"|"Schmölzergasse 901
3603 Friedberg"
"Univ.Prof. Manuel Mayr"|"Nowakstraße 88
9383 Bleiburg"
"Dipl.-Ing. Mia Gruber"|"Rebecca-Bösch-Gasse 96
2271 Leoben"
"Katja Stelzer"|"Hütterring 205
2576 Braunau am Inn"
"Pauline Leithner"|"Benedict-Kral-Gasse 830
6681 Feldbach"
"Dipl.-Ing. Timo Grill"|"Höflerweg 0/3
8160 Trofaiach"
"Boris Payer"|"Alara-Kurz-Gasse 85
1083 Pöchlarn"
"Ronja Staudinger"|"Lena-Kogler-Platz 843
1948 Kufstein"
"Bruno Schulz"|"John-Eberharter-Straße 1
7363 Enns"
"Aaron Ritter"|"Hölzlstraße 37
2828 Raabs an der Thaya"
"Bruno Kammerer-Springer"|"Rettenbacherstr. 8
3578 Zwettl"
"Maida Scheidl"|"Emilian-Knoll-Straße 2/5
1638 Liezen"
"Angelika Gutmann"|"Maringerplatz 72
8623 Friesach"
"Mika Groß"|"Leopoldplatz 711
4427 Sankt Andrä im Lavanttal"
"Ajna Pöschl"|"Nina-Schwendinger-Weg 719
3540 Krems an der Donau"
"Mariam Penz"|"Kollerring 458
6443 Wiener Neustadt"
"Teodor Hell-Pölzl"|"Mittererstraße 449
9280 Schwanenstadt"
"Arda Hell-Mühlberger"|"Marcel-Lorenz-Weg 2/5
3492 Neulengbach"
"Denise Pacher"|"Nadia-Köberl-Ring 99
5027 Kufstein"
"Adam Bergmann"|"Felberplatz 26
1550 Mödling"
"Karim Strohmaier"|"Rudolfstr. 4
3023 Neusiedl am See"
"Bernhard Kremser"|"Finn-Holzmann-Ring 7/3
2924 Knittelfeld"
"Lorenzo Pinter"|"Hammerweg 531
1588 Trofaiach"
"Frau Tanja Zeiler"|"Reichgasse 154
3302 Salzburg"
"Ellie Grasser"|"Madeleine-Kohler-Straße 09
1340 Eisenstadt"
"Nicole Kuhn-Muhr"|"Franziska-Hölzl-Gasse 82
3102 Kapfenberg"
"Denise Reisner-Wolf"|"Leticia-Schubert-Ring 28
2237 Pöchlarn"
"Claudia Häusler"|"Anton-Kopf-Platz 43
4577 Graz"
"Elena Heindl"|"Erlacherplatz 6/8
4753 Lilienfeld"
