"Aada Viitala"|"Fallpakankatu 8
84238 Lohja"
"Elisabet Järvelä"|"Yläkaskenbulevardi 9
15896 Eura"
"Mirja Aho"|"Chydeniuksentie 91
57888 Kotka"
"Juhani Peltonen"|"Salavakatu 56
58677 Pielavesi"
"Anniina Räty-Kärkkäinen"|"Vellikellonkuja 53
30770 Sastamala"
"Kaarina Juvonen"|"Laajasalonpolku 020
42497 Veteli"
"Jaakko Väisänen-Virta"|"Louhenkuja 72
50270 Leppävirta"
"Mikko Hokkanen"|"Jätkäsaarenkuja 835
89176 Virrat"
"Eero Pesonen"|"Mannerheiminkatu 53
41169 Virolahti"
"Alexander Muhonen"|"Rukoushuoneentie 151
16275 Eurajoki"
"Aarne Hyvärinen"|"Damaskuksentie 10
22141 Rovaniemi"
"Irma Matilainen"|"Yrttimaankatu 53
84968 Kannus"
"Christian Sirviö"|"Castréninkatu 761
75451 Koski Tl"
"Anni Häkkinen"|"Haravapolku 46
59821 Kannonkoski"
"Tiina Nylund"|"Freesenbulevardi 1
78256 Ii"
"Anneli Lindfors"|"Ahomäentie 1
48978 Ruovesi"
"Antero Heiskanen-Anttila"|"Capellan puistokatu 740
64328 Teuva"
"Einari Karppinen"|"Lukkarimäentie 37
27958 Juupajoki"
"Jukka Kokkonen-Mikkola"|"Ormuspolku 6
88821 Salo"
"Tapio Härkönen"|"Ilomäenbulevardi 925
79076 Aura"
"Aarne Järvenpää"|"Elonbulevardi 481
77790 Lohja"
"Anja Korhonen"|"Lentokapteenin tie 4
18094 Kinnula"
"Väinö Virtanen"|"Maasalonpolku 780
76236 Rautjärvi"
"Heli Laiho"|"Chydeniuksenbulevardi 217
30391 Kangasniemi"
"Jenna Uotila"|"Agroksenkatu 463
12050 Kempele"
"Emilia Riihimäki"|"Salakkapolku 48
99728 Juupajoki"
"Aili Paananen"|"Döbelninpolku 8
36089 Puolanka"
"Hannu Leppänen-Pöllänen"|"Eerik Pyhän bulevardi 795
70545 Tohmajärvi"
"Keijo Lindgren"|"Katajaharjunkuja 4
70885 Tornio"
"Helmi Huttunen"|"Rapolankatu 93
17869 Haapavesi"
"Aarne Pulkkinen"|"Jätkäsaarenkuja 473
82924 Siuntio"
"Tapani Puustinen"|"Ehrensvärdinkatu 3
64521 Kontiolahti"
"Jukka Varis"|"Yläkaskenkatu 40
50448 Keminmaa"
"Eero Keränen-Kiuru"|"Rukkilantie 1
20759 Helsinki"
"Juhani Heikkinen"|"Dunckerintie 3
62203 Tornio"
"Tuomas Ylönen"|"Freesenbulevardi 52
63031 Utsjoki"
"Elina Huttunen"|"Hannukselankuja 5
31048 Perho"
"Kirsi Helminen-Hyvönen"|"Runonlaulajanpolku 09
56323 Sund"
"Tapio Rantanen"|"Bysantinkatu 53
77787 Aura"
"Maarit Kivelä-Karjalainen"|"Yläkaskenbulevardi 2
42905 Kauhava"
"Aarne Silvennoinen-Mattila"|"Nikonkatu 6
13948 Utajärvi"
"Juhani Lehikoinen-Ruotsalainen"|"Maneesikuja 9
22869 Eckerö"
"Aapo Jokinen-Salo"|"Tahtikatu 68
26739 Iisalmi"
"Lauri Nurmi"|"Disankuja 558
50662 Askola"
"Esko Kolehmainen"|"Sadebulevardi 87
99315 Kustavi"
"Minna Immonen-Ruuskanen"|"Fredrikinkatu 00
10112 Tampere"
"Maria Toivanen"|"Ylänkökuja 2
48816 Inkoo"
"Jorma Räty"|"Urkurintie 4
14547 Nivala"
"Tommi Hänninen"|"Vanha Rajakuja 02
68408 Lapinjärvi"
"Johannes Turunen-Ranta"|"Puroniityntie 154
67896 Tervo"
"Aarne Vesterinen"|"Iltaruskonkuja 11
55193 Hämeenlinna"
"Kristian Heikkinen"|"Elonkatu 358
59744 Rautalampi"
"Aleksanteri Leppänen"|"Jämsäntie 481
30867 Hanko"
"Kirsti Hautala-Hyvönen"|"Ylänkökatu 21
02240 Valtimo"
"Kalevi Heikkilä-Marttila"|"Winqvistinpolku 129
35482 Iisalmi"
"Marjo Seppänen"|"Rapakivenkatu 279
46124 Honkajoki"
