"Alain Balmat"|"chemin Badan 41
1834 Robadey"
"Claudine Rossellat"|"rue de Niquille 92
7367 Delèze-sur-Bovet"
"Germaine Chatriand"|"chemin Chatriant
4659 Mayor"
"Véronique Besançon"|"chemin Robert 19
5591 Vuille (BL)"
"Chloé Robert-Bochud"|"rue Mottiez 2
9757 Besençon"
"Claudine Besse"|"rue de Cretton 45
8941 Rapin"
"José Barman"|"boulevard Charpié 20
2338 Bourquin"
"Théo Pellet"|"rue Manon Bochud 58
6998 Gubéran am Albis"
"Jeanne Vonlanthen-de Dardel"|"avenue Beuret 720
7691 Musy"
"Bernard Francillon"|"rue Robadey 32
5912 Aeby"
"Alain Beuret"|"avenue Besse 95
6927 Monnet-la-Ville"
"Madeleine Morand"|"avenue Rey 7
7709 Chevalley (AR)"
"Nicolas Bernasconi"|"chemin Chevalley 33
5079 Robadey (SG)"
"Odette Thorens"|"rue Vanessa Besse 2
5529 Cousin (NW)"
"René Carron"|"rue Vienne 862
5469 Corbat (AR)"
"Hélène Pachoud"|"rue Bavaud 24
5375 Béguelin am Albis"
"Elisabeth Vermeil"|"boulevard Barillon 256
2777 Aebi"
"Daniel Curdy"|"rue Wicht 57
5442 Montandon am Rhein"
"Eva Chappuis"|"boulevard Stéphanie Corbat 6
3233 Comment"
"Maxime Rossellat"|"chemin de Jomini 2
4856 Cosendey-près-Barillon"
"Alain Carraud"|"chemin Mottiez 20
4225 Diesbach am Albis"
"Corinne Mottiez"|"rue Barillon 243
3518 Besençon am Rhein"
"Camille Alber"|"chemin Jacques Cosandey
3469 Mottiez-près-Carron"
"Roland Droz"|"boulevard Sébastien Comment
5276 Rapin-sur-Délèze"
"Jessica Musy"|"boulevard de Cosandey 56
5873 Marty-sur-Sandoz"
"Claude Morand"|"rue Sara Gubéran 619
8393 Mayor-les-Bains"
"Jacques Müller"|"chemin Gérard Comte 7
4254 Delèze"
"Georges Théraulaz"|"rue Courvoisier 38
6148 Bovet-les-Bains"
"Michel Délèze-Babey"|"rue Marianne Berberat 18
9366 Monnet"
"Laurence Berberat"|"boulevard Laura Galland 80
1186 Babey-près-Bochud"
"Alain Chapuis-Musy"|"rue Fonjallaz 72
3620 Mayor"
"Philippe Droz"|"avenue Chevrolet 22
8487 Delèze"
"Mélanie Chevalley"|"chemin Botteron 67
6704 Vienne-près-Mercier"
"Sarah Cossy"|"boulevard Carraud 55
8078 Rapraz-près-Thorens"
"Nathalie Chopard"|"rue Gérard Besançon 9
4609 Sandoz am See"
"Vincent Georges"|"chemin de Comte 78
5336 Niquille am See"
"Nathan Beurret"|"boulevard Cornut 9
1095 Cousin"
"Anne Boichat"|"boulevard Chopard 74
9753 Cattin-près-Gillièron"
"Ethan Piccand"|"chemin Beurret 581
8689 Badan am Rhein"
"Jacqueline Grosjean"|"avenue Delèze 79
9094 Rappaz (TI)"
"Alain Chatriand"|"chemin Daniel Candaux 44
7237 Boillat"
"Odette Privet"|"avenue Bujard 3
4054 Bourquard-sur-Candaux"
"Lisa Humbert"|"rue de Duroux 31
1809 Paccot-sur-Chatriand"
"Laurence Broquet-Robadey"|"rue Manuel Piccand 91
6670 Botteron-les-Bains"
"Gabriel Evéquoz"|"avenue de Matile 78
8454 Vonlanthen-sur-Nusslé"
