"אביאל אברמוב"|"צוקית 29, ברקת, 9769678"
"חיים כהן"|"טביב 47, פקיעין חדשה, 0052877"
"אודל אזולאי"|"הברדלס 00, מכמורת, 7100833"
"אורי יעקובי"|"ז'בוטינסקי 52, באר מילכה, 1159757"
"אדם הלוי"|"רח 7035 22, נירן, 5432974"
"רוני חורי"|"הורקנוס יוחנן 95, עין אל-אסד, 7082745"
"אברהם אנגל"|"פרופ' בירק יהודית 45, ורד יריחו, 7705285"
"משה גדיר"|"אלפג'ר 13, האון, 4614151"
"ליאם עבאס"|"הופרט יעקב 05, שומרה, 3768617"
"שילת שולמן"|"מרגיל מחוור 71, אורטל, 6944053"
"אביאל הורביץ"|"ככר ירדן 39, חצור-אשדוד, 3639325"
"אברהם גל"|"אזור בית הקברות 71, רגבה, 4704595"
"שי אזולאי"|"חרת א בוס 47, בני ציון, 8678971"
"חנה אלוש"|"משעול המחתרות 96, מעונה, 7160768"
"אושרי אבו רמילה"|"ירושלים 38, סער, 8022244"
"רועי אהרן"|"תרצ""ו 84, שדה אליהו, 4054708"
"אביגיל סבן"|"תרס""ח 14, חיננית, 2479407"
"סארה מנחם"|"שבט ראובן 77, סגולה, 1069758"
"אהובה ממן-מחאמיד"|"הזיתים 44, צפרירים, 1863863"
"הדסה לוי"|"טאבליא 39, נטע, 4629364"
"אביאל הרשקוביץ"|"אימבר 77, דוב""ב, 6714071"
"גאיה עבד אל קאדר"|"רמב""ם 12, שיטים, 4889879"
"אדל גור"|"אלכנסת 77, גנות הדר, 6204526"
"פיגא סלימאן"|"נצרת עילית 48, נירן, 1521287"
"אודל אביב"|"משעול התפוח 57, מלאה, 5049884"
"תמר אזולאי"|"החצב 56, אודם, 6765732"
"אריאל פרץ"|"מצדה 06, אודם, 1922244"
"יקיר בן חמו"|"שז""ר זלמן 51, רגבה, 7783933"
"אליה מלכה"|"הזמיר 11, שיטים, 6755950"
"נועה נתשה"|"רח 14 01, בית חנן, 5491421"
"אביאל לוי"|"חרת א בוס 20, סגולה, 7999642"
"יואב כץ"|"קנין הארץ 22, באר מילכה, 7714948"
"רהף סלאמה"|"מורן 08, כפר יונה, 2978440"
"אדיר שגב"|"דרך חלמית 82, שדה אליהו, 6534765"
"תהל גל"|"האורנים 42, אל סייד, 8384445"
"יעל מוראד"|"נחל נחשון 18, נירן, 4614635"
"משה מאיר"|"הקישון 11, בית ברל, 2688247"
"ענהאל גאנם"|"סנט הלנה 94, עין אל-אסד, 5125150"
"דוד שחר"|"קרל נטר 67, גרופית, 4833263"
"ניקה שורץ"|"החשמל 14, האון, 6903348"
"אביאל עמר"|"הגבורה 47, גבעת כ""ח, 9745782"
"קוסאי ברוך"|"שכ היובל 65, אבו רובייעה )שבט(, 8027324"
"עומר נגר"|"הרליץ יוסף 75, כפר אחים, 4816015"
"שוהם מלכה"|"נשר 81, בית חנן, 7409331"
"אלה אדרי"|"אלתרמן 53, רגבה, 3708696"
"דניאל קאופמן"|"אל-מקפה סמ9 37, נחלה, 0634257"
"אוריאל דויטש"|"ככר ירדן 13, נירן, 0639472"
"רוני אביב"|"חוף הים 23, מכמורת, 4900881"
"רני סואעד"|"עקבת א תות 33, אטרש )שבט(, 0283711"
"איתמר חטיב"|"אלתין 00, כפר אחים, 4390786"
"אביאל שביט"|"ע הלל 33, נטע, 1977609"
"עידן כהן"|"כרם חמד 17, עדי, 1487483"
"אריאל זיו"|"סמ עינב 57, שומרה, 5902084"
"נועה אלוש"|"שומרון 36, גני מודיעין, 8542420"
"יהודה פוקס"|"הפרדס 61, שעב, 7675488"
"נועה מנצור"|"זית 79, האון, 3979779"
"יאיר שור"|"אבן מסעוד 66, עמיר, 1758989"
"עומרי אוחיון"|"המפרש 70, שיטים, 6091978"
"בילא מחמוד"|"ש ציונים כלליים 31, רחוב, 8542538"
"שרה סלומון"|"נוה עוז 18, אל סייד, 4743858"
"אביב אור"|"וערת סעד 27, גנות הדר, 3209317"
"יהודה נסאר"|"ש סלע חדש 55, בית חנן, 7894457"
"עלמה ליפשיץ"|"מרגיל מחוור 84, אודם, 0228202"
"לירן מימון"|"הרב חכם שמעון 45, ורד יריחו, 0217529"
"מוחמד לוין"|"ע הלל 54, הר אדר, 7495908"
"ליאור מנחם"|"נחל נחשון 59, גינתון, 9879326"
"אסתר לביא"|"שבזי 47, נטע, 6192288"
"אריאל חיימוב"|"החליל 10, נחלה, 4604086"
"אריאל לב"|"ע הלל 63, פוריה - נווה עובד, 6482153"
"יהלי נחום"|"רמת כרמים 82, משמר העמק, 8266479"
"אביב בוזגלו"|"החבל 87, בית חנן, 5107284"
"מוחמד קאסם"|"תרצ""ו 76, בית חנניה, 3907513"
"אדם טויטו"|"לילינבלום 96, פקיעין חדשה, 0841268"
"ליה גולדשטיין"|"בן ישי 55, עמקה, 0796325"
"דורון כחלון"|"עובדי הנמל 19, אל סייד, 6785378"
"שמואל נחום"|"קדמת צבי 73, רחוב, 7051337"
"תום אגבאריה"|"מופק דיאב 14, עמיר, 3591604"
"אורי שיטרית"|"ברוריה 78, נתיב השיירה, 4277672"
"אהרון ביטון"|"דרך שועפאט סמ4 94, העוגן, 2111487"
"שלי איוב"|"סמבורסקי דניאל 68, האון, 1462810"
"אביב בן דוד"|"העבודה 38, שדות מיכה, 5545141"
"פרח שורץ"|"דבורה 04, דולב, 7024433"
"לירון מסארוה"|"פטדה 34, עמקה, 7375257"
"נועם חדד"|"חיים וייצמן 31, נורדיה, 4874842"
"ליעד ינון קרן"|"דריפוס 66, כסלון, 5838387"
"ברכה ח'ורי"|"קישון אפרים 40, בית חשמונאי, 0538481"
"רון חטיב"|"ירקון 56, עצמון שגב, 4986645"
"מיכל גפן ממן"|"אלכסנדר ינאי 63, אל סייד, 6494613"
"עמית מזרחי"|"נחלת צדוק 96, לקיה, 9878717"
"עבדאללה גרוס"|"ניר עם 41, חצור-אשדוד, 1304021"
"אביב ח'טיב"|"לילינבלום 02, כפר אחים, 4211684"
"עדן כהן"|"ההגנה 20, גנות הדר, 8892972"
"יוסף שמיר"|"דרך חלמית 48, ריינה, 8783471"
"איילה מימון"|"סלעית 05, חשמונאים, 3695598"
"דבורה ברזילי"|"רח 1043 20, נוקדים, 7845961"
"יהודה מרציאנו"|"אשל 88, מרחביה )מושב(, 0562207"
"אופיר דיין"|"רמב""ם 08, הר אדר, 8447382"
"אבישג מחאג'נה"|"שד יוספטל גיורא 11, עמקה, 9540541"
"ים ביטון"|"אורנים 80, העוגן, 3542759"
"יסמין אלבז"|"נתיב הפורצים 11, גן שורק, 9306459"
"אביב מזרחי-כץ"|"סמטת השחר 65, חשמונאים, 5970962"
"פריאל מלכה"|"שמחוני אסף 42, שתולים, 1324144"
"אליהו בר"|"ש פועלים 59, סער, 6182323"
"אלמוג יעקבי"|"גפן 85, עמוקה, 4437507"
"אביגיל כהן"|"רח 1238 73, מזכרת בתיה, 6380487"
"דן קליין"|"לוטם 83, ברקאי, 6402735"
"שאם ברוך"|"אל-חראיק סמ3 05, גנות הדר, 2786907"
"אליה דהאן"|"הצאלון 23, נוקדים, 7064238"
"יעקב לוי"|"סמבורסקי דניאל 39, רחוב, 3581842"
"אופק בצלאל"|"הר עצמון 27, סגולה, 0050318"
"אביב פחימה"|"פקוד מרכז 75, רימונים, 5895851"
