"Albina Babić","Davor 19
73856 Novska"
"Lucija Načinović","Kapucinske 8b/4
80972 Donji Miholjac"
"Bara Milatić","Šestinski vrh 2a/2
57315 Čakovec"
"Milena Ušić","Magdićeve 0a/7
70805 Ivanec"
"Zora Nižetić","Visoka 402
96165 Ivanec"
"Danijel Guštin","Radnički dol 049
92121 Našice"
"Božica Roso","Pod zidom 4b/7
37744 Križevci"
"Dino Culi","Nemetova 8a/9
51562 Kaštela"
"Lovre Sever","Dolac 8c/7
47028 Rab"
"Mara Smolić","Šestinski vijenac 8c
54447 Kaštela"
"Albina Bojanić","Mirogojska 9c/9
87898 Benkovac"
"Kate Čuček","Goljačke 60
54649 Vrbovsko"
"Leon Tešija","Golubovac 8b
89104 Pula"
"Anton Barbir","Perivoj biskupa Stjepana II. 0b
85845 Sveti Ivan Zelina"
"Lorena Branković","Bučarova 606
29425 Varaždin"
"Ivka Gudelj","Splavnica 4b/3
71161 Vrbovec"
"Stana Resanović","Zeleni dol 7b/4
97765 Stari Grad"
"Vjekoslav Matošević","Glogovac 9b
51390 Krapina"
"Marijana Ričko","Remetska 1
27639 Čabar"
"Anka Miklečić","Remetska 4b/9
78733 Pakrac"
"Albina Dolinar","Pantovčak 9a
11966 Solin"
"Slavko Šimičić","Jadranska 15
39275 Novska"
"Albina Mikulčić","Male 260
98304 Zagreb"
"Marina Hinić","Svibovac 20
31002 Duga Resa"
"Juraj Bičanić","Šalata 5
99023 Ilok"
"Jana Mardešić","Mašekova 7b
22938 Split"
"Mateja Ćosić","Davor 0b/7
25617 Grubišno Polje"
"Ivo Cestarić","Lisinskoga 6b
37465 Ozalj"
"Karla Orbanić","Mlinske 396
21033 Pregrada"
"Anđela Požega","Šalata 3a
01979 Ozalj"
"Albina Seršić","Golubovac 2a
06069 Slavonski Brod"
"Dragica Ercegović","Voćarsko naselje 9c/3
31180 Sinj"
"Lovre Lasić","Jabukovac 9b
09436 Slatina"
"Josipa Filar","Voćarska 9
76037 Osijek"
"Pero Topić","Pod zidom 33
54207 Split"
"Sandra Dominković","Krvavi most 8a
73607 Imotski"
"Niko Benčić","Mihaljevac 2b/6
20829 Đakovo"
"Mateo Smolić","Kapucinske 0c/2
78525 Popovača"
"Janko Gabud","Palmotićeva 9a
64367 Našice"
"Nikola Grgurić","Dolac 8b
42966 Novska"
"Albina Stančin","Gornje Prekrižje 8a/1
21725 Imotski"
"Martin Norac","Šestinski vrh 6b/0
63315 Imotski"
"Janja Jović","Lisinskoga 0a
55446 Biograd na Moru"
"Ljiljana Palić","Rikardove 2b
19591 Prelog"
"Milan Birkić","Tuškanac 6c/2
23483 Vrbovsko"
"Renata Dujmović","Voćarska 79
72033 Delnice"
"Ivo Matovina","Krvavi most 5b
72388 Šibenik"
"Barbara Pokos","Jadranska 26
31745 Krapina"
"Bara Matahlija","Kraljevečki odvojak 8c
71826 Zabok"
"Goran Ugrinić","Jurjevska 0c
64518 Ivanić-Grad"
"Albina Volarević","Klanac Grgura Tepečića 9b
47914 Krapina"
"Manda Glasnović","Goljak 5
24343 Jastrebarsko"
"Pero Putinja","Šilobodov put 2
67906 Rijeka"
"Antonija Mihelčić","Klesarski put 0b
51301 Delnice"
"Luka Tomljanović","Naumovac 3a/8
45409 Vodice"
"Erik Juretić","Jezuitski trg 8
30678 Crikvenica"
"Kristijan Kunac","Zamenhofove 43
99161 Knin"
"Viktor Šimunović","Ribnjak 0c
96008 Makarska"
"Vesna Jonjić","Mesnička 5c/8
92641 Buje"
