"Albina Begonja"|"Kapucinske 8
75605 Duga Resa"
"Dora Mamula"|"Glogovac 96
98455 Trogir"
"Dalibor Bičak"|"Jurjevska 3c
39247 Imotski"
"Milan Radić"|"Magdićeve 8c/7
02782 Krapina"
"Marijana Filipović"|"Perivoj srpanjskih žrtava 1b
47329 Karlovac"
"Igor Barbir"|"Jadranska 650
40259 Đakovo"
"Danijela Colić"|"Ilica 2a/5
69721 Ozalj"
"Slavica Klarin"|"Šestinski vijenac 0
56993 Ivanić-Grad"
"Anđa Solomun"|"Vlaška 6
24726 Daruvar"
"Vesna Miličić"|"Rokov perivoj 454
64197 Sinj"
"Albina Beraković"|"Zelenjak 25
63268 Donji Miholjac"
"Denis Markanjević"|"Gradec 6a
99754 Delnice"
"Martina Totić"|"Jezuitski trg 720
95897 Novi Vinodolski"
"Anđela Milovac"|"Tuškanac 2b
43856 Pakrac"
"Barica Bračun"|"Rikardove 5a
44150 Kastav"
"Ema Petek"|"Vijenac 0b/9
16944 Ivanec"
"Milan Risek"|"Mlinske 70
62797 Oroslavje"
"Jele Grgurovac"|"Ksaverska 1a/3
09397 Kaštela"
"Ilija Vincetić"|"Rokov perivoj 7c
63882 Garešnica"
"Sara Krželj"|"Lisinskoga 4c/7
66550 Omiš"
"Albina Franušić"|"Šestinski vijenac 1c/8
29529 Zadar"
"Filip Birtić"|"Mlinovi 141
27406 Virovitica"
"Kata Jakovac"|"Jadranska 2a
15770 Buje"
"Nika Radočaj"|"Remetska 9c/3
84435 Zaprešić"
"Ruža Ričko"|"Krvavi most 684
79851 Petrinja"
"Stana Pokos"|"Šestinski vrh 8
14866 Bakar"
"Zora Grgić"|"Pod zidom 194
36999 Cres"
"Marica Pajur"|"Mala 270
85251 Krapina"
"Renata Čizmić"|"Klesarski put 7a
99092 Koprivnica"
"Marin Vlašić"|"Ilica 8b
48330 Zadar"
"Albina Hren"|"Klesarski put 59
94875 Knin"
"Veronika Nižetić"|"Mala 9a
41618 Donji Miholjac"
"Marica Smolić"|"Cmrok 3b
66360 Mursko Središće"
"Matea Stolnik"|"Goljak 846
86292 Daruvar"
"Božena Godinić"|"Male 28
72088 Rovinj"
"Mario Blagaić"|"Arnoldova 1b
24928 Novi Vinodolski"
"David Birtić"|"Krvavi most 7
29259 Popovača"
"Ljubica Burčul"|"Tuškanac 2a
78019 Otok"
"Jana Sikirić"|"Gradec 1
31742 Čakovec"
"Ivica Crevar"|"Zeleni dol 37
71482 Zagreb"
"Albina Jerković"|"Mihaljevac 4
60093 Dugo Selo"
"Hana Orešković"|"Novi Goljak 6a/2
00817 Dubrovnik"
"Branko Marjanović"|"Jezuitski trg 713
38811 Petrinja"
"Julijana Ćorić"|"Vitezovićeva 6b/7
70533 Benkovac"
"Suzana Orlović"|"Cmrok 8a/6
06474 Novi Marof"
"Anđa Dobrić"|"Mlinarska 8b
78258 Kastav"
"Željka Lorencin"|"Ružičnjak 21
76598 Buzet"
"Niko Ciganović"|"Mletačka 2c
69934 Ozalj"
"Danijel Sokač"|"Opatička 89
71853 Kastav"
"Mario Prtenjača"|"Medvedgradska 4
63642 Split"
"Albina Kokanović"|"Cmrok 4a
60033 Makarska"
"Ika Štefović"|"Ksaver 092
09524 Knin"
"Danijela Dragičević"|"Dverce 783
77237 Samobor"
"Mirjana Bogdan"|"Zamenhofove 6
33702 Ilok"
"Karlo Nedić"|"Višnjičke 6b
04382 Đurđevac"
"Dražen Bosilj"|"Splavnica 9a
09893 Pakrac"
"Jadranka Amidžić"|"Mihaljevac 1b
07341 Supetar"
"Božica Baksa"|"Skalinska 1c
93304 Hrvatska Kostajnica"
"Boris Barešić"|"Višnjica 3c
52910 Trilj"
"Hrvoje Balatinac"|"Novi Goljak 8c
71199 Dugo Selo"
"Albina Orlović"|"Dolac 3b
16937 Bjelovar"
"Lidija Bičanić"|"Dverce 105
42271 Umag"
"Anđa Pavelić"|"Jurišićeva 6b
60052 Velika Gorica"
"Sanja Matokanović"|"Kraljevec II. 63
96343 Čabar"
"Viktor Pleše"|"Vončinina 6a/5
59363 Zaprešić"
"Marina Pavić"|"Zeleni dol 3a
67669 Labin"
"Anđela Fabijanić"|"Kožarska 70
75772 Ploče"
"Anka Radinović"|"Vitezovićeva 0c
85128 Dubrovnik"
"Romano Barać"|"Lobmayerove 7c/1
71085 Kraljevica"
"Nika Simić"|"Zvonarnička 3c
11811 Poreč"
"Albina Orlović"|"Splavnica 3b
20625 Trogir"
"Antonio Miočić"|"Bijenička 5b/6
38049 Trilj"
"David Perić"|"Ilica 9a
42994 Sinj"
"Maja Balinčić"|"Dverce 4c
00194 Split"
"Jana Rakuljić"|"Arnoldova 76
68742 Solin"
"Ružica Polonijo"|"Harmica 8c/5
98012 Vodice"
"Dušan Ilijić"|"Petrova 225
32395 Novi Marof"
"Robert Trgovčić"|"Splavnica 4a
96768 Prelog"
"Danijel Penić"|"Remetska 8
54630 Dugo Selo"
"Zora Carić"|"Mašekova 3
31906 Kaštela"
"Albina Priselac"|"Mletačka 9
56600 Čabar"
"Ružica Vuković"|"Jabukovac 2b
87390 Kraljevica"
"Jadranka Rahija"|"Ksaver 4a/4
13893 Senj"
"Ivka Birkić"|"Kamenita 3b/2
29167 Đurđevac"
"Sanja Abramović"|"Kaptol 4
69665 Kaštela"
"Milena Petek"|"Mlinovi 36
89203 Glina"
"Tea Dvojak"|"Paunovac 778
84664 Donji Miholjac"
"Martin Bjeliš"|"Gračanska 634
71577 Sisak"
"Mateja Šimara"|"Paunovac 9b/4
48430 Garešnica"
"Vesna Brcko"|"Kozarčev vijenac 1c
21109 Osijek"
"Albina Rebić"|"Hercegovačka 1
34703 Virovitica"
