"ავთანდილ დალაქიშვილი","თვალჭრელიძის ქ. 25, ჭიათურა"
"იური ბეგიაშვილი","მამკოდის ქ. 31, ამბროლაური"
"ლელა ჭიჭინაძე","ნიაღვრის ქ. 20, ჭიათურა"
"ნატალია ისაევი","სამამულო ომის გმირების ქ. 17, ოზურგეთი"
"ლიანა ჩაფიძე","იეთიმ გურჯის ქ. 75, ქარელი"
"ვალერი კირვალიძე","ანდღულაძის ქ. 35, ყვარელი"
"ელენე კვაჭაძე","ჭოპორტის ქ. 74, ტყიბული"
"ვალერი ხარაბაძე","არმაზის ქ. 97, სენაკი"
"ეთერ რაზმაძე","სამღებროს ქ. 65, ოჩამჩირე"
"დემურ ბოჭორიშვილი","მოსაშვილის ქ. 37, აბაშა"
"ავთანდილ ზარიძე","ქერჩის ქ. 64, გორი"
"გვანცა ლომაძე","გოგოლის ქ. 80, საგარეჯო"
"ბიძინა დვალი","აგლაძე რაფიელის ქ. 99, ახალქალაქი"
"იური ბენიძე","კოკინაკის ქ. 41, გურჯაანი"
"ჯაბა წულუკიძე","ქართლის ქ. 35, ტყიბული"
"გიული ზოიძე","დიდი ხეივნის ქ. 30, ხობი"
"დოდო კობაიძე","ხვანჭკარის ქ. 96, ბოლნისი"
"ემზარ ჟღენტი","მარჯანიშვილი კოტეს ქ. 25, გარდაბანი"
"ნაზიკო ბახტაძე","ამბროლაურის ქ. 87, ვანი"
"სულიკო ხვედელიძე","ბუდაპეშტის ქ. 26, საგარეჯო"
"ავთანდილ იაშვილი","უფლისციხის ქ. 66, თერჯოლა"
"რიტა გაბელია","ხეთაგუროვის ქ. 03, ვალე"
"მერაბ ნასყიდაშვილი","სახოკიას ქ. 14, ჭიათურა"
"გალინა ბენიძე","ლომთათიძის ქ. 05, ბაღდათი"
"კახაბერ ცხადაძე","ჟორესის ქ. 40, ოზურგეთი"
"ზურაბ ფუტკარაძე","გარე კახეთის ქ. 96, ცაგერი"
"ბონდო ანდღულაძე","თეთრიწყაროს ქ. 72, თბილისი"
"ჯონი კვირკველია","სამურის ქ. 75, საგარეჯო"
"ამირან გორგილაძე","ორბეთის ქ. 44, წყალტუბო"
"რობერტ კინწურაშვილი","ენგურჰესის ქ. 39, ლაგოდეხი"
"ავთანდილ კაციტაძე","სამღებროს ქ. 76, თეთრიწყარო"
"თენგიზ ჩხეიძე","მანაგაძე ალეხსანდეს ქ. 75, მარტვილი"
"ზაირა ჯღარკავა","ცინცაძე კალისტრატეს ქ. 12, ონი"
"ავთანდილ კარაპეტიანი","ნაქალაქევის ქ. 82, ტყვარჩელი"
"ვანო ელიზბარაშვილი","ევდოშვილის ქ. 61, გორი"
"ქეთინო მიმინოშვილი","მეჯვრისხევის ქ. 12, ჯვარი"
"კახაბერ მუსტაფაევი","მგალობლიშვილის ქ. 55, გორი"
"ელისო ნიკოლეიშვილი","პისარევის ქ. 19, წყალტუბო"
"ნარგიზა კევლიშვილი","შორაპნის ქ. 09, ბათუმი"
"უჩა გულუა","ლეჟავას ქ. 22, კასპი"
"ავთანდილ კილასონია","ხერხეულიძეების ქ. 95, ახალი ათონი"
"ბესარიონ ჯაფარიძე","კასპის ქ. 89, ჯვარი"
"ქეთინო ბერაძე","ლერმონტოვის ქ. 65, ლაგოდეხი"
"ვახტანგ ჭინჭარაული","ხანძთელი გრიგოლის ქ. 58, ახალციხე"
"ვიოლეტა კილასონია","სევანის ქ. 17, გალი"
"ოლია ჯინჭარაძე","დოდაშვილი სოლომონის ქ. 43, მარტვილი"
"რუსუდან კანდელაკი","კლდიაშვილის ქ. 86, დედოფლისწყარო"
"კონსტანტინე კოპაძე","სარკინეთის ქ. 99, ჭიათურა"
"მეგი ხარატიშვილი","ურეკის ქ. 67, გარდაბანი"
"იოსებ ქარდავა","ტყეკულტურის ქ. 32, ოჩამჩირე"
"ავთანდილ სირბილაძე","ანაკლიის ქ. 04, გუდაუთა"
"როინ სულაბერიძე","გუდარეხის ქ. 96, სამტრედია"
"ნინო გოგოხია","გრიბოედოვის ქ. 17, დმანისი"
"სერგო კობერიძე","ნინიძის ქ. 44, თეთრიწყარო"
"ზოია ბუჩუკური","გვეტაძე რაჟდენის ქ. 24, გაგრა"
"ნოდარ ბერულავა","ზუგდიდის ქ. 03, ხობი"
"ზვიად კვაჭაძე","სარაჯიშვილი პეტრეს ქ. 25, ახმეტა"
"კონსტანტინე ალიევი","ქვიშხეთის ქ. 70, ახალქალაქი"
"ეკა ნასყიდაშვილი","ტყავის ქ. 79, ბორჯომი"
"მერი ბოლქვაძე","სპანდარიანის ქ. 87, დედოფლისწყარო"
"ავთანდილ ტუღუში","ლაითურის ქ. 25, ხონი"
"ფატიმა კვერნაძე","ბულაჩაურის ქ. 13, მცხეთა"
"ოლღა ვალიევა","შავსოფელის ქ. 35, ოზურგეთი"
"ვეფხვია ლეჟავა","ხომლელის ქ. 36, ზესტაფონი"
"ინგა სარქისიანი","ანტონოვსკაიას ქ. 27, ამბროლაური"
"მარინა თედორაძე","ტეხურის ქ. 59, ლაგოდეხი"
"ჯემალ ღარიბაშვილი","სვირის ქ. 11, წალენჯიხა"
"ქეთინო მაჭარაშვილი","ტაბიძე ტიციანის ქ. 95, ახმეტა"
"ნუნუ კურტანიძე","შავთელის ქ. 79, თელავი"
"ვახტანგ მეტრეველი","კიშინიოვის ქ. 67, წნორი"
"ავთანდილ ჩინჩალაძე","თავაძე ფერდინანდის ქ. 50, ხობი"
"ოთარ მაჩიტიძე","ლიხაურის ქ. 88, ოზურგეთი"
"ლაშა ტყებუჩავა","არაგვისპირელი შიოს ქ. 22, ყვარელი"
"ჯონი გორგოძე","ჭავჭავაძე ალექსანდრეს ქ. 07, თბილისი"
"ბორის ფუტკარაძე","რაზიკაშვილის ქ. 51, გურჯაანი"
"თორნიკე გორგაძე","ლაითურის ქ. 05, მარტვილი"
"ზაურ ახალაძე","ლეჟავას ქ. 03, ზესტაფონი"
"ლევან კალანდია","სამგორის ქ. 98, სოხუმი"
"ასლან ტაკიძე","რკინის ქ. 62, მცხეთა"
"თეიმურაზ ტურაშვილი","ჭიჭინაძე ზაქარიას ქ. 80, სოხუმი"
"აზა ზედგინიძე","სამგორის ქ. 76, ტყვარჩელი"
"გელა გოგსაძე","გორის ქ. 54, ლანჩხუთი"
"გოდერძი ახვლედიანი","ნარგიზის ქ. 76, ლანჩხუთი"
"დოდო ხაჩატურიანი","დუტუ მეგრელის ქ. 73, მცხეთა"
"ანი მარგველაშვილი","იფნის ქ. 81, ცაგერი"
"გოდერძი მაჭარაშვილი","კიევის ქ. 70, ოზურგეთი"
"რომან ცერცვაძე","კვალის ქ. 11, საგარეჯო"
"გია ასათიანი","უფლისციხის ქ. 72, ცხინვალი"
"ირმა ხუციშვილი","ფერისცვალების ქ. 02, გუდაუთა"
"უშანგი პავლიაშვილი","სამღერეთის ქ. 25, სამტრედია"
"აზა უგრეხელიძე","ქებურიას ქ. 02, თერჯოლა"
"მზია ცირეკიძე","ბოჭორიშვილის ქ. 76, ნინოწმინდა"
"ეკა არაბული","მარჯანიშვილი კოტეს ქ. 87, ყვარელი"
"მარინე შამათავა","ქურდიანი არჩილის ქ. 97, დმანისი"
"ინგა ლაგვილავა","ჭალადიდის ქ. 39, სამტრედია"
"ელმირა ვარშანიძე","კლდეკარის ქ. 92, წალკა"
"კარინე დავითაძე","კავსაძის ქ. 98, ტყიბული"
"ალა გოგინაშვილი","წინანდლის ქ. 37, ცაგერი"
"მურთაზ ბიგვავა","სპანდარიანის ქ. 89, წნორი"
"ელენე კაცაძე","კურსკის ქ. 29, ლაგოდეხი"
"აზა ფანცულაია","მაზნიაშვილის ქ. 01, ტყიბული"
"ვერა ჯანიაშვილი","შავი ზღვის ქ. 38, გურჯაანი"
"რიმა ხიმშიაშვილი","ნასიძე სულხანის ქ. 85, ვალე"
"ნატალია ზარქუა","არაყიშვილი დიმიტრის ქ. 36, ჭიათურა"
"ნინელი ბერულავა","ახალდაბის ქ. 61, ფოთი"
"აკაკი ფუტკარაძე","ახუნდოვის ქ. 12, დედოფლისწყარო"
"ასმათ ალანია","სამგორის ქ. 04, გაგრა"
"როზა მოდებაძე","მესხეთის ქ. 55, ყვარელი"
"ვაჟა ცომაია","ხვანჭკარის ქ. 19, საგარეჯო"
"სალომე ხარაზიშვილი","ქსნის ქ. 71, ოზურგეთი"
"აზა წურწუმია","ვარდევანის ქ. 77, მცხეთა"
"ომარ დიასამიძე","ღუდუშაური ოთარის ქ. 59, თერჯოლა"
"კახაბერ კაკაბაძე","ნიზამის ქ. 60, ლაგოდეხი"
"თამაზ ბარამიძე","თმოგველის ქ. 15, წალკა"
"ზვიად ბერიშვილი","იყალთოს ქ. 67, ნინოწმინდა"
"კახა პაპიაშვილი","კლდიაშვილის ქ. 36, საჩხერე"
"მარი კალანდაძე","სუნდუკიანის ქ. 70, ჭიათურა"
"ნონა ცინცაძე","ვაკელი იონას ქ. 21, გუდაუთა"
"არჩილ შათირიშვილი","კოშკოვანის ქ. 12, ფოთი"
"ნადია მახარაშვილი","ლესელიძის ქ. 20, ნინოწმინდა"
"აზა ჭიღლაძე","ბაზალეთის ქ. 91, ბოლნისი"
"ნაზიკო ლომსაძე","ათონელის ქ. 17, ოჩამჩირე"
"გუგული ფეიქრიშვილი","მელიქიშვილის ქ. 52, ბათუმი"
"ნიკა ტყემალაძე","თრიალეთის ქ. 34, დედოფლისწყარო"
"თამარ აბესაძე","კედია სპირიდონის ქ. 12, თელავი"
"ემზარ ცომაია","კასპის ქ. 50, წნორი"
