ავთანდილ ელიზბარაშვი18 
ირინე კიკნაძე       11 
რუსუდან ბუჩუკური    0  
ზაქარია ირემაშვილი  6  
ნათელა ნეფარიძე     11 
ლარისა ჩაფიძე       9  
მიხეილ ხარებავა     5  
მარგალიტა ჩაჩუა     12 
ბესარიონ ბერაია     15 
შაქრო გვენეტაძე     17
ავთანდილ თედორაძე   15 
ნინო მოსიაშვილი     9  
ინგა ფერაძე         1  
ბესარიონ მგალობლიშვი8  
მინდია შელია        5  
ზინა ბრეგაძე        2  
რუსუდან ხურცილავა   0  
დემურ ბიწაძე        16 
მურთაზ ნადირაშვილი  6  
სოსო ტაბატაძე       4
ავთანდილ ნიქაბაძე   6  
ვარდო კაკაურიძე     13 
ელიზა მუსტაფაევა    10 
ნარგიზა ლაგვილავა   19 
ჯემალ დვალი         12 
ზოია გოგინაშვილი    12 
ლამზირა წულუკიძე    4  
ტარიელ ბენიძე       19 
ნატო ჭკადუა         10 
მეგი შუბითიძე       16
ავთანდილ წულაია     17 
ფატიმა შათირიშვილი  16 
ვალენტინა ენუქიძე   10 
მადონა ჭიღლაძე      5  
მიხეილ მესხი        10 
ქეთო კახაძე         10 
მალხაზ გვასალია     9  
რეზო კაზარიანი      6  
მინდია თოლორდავა    7  
თამარა მუსაევა      14
აზა ბენდელიანი      6  
ბესიკ ახალაია       2  
კონსტანტინე ნოზაძე  5  
მარიკა კაჭარავა     5  
ასლან რაზმაძე       0  
ხატია სურმანიძე     15 
პაატა გაბაიძე       7  
რუსუდან ჩხიკვაძე    1  
ვალერი ლატარია      7  
ნანი წულუკიძე       19
აზა ბერაია          11 
ტარიელ მაზმიშვილი   1  
ჯუმბერ სირბილაძე    1  
არმენ ფარცვანია     5  
ნანი ზოიძე          16 
სოფიო წულუკიძე      1  
თამარ მესხი         8  
თეონა როსტიაშვილი   19 
ელენე ბარამიძე      11 
ნარგიზა ჯაფარიძე    3
აზა გოგიჩაშვილი     13 
გულნარა მინდიაშვილი 0  
მინდია ხიმშიაშვილი  12 
შოთა ბურჯანაძე      17 
დათო სურმანიძე      19 
პაატა კაკაურიძე     13 
თინათინ მანაგაძე    6  
ნონა გრიგორიანი     13 
ნაზიბროლა გაბედავა  3  
თორნიკე სიმონიშვილი 3
აზა კირკიტაძე       13 
ციური კუჭუხიძე      14 
მედიკო როსტიაშვილი  11 
ვახტანგ ქორიძე      10 
ლიკა ხარაიშვილი     18 
დიანა დვალი         11 
იური ოქრუაშვილი     2  
რომან ბერიძე        15 
ოლია ბერუაშვილი     9  
