"ავთანდილ გაბელია"	"ლიხაურის ქ. 13, ახალციხე"
"შაქრო ჯღარკავა"	"წინამძღვრიშვილის ქ. 75, საჩხერე"
"ბელა კილაძე"	"სართიჭალის ქ. 76, ახალი ათონი"
"გოდერძი ხარებავა"	"წინაუბნის ქ. 61, ქარელი"
"მარია ფირცხალავა"	"ბარნოვის ქ. 53, გუდაუთა"
"ელენა ზარანდია"	"ნასიძე სულხანის ქ. 62, ვანი"
"ნუცა გულიაშვილი"	"ილურიძე კონსტანტინეს ქ. 82, თბილისი"
"ნინელი კარაპეტიანი"	"ალადაშვილის ქ. 31, ახმეტა"
"ლიდა დვალიშვილი"	"იყალთოს ქ. 11, თელავი"
"ალა ბალიაშვილი"	"ნაქალაქევის ქ. 77, მარნეული"
"ავთანდილ კობახიძე"	"ბროლოსანის ქ. 77, ახალი ათონი"
"უჩა სალუქვაძე"	"ფანასკერტელ-ციციშვილის ქ. 68, გაგრა"
"სვეტლანა ქევხიშვილი"	"ჯაბიძის ქ. 21, წალენჯიხა"
"თეა კიკნაძე"	"მთავარანგელოზის ქ. 44, საგარეჯო"
"ბადრი შარაშიძე"	"ბარნოვის ქ. 24, წალენჯიხა"
"ვიქტორ სილაგაძე"	"ნასიძე სულხანის ქ. 40, ზესტაფონი"
"მარი ღვინჯილია"	"ორხევის ქ. 93, გურჯაანი"
"ნუკრი ჭუმბურიძე"	"მტკვრის ქ. 02, დუშეთი"
"გალინა მაისურაძე"	"ჯავახიშვილი მიხეილის ქ. 90, ახმეტა"
"ტატიანა ბუკია"	"ტეხურის ქ. 37, ვალე"
"ავთანდილ ლობჟანიძე"	"სამურის ქ. 17, აბაშა"
"გურამ კაკაურიძე"	"გიორგი მერჩულეს ქ. 56, ახმეტა"
"გვანცა რაზმაძე"	"დობროლიუბოვის ქ. 76, ზუგდიდი"
"ლიდა კონცელიძე"	"ჩიკვანიას ქ. 35, დმანისი"
"ირინა ხუციშვილი"	"ზვარეთის ქ. 09, ვანი"
"ელიზა გორგილაძე"	"სავანელის ქ. 02, გუდაუთა"
"ციცინო მერაბიშვილი"	"ბარათაშვილი ნოკოლოზის ქ. 05, ქობულეთი"
"ევგენია ბუჩუკური"	"ჭაბუკიანი ვახტანგის ქ. 68, ლაგოდეხი"
"გოჩა ცეცხლაძე"	"ნიაბის ქ. 04, მცხეთა"
"ნიკა ზურაბაშვილი"	"ჭოროხის ქ. 80, მარნეული"
"ავთანდილ სირბილაძე"	"ბოროდინოს ქ. 13, მცხეთა"
"ნადეჯდა ჯოხაძე"	"ბუდაპეშტის ქ. 92, დედოფლისწყარო"
"უჩა ხარჩილავა"	"ყუშიტაშვილის ქ. 92, ახალქალაქი"
"ედუარდ თოფურია"	"პაიჭაძის ქ. 23, გუდაუთა"
"ჯუმბერ ბასილაძე"	"მოლოკოვის ქ. 71, ხონი"
"არტურ ჟორჟოლიანი"	"წალკის ქ. 65, ნინოწმინდა"
"ალექსანდრე ხაჩატურიანი"	"მუკუზანის ქ. 27, გარდაბანი"
"გოდერძი მახარაძე"	"ვირსალაძის ქ. 77, ამბროლაური"
