"अंजली कुलकर्णी"	"861 चव्हाण
मिरज 990346"
"रीमा गवळी"	"03/6484 गायकवाड
पिंपरी-चिंचवड-243824"
"अपर्णा कोल्हेजी"	"50 ओक
हिंगोली-724027"
"सुनील कोल्हे"	"0/8 विवेक चौगुले
चंद्रपूर-685731"
"कुमारी चेतना सावंत"	"76/0747 कोल्हे
जळगाव-114366"
"निखिल अहेरजी"	"26/7618 ज्योती जोशी
औरंगाबाद-875883"
"कीर्ती पवारजी"	"20/21 अनिता सावंत
हिंगोली-091256"
"श्री सुरेश मोरे"	"3071 महाजन
सांगली 726641"
"कविता जगतापजी"	"7/2 मकरंद जोशी
यवतमाळ-153527"
"गौरव कुलकर्णीजी"	"67/2902 जाधव
वसई 098020"
"अंजली चौगुलेजी"	"18/08 मेघा गायकवाड
ठाणे-139674"
"मंगेश पाटीलजी"	"06/8889 माने
जळगाव 755048"
"रोहिणी सावंत"	"4716 पल्लवी शिरसाट
औरंगाबाद 337597"
"मोहन भोसलेजी"	"732 सुरेश कांबळे
परभणी 470143"
"श्री गौरी जाधव"	"9753 शिंदे
हिंगोली 564940"
"रेणुका कदमजी"	"9 दत्तात्रेय जोशी
सातारा 304196"
"प्रज्ञा कांबळे"	"96/360 कविता साने
गोंदिया 786091"
"मंगेश ठाकूरजी"	"2/1 मिलिंद कोल्हे
परभणी 311404"
"रोहिणी कुलकर्णी"	"5961 मिलिंद गायकवाड
सातारा 015241"
"आकांक्षा चौगुलेजी"	"55/6825 राहुल माने
हिंगोली-272994"
"अंजली जगताप"	"58/818 ओक
मुंबई 750224"
"संदीप देशमुखजी"	"6/2 आकांक्षा शिरसाट
अमरावती 887654"
"निखिल देशपांडे"	"0111 प्रिया शिंदे
नवी मुंबई-641029"
"स्मिता जगताप"	"8 रेणुका अहेर
अहमदनगर 813434"
"उमा कदमजी"	"81/07 दीपाली फडके
सांगली-125749"
"अमित साळुंखे"	"4304 कोमल साळुंखे
बीड-116656"
"प्रिया शिरसाट"	"76 आशा सावंत
चंद्रपूर 343684"
"श्रीमती आशा कुलकर्णी"	"96/68 प्रशांत देशपांडे
सांगली-275021"
"श्रीमती आदित्य चव्हाण"	"64/2519 उमेश ठाकूर
मुंबई 340339"
"अनुष्का अहेर"	"08/21 अहेर
औरंगाबाद-024877"
"अंजली जगतापजी"	"93/601 ओक
अमरावती 936915"
"श्रीमती प्रज्ञा पवार"	"3 महाजन
उस्मानाबाद-483548"
"श्री उमेश पवार"	"47/76 पंकज पाटील
अमरावती-494027"
"श्रीमती वैशाली देशमुख"	"5 भूषण कदम
अमरावती-381999"
"श्री उमा ओक"	"136 गायकवाड
रत्नागिरी-992565"
"श्री कल्पना पाटील"	"979 आगरकर
रत्नागिरी-469940"
"अमोल शिरसाटजी"	"07/27 शिंदे
ठाणे-428079"
"गौरी फडके"	"6/5 आशा गवळी
अकोला 273456"
"उमेश ओकजी"	"80 फडके
लातूर-716498"
"श्रीमती शिल्पा साळुंखे"	"5596 अरुण पवार
सांगली-287229"
"अंजली जाधवजी"	"03/281 कांबळे
कोल्हापूर-245567"
"प्रिया कांबळेजी"	"770 गौरव देशपांडे
उस्मानाबाद 931663"
"श्री विवेक कदम"	"3 प्रिया कांबळे
मुंबई-215048"
"श्री जितेंद्र देशपांडे"	"9/2 पंकज कुलकर्णी
बीड-199325"
"श्री पंकज साळुंखे"	"78/44 कोल्हे
सातारा-297569"
"श्रीमती सुरेश अहेर"	"45/702 अहेर
रत्नागिरी 363850"
"कुमारी माधव अहेर"	"79/93 पवार
सांगली-045061"
"श्रीमती प्रज्ञा कदम"	"76/44 देशपांडे
यवतमाळ 737977"
"उमेश जगतापजी"	"85/0021 विकास कांबळे
बीड-145385"
"श्रीमती हर्षदा जाधव"	"37/535 आकांक्षा पाटील
मिरज-010855"
"अंजली जोशीजी"	"3/0 रोहित पाटील
गोंदिया-549565"
"श्रीमती संदीप ठाकूर"	"71 शिंदे
परभणी-261184"
"कीर्ती गायकवाडजी"	"0 स्नेहा भोसले
औरंगाबाद 129011"
"अपर्णा जगतापजी"	"53/91 आशा भोसले
वसई 711412"
"विवेक शिंदेजी"	"05/10 कांबळे
अहमदनगर-959791"
"मीनल पवारजी"	"8 ठाकूर
धुळे-362394"
"दत्तात्रेय ओकजी"	"10/85 फडके
नांदेड-478740"
"निखिल शिंदेजी"	"55 श्रुती पवार
मिरज-530027"
"कुमारी संदीप पवार"	"12/675 शिंदे
चंद्रपूर 872637"
"पंकज शिंदे"	"80 मानसी कांबळे
अकोला 608386"
"अंजली ठाकूर"	"68 किरण चौगुले
बीड 267100"
"सुरेश जगताप"	"2792 हर्षद माने
नाशिक-684182"
"कुमारी स्नेहा ठाकूर"	"4/0 प्रकाश देशमुख
अमरावती 831044"
"प्रकाश जाधव"	"57/86 कुलकर्णी
पुणे 275100"
"कुमारी निलेश जगताप"	"55/9543 कीर्ती महाजन
नांदेड 252366"
"श्रीमती दत्तात्रेय मोरे"	"1814 सुनील देशमुख
चंद्रपूर-213581"
"स्वाती जगतापजी"	"33/17 मानसी जाधव
सातारा-614982"
"राहुल कुलकर्णीजी"	"0/1 गायकवाड
चंद्रपूर-913898"
"रोहित कोल्हेजी"	"350 फडके
यवतमाळ-057270"
"विकास देशमुखजी"	"26/020 कांबळे
सातारा 475733"
"अंजली देशमुखजी"	"8/3 कदम
नागपूर-319306"
"जितेंद्र चव्हाणजी"	"72/317 अनिरुद्ध जगताप
रत्नागिरी 172394"
"कुमारी किरण राऊत"	"305 चौगुले
बीड 920774"
"जितेंद्र साळुंखेजी"	"240 भोसले
अहमदनगर-776045"
"श्रीमती कविता ठाकूर"	"30/58 गायकवाड
नवी मुंबई-074203"
"उमेश कांबळे"	"25/5028 विनायक पाटील
हिंगोली 543651"
"मोहन माने"	"1/2 अमोल शिंदे
अहमदनगर 961475"
"मिलिंद ठाकूरजी"	"1 शिंदे
औरंगाबाद-229827"
"रोहिणी जोशीजी"	"82/6436 पल्लवी अहेर
सातारा-718526"
"कोमल जोशी"	"921 मोरे
धुळे 462034"
"अंजली पवार"	"0686 शिंदे
वसई-030085"
"श्री कैलास जगताप"	"29/605 स्वाती जोशी
यवतमाळ 089149"
"उमेश कुलकर्णीजी"	"03/801 आदित्य साने
नवी मुंबई-069628"
"आकांक्षा माने"	"81/67 चौगुले
लातूर 359170"
"सचिन पवारजी"	"7/4 राऊत
नांदेड-659128"
"अनिल जगताप"	"4/3 कांबळे
उस्मानाबाद-508908"
