"Aaron Put"	"Petruspad 2
7650 Zerkegem"
"Geert Bogaerts"	"Nicksteeg 421
3258 Baal"
"José Van den Brande"	"Kasperstraat 07
3812
Beffe"
"Liesbeth De Waele"	"Stevenbaan 046
5368 Hombourg"
"David Daems Wouters"	"Gregorylei 158
5553 Comblain-la-Tour"
"Jolien Van Acker"	"Patrickpad 77
3428 Dohan"
"Christiana Proost"	"Rikweg 70
9352
Tertre"
"Liliane Willems"	"Borisweg 019
6682 Hompré"
"Maria Aerts"	"Martinesteeg 3
4120 Retie"
"Nadia Desmedt"	"Cyrielstraat 767
1895
Sint-Joris-Beernem"
"Abdul Deckers"	"Johanweg 3
2812 Lo-Reninge"
"Christelle Van de Voorde De Clercq"	"Janring 160
5867 Evelette"
"Jo De Bock"	"Stéphanestraat 2
6337
Rosoux-Crenwick"
"Filip Mortier"	"Kathleenring 2
1367 Spouwen"
"Evelien De Leeuw"	"Simonnelaan 387
8097
De Moeren"
"Niels Staelens"	"Helenasingel 540
1934
Reuland"
"Maria Rosseel"	"Godelievesingel 571
8118 Jeuk"
"Herman Martens"	"Geertsingel 32
3732 Houthem"
"Lucas Govaerts"	"Augustaboulevard 98
3573
Obigies"
"Kristof Bauwens"	"Nadinestraat 44
6708 Millen"
"Adam Govaerts"	"Jessedreef 38
1436
Obigies"
"Elise Hens"	"Ginettebaan 70
6904
Manhay"
"Marie Stroobants De Cuyper"	"Benjaminboulevard 111
1916
Herdersem"
"Willem Op de Beeck"	"Martinestraat 800
9209
Nessonvaux"
"Steve Peeters"	"Aliceweg 2
8793
Deurne"
"Ilona Van Looy"	"Martinlaan 472
3875 Halle-Booienhoven"
"Eveline Wuyts"	"Rudysteeg 3
9943
Dworp"
"Luka Dupont"	"Tanialaan 80
5137 Castillon"
"Carine Vanhoutte"	"Marialei 331
8796 Belgrade"
"Bruno Baeten"	"Annelieshof 97
2537 Steenhuize-Wijnhuize"
"Adam Smet"	"Hannespad 213
7970 Ouwegem"
"Imane Verhaeghe"	"Cindybaan 379
1644 Londerzeel"
"Veerle Willems"	"Bilalpad 156
9159 Sint-Joris-Weert"
"Patrick Van den Eynde"	"Rogerlei 9
2493 Beveren-Waas"
"Tanja Wouters Claeys"	"Sarabaan 94
6028 Bende"
"Dominique Vervaet"	"Lynnlei 4
1781 Samrée"
"Peter Peeters"	"Manuelhof 75
6447 Watermaal-Bosvoorde"
"Laura Coppens"	"Inesboulevard 3
4506 Ottignies-Louvain-la-Neuve"
"Tibo Van Hecke"	"Peterhof 8
7290
Bütgenbach"
"Sami Wouters"	"Yasminastraat 94
8566 Polleur"
"Adam Verhoeven Van Hove"	"Fredericsingel 30
7398
Westrozebeke"
"Caroline Willems Nelissen"	"Yassinesteeg 336
6745 Houthem"
"Karima Moonen"	"Veroniquedreef 03
2173 Emblem"
"Marguerite Dhondt"	"Ankesingel 963
1994 Averbode"
"Victor Loos"	"Marleenstraat 2
8908
Muno"
"Peggy Mertens"	"Fannyboulevard 27
7501
Morhet"
"André Demeulenaere"	"Mohameddreef 1
6933
Sprimont"
"Loïc D'Hondt"	"Claudineboulevard 7
7770 Mabompré"
"Wendy De Vos Goossens"	"Mariaweg 0
1788
Zottegem"
"Jens Van der Linden"	"Helgasingel 4
1346
Braine-le-Comte"
"Adrian Van Damme"	"Ernaring 417
4841
Robertville"
"Frank Verlinden"	"Svenlei 21
6010
Leuven"
"Petra Hermans"	"Janlei 03
7993 Hillegem"
"Birgit Jans"	"Joséesingel 721
5510 Chênée"
"Joris Claes"	"Emiellaan 8
6477
Musson"
"Axelle Michiels"	"Pedroboulevard 4
3913 Outrelouxhe"
"Wim Vlaeminck"	"Wesleyhof 519
5295 Weillen"
"Sem Callens"	"Johandreef 769
9348
Rillaar"
"Ludwig Horemans"	"Marcring 570
6172 Linkhout"
"Christian De Schrijver"	"Wernerlaan 345
4031
Orchimont"
"Adrian Verstraete"	"Xavierlei 0
4448 Huccorgne"
"Ella Buelens Put"	"Geertlaan 1
4268 Vollezele"
"Alfred Peeters"	"Mariedreef 749
3513
Ulbeek"
"René Willems Somers"	"Carinering 023
5796
Braine-l'Alleud"
"Victoria Moens"	"Anjapad 93
5919
La-Roche-en-Ardenne"
"Linda Cox"	"Magdalenaring 875
6201
Mourcourt"
"Josephina Van Dijck"	"Stefanlei 57
9908 Drogenbos"
"Charlotte Verbruggen"	"Yvonnelaan 21
5437
Emblem"
"Pieter Moens"	"Rebeccastraat 6
7612
Berlare"
