"Adrian Ahmed","Mikkelsengjerdet 6, 6404 Tobiashamn"
"Einar Ødegård","Moenåsen 84F, 2104 Astridodden"
"Jan Pettersen","Birkelandvika 68, 4122 Bakken"
"Sigurd Lien","Næssgropa 3, 2446 Adrianfjord"
"Bjørn Bøe","Brekkestranda 7B, 2370 Stiansand"
"Tommy-Tobias Bakken","Strømstykket 51, 1990 Marteøy"
"Mette Solheim","Ahmedbråten 7, 4888 Joakimfjell"
"John-Stein Gundersen","Haugesvingen 23A, 8643 Emmafoss"
"Mari Bakke","Nygårdskogen 4, 1038 Gerdodden"
"Johan Lunde-Thorsen","Larsengrenda 3, 5514 Gerdnes"
"Adrian Andreassen","Mikkelsentunet 9, 5660 Trondstad"
"Kirsten Tangen","Eidemoen 1F, 7868 Alexandersjøen"
"Torill Hagen","Nygårdjordet 35A, 2000 Tommyodden"
"Anette Solberg-Ellingsen","Haugengata 6, 5000 Magnusnes"
"Daniel Lie","Alilia 789, 4209 Berntsen"
"Stein Johansen","Isaksenholtet 8, 9612 Sivertsen"
"Roger Dahl-Haug","Sandvikstubben 790, 3312 Simenhelle"
"Jens Jenssen","Eideengen 5B, 3138 Eriksund"
"Tor Tveit","Ruudmoen 4, 7311 Solheim"
"Britt Thomassen","Andersenengen 5, 5016 Pettersen"
"Adrian Johannessen","Andresenmarka 76, 0504 Magnusstad"
"Sissel Haug","Olsengrenda 9, 8874 Jakobsen"
"Prof. Øystein Haugland","Gundersenhagen 3, 5892 Emilstrøm"
"Kirsten Evensen","Olsengrenda 59G, 0719 Knudsen"
"Sander Jensen","Ruudhagen 9, 4133 Kristoffernes"
"Adrian-Joakim Brekke","Sivertsenekra 59A, 2917 Aas"
"Linn-Lene Knudsen","Thorsenskrenten 2, 7924 Thomassen"
"Wenche-Eva Mathisen","Abrahamsengropa 12, 7734 Bøe"
"Thomas Danielsen","Jørgensenfaret 9, 5346 Knuthamn"
"Sverre Svendsen","Pettersenroa 84E, 6717 Martinås"
"Adrian Knudsen","Bakkenstien 92, 8924 Heidihamn"
"Prof. Marius Martinsen","Tveithavna 19, 4361 Nygård"
"Håvard Bøe","Alilunden 4, 1421 Andreasborg"
"Aud Halvorsen","Birkelandhaugen 7, 6463 Lund"
"Turid Aas-Knutsen","Eriksenjordet 4, 0314 Berg"
"Marius Moen","Mathisenstubben 7, 7269 Hauge"
"Hege Kristiansen","Halvorsenskrenten 02, 8277 Annbø"
"Eli Evensen","Andresenskogen 64C, 9021 Mikkelsen"
"Lise Næss","Lundeskogen 3, 8886 Haraldborg"
"Bjørg-Martine Antonsen","Larsenengen 74G, 4056 Ødegård"
"Adrian Knutsen","Edvardsenfaret 03, 3109 Christensen"
"Anna Tveit","Myhrehøgda 6F, 3367 Næss"
"Randi Jenssen","Moentunet 8F, 3637 Larsen"
"Espen Kristensen","Aunevika 8, 0864 Karlsen"
"Harald Birkeland","Eidelyngen 678, 6091 Arildø"
"Camilla Larsen","Evensenvika 04, 5348 Hildefjord"
"Maren Svendsen","Bøemyra 2, 4074 Karlsen"
"Eivind Engen","Jørgensenhavna 3B, 4862 Lindamark"
"Sigurd Thorsen","Jakobsenlia 2, 9514 Elisabethberg"
"Nils Berg","Larsenroa 2, 6124 Amundsen"
"Adrian Kristoffersen","Aasflata 28C, 4513 Cecilievær"
"Siri Pedersen","Holmengen 3F, 8084 Jensdal"
"Ellen-Anita Antonsen","Engenstranda 89, 2773 Strøm"
"Hans Evensen","Haugroa 23, 2732 Sigurdvåg"
"Gro Sivertsen","Ruudlia 84, 8988 Jørgensen"
"Sverre Hanssen","Hauglunden 4F, 5792 Gerdnes"
"Asbjørn Johansen","Edvardsenkollen 3, 9813 Bakken"
"Fredrik-Alexander Strøm","Abrahamsenspranget 60F, 2251 Johnsen"
"Rolf Karlsen","Birkelandtoppen 60, 2786 Berg"
"Kim Bakke","Lundehaugen 41, 5642 Amundsen"
"Adrian Paulsen-Eliassen","Næssgjerdet 2, 7420 Eliassen"
"Tore Engen","Strandstien 6E, 0402 Edvardsen"
"Leif Moen","Jenssenhøgda 1D, 5183 Dahl"
"Dr. Rune Strand","Karlsenbakken 1C, 2961 Simenstad"
"Per Antonsen","Hellandgropa 6, 7157 Thomassen"
"Rita Sandvik","Eideskrenten 78, 4110 Eide"
"Kåre Christensen","Myhreplassen 1A, 8793 Adrianfjord"
"Linn-Kari Nguyen","Holmhaugen 4, 9521 Sindrestad"
"Marit Birkeland","Kristensenplassen 67, 9139 Jakobsen"
"Morten-Harald Strøm","Evensenhaugen 942, 0443 Eriksen"
"Adrian Sivertsen-Dahl","Engenstubben 5, 8101 Sigurdmark"
"Kjell Moe","Mathisenplassen 2, 4722 Pervik"
"Eli Johannessen","Myhrestranda 1B, 2911 Rønning"
"Jorunn Olsen-Haugen","Aaskollen 97, 1697 Ruud"
"Pål Svendsen","Ødegårdstien 66, 1864 Bjørgborg"
"Prof. Stig Haugen","Mathisenhøgda 9, 4432 Nilsen"
"Malin-Vilde Andresen","Aasengrenda 6, 2237 Evensen"
"Karin Karlsen","Hauglandberget 15C, 0575 Mathisen"
"Hege Jørgensen-Isaksen","Birkelandlyngen 6, 0961 Cecilieeid"
"Dr. Tore Aasen","Thomassenspranget 45, 9091 Arnefoss"
"Alexander Ahmed","Brekkeekra 5, 9557 Torillfoss"
"Anne-Reidun Strøm","Johannessenengen 12F, 0027 Rønning"
"Cecilie Isaksen","Bakkegropa 1, 3977 Synnøvevær"
"Solveig Holm","Sandvikengen 5, 5756 Grodal"
"Thomas Lund","Lundelia 8, 8172 Danielvær"
"Ole Henriksen","Haugelyngen 10, 7684 Trineberg"
"Grete-Rita Rasmussen","Myklebustlia 8, 3325 Rønning"
"Karoline Jacobsen-Aasen","Lieplassen 966, 0019 Aasen"
"Thomas Eliassen","Simonsenmoen 1A, 7960 Einarstad"
"Ann-Ragnhild Paulsen","Ahmedjordet 7, 9962 Ruud"
"Alexander Fredriksen","Hansengropa 9, 8729 Linedal"
"Sissel Vik","Hauglandgjerdet 2, 6811 Stigø"
"Stine Karlsen","Liesvingen 7, 2952 Grogrunn"
"Sindre-Øyvind Berntsen","Fredriksenhøgda 4, 5769 Hauge"
"Erik Moen","Kristensenåsen 1E, 6289 Hegevær"
"Kjersti-Nora Berntsen","Halvorsenspranget 7H, 2457 Birkeland"
"Camilla Bøe","Aaslyngen 11, 4265 Jacobsen"
"Thomas Bakken","Solbergbråten 47, 9828 Moe"
"Vidar Johnsen","Jensenskogen 64, 6031 Larsbø"
"Camilla-Gro Bakken","Bergtoppen 31, 8148 Christensen"
"Alexander Holm","Aasenbakken 96, 7337 Antonsen"
"Sindre Hagen","Hansenlyngen 59, 4882 Johnsen"
"Karoline Karlsen","Bøegropa 5, 6407 Aasen"
"Ingeborg Sivertsen","Jenssenalléen 90, 5067 Turidvik"
"Solveig Aas","Hellandstien 10, 7724 Astridfoss"
"Synnøve Solberg","Alistykket 82, 3089 Haugen"
"Lars Ødegård","Myklebuststien 6, 2254 Sæther"
"Terje Lien","Bakkensvingen 097, 6344 Hegeberg"
"Kåre Birkeland-Iversen","Moenstranda 59, 3861 Moen"
"Henrik Haugland","Christensenskrenten 11, 5611 Ellenøy"
"Alexander Johannessen","Ellingsenspranget 9, 0193 Royvåg"
"Bente-Ragnhild Edvardsen","Pedersenstykket 3, 0781 Torillvik"
"Henrik Sæther-Haugen","Danielsenrøa 4, 7759 Knudsen"
"Håkon Berge-Andresen","Knutsenkollen 47, 3754 Mariannegrunn"
"Jonas Andersen","Vikeggen 59, 5106 Bøe"
"Roar Edvardsen","Kristoffersenvollen 01G, 2763 Thomassen"
"Kåre Moen","Hauglandåsen 47, 8794 Johansen"
"Tore Helland","Nielsenlyngen 50C, 0236 Sebastiangrunn"
"Per Johannessen","Abrahamsentoppen 910, 7715 Lunde"
"Tommy Johannessen","Gundersenbakken 48, 9161 Wenchevik"
"Alexander Johnsen","Haugenskrenten 2, 1556 Amundsen"
"Siv Thomassen","Henriksenåsen 9, 0734 Jensen"
"Alexander-Knut Martinsen","Haughagen 007, 6715 Martinefoss"
"Erik-Leif Thomassen","Evensengjerdet 08, 4850 Elisestrand"
"Nina Myhre","Sandvikbråten 42H, 6243 Mayborg"
"Håkon Aasen","Rasmussenstranda 1, 2035 Kimstrøm"
"Synnøve Paulsen","Nilsengropa 092, 0126 Kjerstifoss"
"Heidi Myhre","Hanssenhagen 6, 6999 Halvorsen"
"Ole Solheim","Andreassenhaugen 3, 2476 Sveinøy"
"Frank Eliassen","Hagenringen 32, 3231 Gundersen"
"Alexander Knutsen","Næsstunet 51, 3096 Jacobsen"
"Kristin Birkeland","Pedersengropa 8, 1546 Johanhavn"
"Håkon Dahl","Nilsenhøgda 77A, 0091 Randiborg"
"Kjell Iversen-Antonsen","Strømjordet 96C, 5749 Kåreås"
"Terje Ruud","Myklebustbråten 83, 7572 Rasmussen"
"Steinar Berg","Bergeløkka 2, 8197 Jonassund"
"Aud Svendsen-Strand","Sivertsengrenda 62H, 6104 Sigridstrand"
"Rita Tangen","Sørensenengen 1D, 5778 Thomassen"
"Karoline Martinsen","Andersentjernet 21C, 5494 Torilldal"
"Lene Nguyen-Strand","Johnsenengen 1, 0177 Ødegård"
"Alexander Madsen","Pettersenrøa 57H, 9385 Mariby"
"Morten-Hans Bakke","Olseneggen 6B, 7980 Trondeid"
"Wenche Pedersen","Mathisenflata 6, 0364 Audvær"
"Arild-Frode Isaksen","Pettersenhavna 96A, 3392 Sivertsen"
"Marius Henriksen","Moelia 4, 4065 Madsen"
"Ole Hanssen","Simonsenholtet 773, 8822 Åsedal"
"Simen Dahl","Sivertsengrenda 6, 9220 Svendsen"
"Kristin Antonsen","Myklebustrøa 46H, 2277 Antonsen"
"Mathias Knudsen","Kristiansenlunden 57, 3286 Arnesen"
"Elise Tangen","Holmkollen 3B, 2141 Abrahamsen"
"Alexander Pettersen","Johannessengropa 90, 6973 Johannessen"
"Tore Kristensen","Sørensenhaugen 12, 3248 Andreasås"
"Mari-Åse Pedersen","Næsshagen 41, 2351 Kristensen"
"Åse-Anne Madsen","Amundsenringen 8, 2072 Næss"
"Andreas Hansen","Isaksentunet 867, 5515 Næss"
"Sara Eriksen","Bakkevollen 3A, 4299 Engen"
"Magnus-Sverre Danielsen","Holmplassen 6, 6541 Madsen"
"Dr. Torbjørn Svendsen","Kristiansenplassen 8, 6371 Johansen"
"Hans Thomassen-Johannessen","Aasenspranget 618, 7149 Ellenby"
"Else Madsen","Haugstien 7, 6296 Elisabethvik"
"Alexander Solberg","Isaksenvika 94, 2806 Sivertsen"
"Erling Johannessen","Evensenengen 2B, 7210 Kristensen"
"Andrea Larsen","Rasmussenstien 9, 4100 Helgeodden"
"Sebastian Fredriksen","Dahlskrenten 9, 7907 Robertdal"
"Olav Pedersen","Knutsensvingen 93B, 9632 Martenes"
"Dr. Morten Thomassen","Ødegårdeggen 060, 0545 Christensen"
"Lise Bakke","Haugenflata 2D, 8851 Magnusstrøm"
"Thor Olsen-Sandvik","Jakobsenengen 2E, 8407 Karibø"
"Henrik Lien-Gulbrandsen","Eriksenskrenten 23, 8341 Karlø"
"Grete-Siri Andreassen","Henriksenbråten 6, 2130 Helland"
"Alexander Svendsen","Ruudekra 83A, 5477 Tveit"
"Cecilie Nielsen","Haugeneggen 561, 3140 Marteeid"
"Kenneth Danielsen","Knutsenbakken 9, 8228 Livfjell"
"Vegard Madsen","Thorsenkollen 3, 4425 Thomasberg"
"Mette Gulbrandsen","Birkelandgropa 9, 5899 Mayhelle"
"Line Tangen","Pedersenstranda 06, 9839 Ahmed"
"Karin Arnesen","Dahlmoen 9, 1310 Aas"
"Frank Paulsen-Nielsen","Nilsenløkka 41, 4816 Jenssen"
"Karin Pedersen","Holmhaugen 5, 6653 Mathisen"
"Tobias Lunde","Mikkelsenvollen 51, 8428 Jacobsen"
"Alexander Sørensen","Birkelandmoen 92, 3060 Torevik"
"Tom Jacobsen","Mathisenrøa 7, 6688 Håkongrunn"
"Gunn Haug","Haugeengen 69A, 6766 Madsen"
"Finn-Kristian Arnesen","Jørgensenskrenten 03, 3127 Markusfoss"
"Kim-Odd Paulsen","Vikskrenten 418, 7680 Eivindbø"
"Sondre Martinsen-Bakke","Nguyenstien 9, 8515 Berg"
"Ola Kristensen","Bergberget 84, 7639 Asbjørngrunn"
"Anders-Steinar Lie","Hauglandmarka 68, 8457 Finnstrøm"
"Hanne Nielsen","Gundersenmoen 99B, 3835 Sandvik"
"Linda Bøe","Lundlyngen 317, 0290 Groodden"
"Alexander Vik","Olsenmoen 3, 4607 Marimark"
"Marte Moe-Pettersen","Brekkemyra 833, 9712 Jensen"
"Kjell Johannessen","Ruudtoppen 24A, 8338 Helland"
"Dag Haugland","Thorsenskrenten 8, 7429 Martegrunn"
