"Ada Balcewicz","ul. Miłosza 613
53-927 Chojnice"
"Eryk Haraburda","ul. Klonowa 57
58-872 Gdynia"
"Wiktor Ruman","aleja Malczewskiego 813
42-372 Krotoszyn"
"pan Dominik Falba","ul. Graniczna 634
86-213 Tarnów"
"pan Filip Wujec","ul. Lelewela 37/01
56-986 Grodzisk Mazowiecki"
"Jacek Dudziec","al. Prusa 51
81-339 Katowice"
"Tomasz Śleziak","ul. Asnyka 336
67-496 Kraśnik"
"Juliusz Pyrkosz","plac Władysława Jagiełły 016
63-289 Kościerzyna"
"pani Dorota Nestorowicz","ul. Kalinowa 882
99-525 Siedlce"
"Maks Roczniak","plac Władysława Łokietka 46
17-123 Jastrzębie-Zdrój"
"Ada Czochara","ul. Głogowa 39/94
65-792 Przemyśl"
"pan Przemysław Wałęsa","aleja Odrzańska 86/81
59-044 Skarżysko-Kamienna"
"Oliwier Lica","ul. Moniuszki 63/73
26-600 Bielsk Podlaski"
"Mateusz Anioła","plac Jana Sobieskiego 07/02
61-565 Kościan"
"Tadeusz Litwa","ulica Długosza 24/91
44-549 Mława"
"Igor Chlebda","pl. Korfantego 235
01-694 Biała Podlaska"
"pani Marianna Bednarowicz","pl. Andersa 455
39-150 Lębork"
"Jędrzej Świergiel","ul. Cicha 20/38
02-785 Puławy"
"Juliusz Dłubak","pl. Reja 63
27-629 Grudziądz"
"Julita Graban","ulica Partyzantów 73/62
63-519 Biłgoraj"
"Ada Hornik","aleja Staszica 235
11-772 Tarnowskie Góry"
"Bianka Franas","ul. Niecała 625
59-196 Oleśnica"
"Oliwier Różak","pl. Skargi 83/58
55-416 Krosno"
"Eliza Wlaźlak","ulica Powstańców Wielkopolskich 06/73
55-942 Suwałki"
"Stanisław Wielgos","ul. Jana Sobieskiego 73/00
25-669 Świebodzice"
"Julianna Szyda","plac Sawickiej 88/97
74-369 Kraśnik"
"Julianna Rejek","plac Stefana Batorego 70/45
46-684 Tczew"
"Robert Juśkiewicz","ulica Świerczewskiego 474
02-690 Częstochowa"
"Rafał Dulemba","al. Kraszewskiego 15
55-819 Tarnobrzeg"
"Apolonia Ryczko","ulica Liliowa 52
37-102 Radomsko"
"Ada Jarczak","al. Tulipanowa 06/78
85-368 Chełm"
"Melania Siewert","ul. Wschodnia 37/64
33-015 Pruszcz Gdański"
"pan Jakub Kinal","pl. Maja 95/97
81-450 Gdynia"
"Aleks Iwanow","plac Jana Sobieskiego 49/99
20-252 Kraków"
"Eryk Pyszczek","ulica Leszczynowa 11
57-015 Bełchatów"
"Kamila Jajko","plac Jana Sobieskiego 68
49-459 Bielsk Podlaski"
"Fabian Wojewodzic","ul. Kazimierza Wielkiego 64
10-667 Stargard Szczeciński"
"pan Marcel Bacia","ulica Wieniawskiego 16
05-677 Polkowice"
"Róża Filiks","plac Kraszewskiego 99/28
54-614 Pruszcz Gdański"
"Olgierd Lament","pl. Tysiąclecia 23/84
71-501 Marki"
"Ada Martyka","al. Słowicza 755
58-103 Legnica"
"Tola Ścibior","pl. Jana III Sobieskiego 238
93-851 Sopot"
"pani Agnieszka Hartman","aleja Reja 52/40
30-387 Nowa Ruda"
"pani Sonia Kuśmider","ulica Jana 498
64-652 Szczecinek"
"Gustaw Tylman","ulica Drzymały 12
46-089 Łomża"
"Maks Siemieniec","aleja Orzeszkowej 02
16-355 Konin"
"Oskar Swacha","ulica Lelewela 76/66
47-888 Knurów"
"pan Igor Swiątek","pl. Mieszka I 34/18
71-759 Żagań"
"Konrad Linda","ulica Błękitna 10
62-321 Pruszków"
"pan Gabriel Bejnarowicz","aleja Długosza 89
86-461 Rumia"
"Ada Moroń","aleja Traugutta 83/71
46-212 Mikołów"
"Paweł Prucnal","plac Konarskiego 255
88-965 Oleśnica"
"Mateusz Dunal","plac Korfantego 39/81
35-077 Goleniów"
"Artur Guźniczak","pl. Niepodległości 898
89-225 Bielawa"
"Emil Kość","plac Słowicza 50/52
80-148 Tarnobrzeg"
"Blanka Krzysiek","ulica Władysława Łokietka 991
76-690 Pruszcz Gdański"
"Emil Kierat","plac Armii Krajowej 717
80-373 Dąbrowa Górnicza"
"Lidia Sołoducha","aleja Skłodowskiej-Curie 76/05
47-620 Zgorzelec"
"Leon Truchan","al. Dworska 61/54
06-236 Gorlice"
"Marianna Słonka","aleja Sienkiewicza 547
22-766 Piekary Śląskie"
"Adam Frydel","al. Jagiellońska 45/90
28-086 Zielona Góra"
"pan Artur Pioch","plac Batalionów Chłopskich 228
77-853 Racibórz"
"Alex Hinca","aleja Krasickiego 438
35-240 Sandomierz"
"Karol Tecław","al. Letnia 909
52-463 Ostrów Mazowiecka"
"pan Olgierd Żach","aleja Kalinowa 987
22-361 Jastrzębie-Zdrój"
"pan Artur Leżoń","al. Głogowa 22
89-984 Konin"
"Marcelina Klyszcz","plac Daszyńskiego 39
66-595 Konin"
"Iwo Daraż","aleja Pułaskiego 118
37-602 Czerwionka-Leszczyny"
"Cezary Nytko","ulica Pogodna 85/41
14-661 Kościan"
"Daniel Fabiszak","ulica Lawendowa 68
13-580 Reda"
