"Ada Bazydło"|"ul. Jagodowa 52
84-438 Żyrardów"
"Dawid Golenia"|"pl. Brzechwy 89
21-237 Skawina"
"Robert Wołoch"|"aleja Truskawkowa 528
19-985 Kutno"
"pan Piotr Zarzeczna"|"ulica Krasickiego 10/67
08-125 Iława"
"Oskar Zacharek"|"ul. Piastowska 13/91
25-609 Kalisz"
"Antoni Paprotny"|"plac Kosynierów 46
43-032 Lublin"
"pan Nataniel Rapa"|"plac Wybickiego 58
93-383 Sieradz"
"Nela Borzych"|"ulica Kasprowicza 090
40-140 Gorlice"
"pani Bianka Ziemann"|"ulica Borówkowa 74
39-567 Świnoujście"
"Stefan Krata"|"ul. Bolesława Krzywoustego 90
62-809 Łowicz"
"Ada Bugno"|"ulica Kosynierów 094
87-232 Rzeszów"
"pani Nicole Drozda"|"aleja Sokola 146
11-685 Kalisz"
"Ewelina Swiątek"|"plac Głowackiego 754
53-160 Sochaczew"
"Jeremi Ochnio"|"plac Listopada 955
95-561 Polkowice"
"pan Bartek Świadek"|"pl. Wyszyńskiego 469
16-319 Tychy"
"Anastazja Wałaszek"|"plac Stefana Batorego 008
77-209 Świnoujście"
"pan Mikołaj Lew"|"ulica Zbożowa 77
45-259 Żywiec"
"pani Klara Dziewa"|"plac Piłsudskiego 633
72-325 Mysłowice"
"Adam Wojtera"|"aleja Sikorskiego 15/13
90-916 Mikołów"
"Nela Mol"|"al. Złota 668
61-594 Białogard"
"Ada Fidler"|"ul. Stefana Batorego 10
54-454 Białogard"
"Jakub Deptuch"|"pl. Pułaskiego 64/38
83-737 Zgorzelec"
"pan Tobiasz Cyroń"|"al. Rynek 86
11-128 Płock"
"Justyna Chwała"|"ulica Dworska 771
10-292 Kluczbork"
"Antoni Wacławiak"|"plac Broniewskiego 70/64
88-590 Wągrowiec"
"Urszula Ziarek"|"al. Gałczyńskiego 031
96-587 Kłodzko"
"Karina Lemieszek"|"pl. Czarnieckiego 66
44-781 Płock"
"Dorota Tylka"|"ul. Dojazdowa 06/95
48-209 Bytom"
"Jeremi Fedyk"|"pl. Kopernika 226
11-421 Wieluń"
"Nicole Gągała"|"pl. Wyszyńskiego 34
73-193 Białystok"
"Ada Kuba"|"al. Kazimierza Wielkiego 169
76-754 Nowy Sącz"
"pan Nikodem Deneka"|"ul. Krańcowa 47
58-488 Piła"
"Marcelina Kontny"|"ul. Kopernika 524
19-701 Tarnowskie Góry"
"Tymoteusz Indyk"|"aleja Maja 138
83-118 Łódź"
"Jeremi Żabka"|"al. Rycerska 06
74-278 Kalisz"
"pani Olga Wawrzynowicz"|"pl. Brzechwy 43/78
66-558 Olsztyn"
"pan Ryszard Kułach"|"aleja Pszenna 59
09-432 Zakopane"
"pani Kalina Pogorzelec"|"aleja Mazowiecka 04/07
09-270 Elbląg"
"Cyprian Grund"|"pl. Asnyka 57
57-726 Puławy"
"Tobiasz Hadaś"|"ul. Pogodna 017
07-173 Świnoujście"
"Ada Lemke"|"pl. Maczka 65
98-073 Tarnobrzeg"
"pani Sonia Heinrich"|"plac Armii Krajowej 56
81-126 Łuków"
"Jeremi Złotek"|"al. Pałacowa 909
22-241 Kluczbork"
"pani Aniela Domka"|"al. Boczna 796
05-223 Ostrów Mazowiecka"
"Marek Foit"|"ulica Zakole 77/74
64-161 Lubliniec"
"Anna Maria Smoczyk"|"ulica Konopnickiej 530
50-545 Brzeg"
"pani Tola Łudzik"|"aleja Kraszewskiego 34/67
68-301 Warszawa"
"Nataniel Tlałka"|"ulica Piłsudskiego 78/80
23-734 Łomża"
"pan Gabriel Gierach"|"ul. Żytnia 12
44-414 Radomsko"
"pani Liwia Siatka"|"al. Lawendowa 06
63-898 Wałbrzych"
"Ada Majsterek"|"al. Wschodnia 05/49
37-821 Lubin"
"Konrad Jewuła"|"al. Rolna 697
17-259 Nowa Ruda"
