"Adriana Almeida","Av Leal, 59
8518-401 Funchal"
"Santiago Pacheco-Alves","Avenida de Bernarda Ferreira Lacerda, 3
5091-873 Tarouca"
"Matias Tavares","Av Ana Correia, S/N
8266-847 Vila do Conde"
"Manuel Silva","Travessa José António Marques, S/N
9314-306 Paredes"
"Vasco do Lima","Praça de Oliveira, 992
3949-366 Alcácer do Sal"
"Vasco Tavares","R. de S. Macário, 47
3705-414 Ponte de Sor"
"Tomás Coelho","Praça Almeida, 763
7080-486 Alcácer do Sal"
"Gil de Loureiro","Praça do Alto do Varejão, 90
5655-287 Almada"
"Sebastião de Pinto","R. Alves, 5
5360-191 Amora"
"Benedita Antunes-Barros","Praça dos Oceanos, 864
5995-619 Costa da Caparica"
"Adriana Castro","Rua Castro, 48
7925-174 Ourém"
"Joaquim Pires","Rua Sérgio Brito, 66
2532-096 Porto"
"Andreia da Ribeiro","Praça de Matos, 80
7468-135 Figueira da Foz"
"Emília da Araújo","Largo da Circunvalação, 18
5903-219 Lisboa"
"Matilde Azevedo","Av de Jesus, 886
2254-389 Maia"
"Inês Correia","Av Bianca Sá, S/N
8590-835 Reguengos de Monsaraz"
"Yara Magalhães-Amorim","Rua das Andorinhas, 68
4740-422 Guimarães"
"Noa Barros","Rua de São Vicente de Paulo, 62
6135-739 Funchal"
"Lorena Figueiredo-Correia","Alameda de Silva, 58
5899-501 Freamunde"
"Luísa Azevedo","Av da Torrinha, 417
2253-561 Seia"
"Adriana Cunha","R. Rúben Matos, S/N
4140-919 Valongo"
"Carolina Coelho","Largo Cardoso, S/N
6807-398 Santa Comba Dão"
"Raquel Monteiro","Largo Arquitecto Carlos Ramos, 761
3514-654 Rebordosa"
"Vicente da Martins","Av Nádia Correia, S/N
8701-771 Seixal"
"Samuel Nogueira","Av do Pinzaleiro, 51
6465-911 Esmoriz"
"Nicole Coelho-Cunha","Largo do Cidral de Cima, 32
4136-997 Câmara de Lobos"
"Noah Cunha","Rua da Ranha, S/N
8685-917 Quarteira"
"Bernardo Magalhães-Amorim","R. Alves, 59
3682-166 Gandra"
"Bianca Neto","Largo dos Vice-reis, 7
2449-005 Guimarães"
"Leonor da Macedo","Avenida de Pinheiro, 94
3328-501 Trancoso"
"Adriana Gonçalves","Avenida de Rocha, S/N
4651-134 Sacavém"
"Caetana Soares","Avenida de Almeida, 723
6658-416 Lagoa"
"Núria Macedo","Travessa Luciana Faria, 93
8136-781 Torres Vedras"
"Carminho Carvalho","R. de Batista, 6
7550-330 Macedo de Cavaleiros"
"Ivo Pinho","Rua das Congostas, 57
8687-657 Vendas Novas"
"Kelly do Jesus","Praça Lúcia Martins, 89
5237-785 Mirandela"
"Carlota Garcia","Rua de Monteiro, 9
7363-719 Câmara de Lobos"
"Álvaro Martins","Av Leal, 61
5879-190 Oliveira de Azeméis"
"Alícia do Pires","Largo Leandro Amorim, S/N
3834-536 Almada"
"Joaquim Pires","Travessa de Antunes, S/N
1332-669 Lourosa"
"Adriana Melo","Praça de Alves, S/N
2616-666 Portimão"
"Victória Ribeiro","Largo Feia, 79
7308-169 Valbom"
"Gil Assunção","Av Magalhães, 91
1631-449 Porto Santo"
"Daniel Mendes","Travessa da Lingueta, 7
8546-538 Almeirim"
"Júlia Matos-Torres","Avenida Daniela Tavares, 4
9744-670 Praia da Vitória"
"Salomé Lopes","Largo de Nun'Álvares Pereira, S/N
4049-845 Serpa"
"Gustavo Borges","Rua Francisco Assunção, S/N
9029-287 Oliveira do Hospital"
"Rafael Costa","Alameda Alexandra Teixeira, 41
4419-248 Almada"
"Larissa Sá","Praça Iara Sá, S/N
4756-633 Almada"
"Alícia do Amorim","Travessa de Alves, 62
8226-977 Viseu"
"Adriana Melo","R. Carlota Araújo, 31
2300-456 Gouveia"
"Carlos Paiva","Praça de Andrade, 11
1025-378 Montijo"
"Samuel Gomes","Praça Guilherme Magalhães, 83
7362-073 Ponte de Sor"
"Jorge Martins","Alameda Fernando Valle, 75
1166-575 Odivelas"
"Vasco Abreu","R. Amélia Carvalheira, 32
4239-685 Moura"
"Flor Vaz","R. Novo (à Travessa das Águas Boas), 37
6844-682 Moura"
"Rafael Soares","Rua Pacheco, S/N
5290-200 Santiago do Cacém"
"Ângela Pires","R. Faria, 45
4750-600 Sintra"
"Bárbara-Nicole Pires","Praça Kevin Nascimento, 4
2679-755 Estremoz"
"Alexandre Paiva","R. do Cerco do Porto, 52
7730-751 Rio Maior"
"Adriana do Abreu","R. Gaspar Machado, 843
3702-913 Torres Vedras"
"Luísa Vieira","R. Antunes, 907
1569-459 Santarém"
"Ivan Pereira","Largo Pacheco, 82
1527-937 Albufeira"
"Diogo da Lourenço","Avenida Luís Gonçalves, 82
3561-007 Paços de Ferreira"
"Inês Valente","Alameda de Pinheiro, S/N
9792-105 Barcelos"
"Brian Vaz","Av Gaspar, S/N
8724-705 Beja"
"Lisandro Mendes","Av de São Vicente, 16
4353-088 Marinha Grande"
"Clara Pinho-Matias","R. de Brito, 64
2213-496 Santa Comba Dão"
"Mia Silva","Largo de Leite, 8
7041-338 Leiria"
"Yasmin Oliveira","Largo Fabiana Borges, 86
1740-736 Maia"
"Adriana-Teresa Teixeira","Avenida Hugo Assunção, 60
4267-182 Agualva-Cacém"
"Raquel Antunes","Alameda de D. Pedro Pitões, S/N
2533-792 Fafe"
"Wilson Coelho","Avenida Cunha, 9
9609-319 Fiães"
"Santiago Batista","Rua de Mota, 86
5127-331 Vila do Conde"
"José Pires","Rua de Mendes, 39
5374-728 Valongo"
"Dinis Sousa-Nascimento","Travessa Ribeiro, 918
6153-813 Valongo"
"Renato Domingues-Castro","Alameda Monteiro, 318
9376-452 Montemor-o-Novo"
"Mafalda Coelho","Avenida Rodrigues, 63
1941-208 São Salvador de Lordelo"
"Francisca Leite","R. Ramos, 475
5522-462 Serpa"
"Jéssica Branco","Alameda de Basílio Teles, 68
7534-420 Marco de Canaveses"
"Afonso Esteves","Avenida Tiago Anjos, 66
3535-161 Albufeira"
"Guilherme Fernandes","Travessa Andrade, 92
8688-857 Vila Real de Santo António"
"Catarina-Rafaela Sousa","Travessa de Torres, S/N
4585-078 Pinhel"
"Gustavo Vieira","Alameda de Pereira, 12
7035-858 Valongo"
"Guilherme Maia","Praça da Asprela, 916
3897-533 Mealhada"
"Yara Melo-Borges","Avenida Miranda, S/N
7800-991 Alcobaça"
"Jorge Amaral","Praça Gomes, 907
6120-513 Bragança"
"Santiago Lopes","Rua Ferreira, 978
3051-802 Cartaxo"
"Micael Paiva","Avenida Gerais, 27
3253-453 Aveiro"
"Valentim Fonseca-Simões","Rua de São Lourenço, 15
6107-159 Vendas Novas"
"Afonso Esteves","Rua Lopes, 731
1146-237 São João da Madeira"
"Kévim de Leal","Alameda Cardoso, 77
1395-025 Lisboa"
"Adriana de Mendes","R. de Adelino Amaro da Costa, 74
7901-657 Oliveira do Hospital"
"Helena de Oliveira","Travessa do Peneireiro, 8
4394-754 Barreiro"
"Noa Valente","R. de Miranda, 47
5296-972 Vila Real"
"Renata de Moreira","Avenida Andrade, 59
8501-821 Entroncamento"
"Teresa Pinheiro","Av de Gaspar, 3
6508-153 Penafiel"
"Ivo Martins","Rua Vicente, 27
6351-594 Beja"
"Andreia Mota","Largo William Almeida, 53
9203-874 Porto Santo"
"Lara Simões","Largo das Bolas, 718
2643-596 Gondomar"
"Afonso Faria","Avenida Bárbara Nunes, 443
2051-828 Ovar"
"Guilherme Jesus","Praça Castro, 6
2561-577 Oliveira do Bairro"
"Xavier Cunha-Abreu","Praça de Torres, S/N
8995-501 Macedo de Cavaleiros"
"Frederico Freitas-Anjos","Praça Mendes, 870
1113-083 Alcácer do Sal"
"Lorena Pereira","Praça Vicente, 960
5366-615 Oliveira de Azeméis"
"Samuel Maia","Praça Vitória Vaz, S/N
4243-691 Valongo"
"Fábio Borges-Figueiredo","Travessa Batista, 54
6236-229 Vila Franca de Xira"
"Álvaro Brito-Lopes","Av Constança Vicente, 71
2224-108 Trofa"
"Soraia Reis","Largo Simão Figueiredo, 893
7638-361 Tondela"
"Érica Leite-Valente","Alameda de Lopes, 91
3655-173 Valbom"
"Afonso Ferreira-Machado","Av Carlos Cruz, 964
6614-334 São Mamede de Infesta"
"Laura Henriques","Alameda de Matos, 6
3568-328 Costa da Caparica"
"Paulo Ramos","R. Teixeira, 4
3047-959 Olhão"
"Álvaro Sousa","Praça de Anjos, 94
7201-980 Sabugal"
"Erika Vaz","Largo dos Melros, 872
6317-082 Portalegre"
"Íris Oliveira-Carvalho","Avenida Victória Carneiro, 92
8009-336 Amarante"
"Raquel Jesus-Guerreiro","Alameda de Machado, 87
5381-938 Elvas"
"Matias Freitas","Av de Caselas, S/N
1220-087 Ovar"
"Raquel Amaral","Travessa Amélia Oliveira, 731
2187-727 Vila Real de Santo António"
"Salvador Neves","Largo Carvalho, S/N
8296-709 Porto"
"Afonso Guerreiro","Travessa de Moreira, 99
2987-747 Anadia"
"Beatriz Coelho","Rua de Soares, 8
7558-374 Amarante"
"Kyara-Alice Machado","R. de Vicente, 868
3286-068 Fátima"
"Erika Paiva","Avenida de Leal, 97
2506-103 Oliveira do Bairro"
"Maria do Alves","Av Gaspar, 68
1987-257 Pombal"
"João Machado","Rua de Loureiro, 76
7592-751 Oliveira do Hospital"
"William Lima","Avenida de Amorim, 25
7497-990 Abrantes"
"Nicole Garcia","R. de Fernandes, 48
6183-610 Sines"
"Marco Ribeiro","Praça Nunes, S/N
3342-260 Macedo de Cavaleiros"
"Tomé Monteiro","Avenida de Valente, 287
9513-182 Rio Tinto"
"Afonso Jesus","Av Afonso de Albuquerque, 7
8269-341 Caniço"
"Isabel Melo","Travessa da França, S/N
7187-238 Mealhada"
"Carminho Nascimento-Almeida","Av dos Mastros, 99
6205-176 Amora"
"Carolina Magalhães","Av das Laranjeiras, 60
3641-099 Anadia"
"Teresa Lopes","Alameda Carneiro, 83
1601-251 Loures"
"William Azevedo","Praça Sá, 39
2869-841 Odivelas"
"Rafaela Macedo-Jesus","Praça Vicente, 917
4935-713 Penafiel"
"Irina do Oliveira","Av de Pina Manique, 35
2424-096 Évora"
"Luís Miranda","Av Renato Campos, 80
3364-520 Funchal"
"Kévim Pinheiro","R. Cunha, S/N
6305-569 Fiães"
"Afonso Lourenço","Alameda Soares, 698
2853-314 Matosinhos"
"Petra Lopes","R. Melo, 220
4571-812 Elvas"
"Iara Castro","Av Lopes, 8
1006-261 Funchal"
"Wilson Antunes","Rua Torres, S/N
7629-432 Caniço"
"Lorena Melo","R. Tatiana Torres, 87
1534-214 Póvoa de Santa Iria"
"Inês Cardoso","Largo Gaspar, 7
3869-582 Macedo de Cavaleiros"
"Jaime Sousa","Alameda do Dr. António Macedo, 546
4639-108 Bragança"
"Miriam Ribeiro","Rua Vicente, 12
3126-267 Câmara de Lobos"
"Mafalda do Campos","Alameda de Jesus, 4
7037-685 Cartaxo"
"Igor Lourenço","Praça Simão Neves, 762
8396-945 Lagoa"
"Afonso Silva","Av de Soares, 58
5011-784 Tavira"
"Jéssica de Assunção","Travessa de Santos, S/N
1802-971 Seia"
"Flor da Gonçalves","Rua Loureiro, 77
1677-577 Sines"
"Kyara Carvalho-Coelho","Largo de Maria Pia, 25
8163-873 Gondomar"
"Leandro Nunes","Largo Barros, 876
4966-422 Santana"
"Nádia Castro","R. Bruna Nogueira, 827
1209-885 Bragança"
"Renata Abreu-Gomes","Alameda de Maia, 591
2300-598 Câmara de Lobos"
"Sebastião Pinto","Rua de Torres, S/N
4792-873 Sines"
"Valentina Pereira","Alameda Baptista, 48
9535-635 Fátima"
"David Jesus","Rua Matias, 237
3868-416 Vila Franca de Xira"
"Afonso Vicente","Largo Íris Carneiro, 618
6171-050 Miranda do Douro"
"Helena de Vieira","Av Mia Borges, 28
9615-485 Felgueiras"
"Renato Alves","Av de Coelho, 11
3675-732 Fafe"
"Alexandra Miranda","R. do Tijolo, 46
8761-438 Câmara de Lobos"
"Erika Barros","R. de Nunes, 42
8802-958 Lourosa"
"Paulo Matos","Alameda Amália Rodrigues, 94
9979-561 Montemor-o-Novo"
"Brian Neves","Avenida Lopes, 21
2684-757 Freamunde"
"Noah Barbosa","Alameda de Carvalho, S/N
7963-138 Tondela"
"Marco Anjos","Praça de Henriques, 201
9652-502 Sabugal"
"Mauro Almeida","Praça Costa, 2
2087-948 Alcobaça"
"Afonso da Silva","Avenida de Ramos, 4
4768-918 Horta"
"Rafaela Magalhães","R. Cunha, 13
3681-129 Lisboa"
"Manuel Araújo","Av Diana Vicente, 6
2141-286 Sines"
"Cristiano do Valente","Avenida de Baptista, S/N
9915-524 Valpaços"
"Maria Gomes","Rua do Rou, S/N
3303-057 Vale de Cambra"
"Rita Rocha","Largo da Pedreira, 83
6167-909 Almada"
"Ricardo Pinho","R. dos Corvos, 90
8072-455 Torres Novas"
"Soraia Miranda-Oliveira","Rua Nascimento, 449
2938-040 Anadia"
"Caetana Mendes","Rua de Araújo, 6
6701-556 Póvoa de Santa Iria"
"Renato Machado","Alameda Petra Moura, 52
7691-049 Sacavém"
"Alexandra Anjos","Largo Gil Melo, 286
8894-073 Freamunde"
"Lourenço Soares","Av de Neto, 4
3187-441 Miranda do Douro"
"Íris Cunha","Travessa de Mota, S/N
6364-506 Santa Comba Dão"
"Tomé da Teixeira","Alameda Sérgio Nascimento, 33
8674-175 Vila do Conde"
"Rui Carvalho-Esteves","Largo Dom Afonso Henriques, S/N
2958-914 Torres Vedras"
