"Achim Ababei"	"Intrarea Voinea
Sfantu Gheorghe, 845829"
"Ileana Georgescu"	"Intrarea Ionescu Nr. 753 Bl. 77  Sc. 11 Ap. 962
Lunca Cetatuii, 371002"
"Draga Suciu"	"Drumul Toma Nr. 48 Bl. 15  Sc. 79 Ap. 154
Buftea, 367016"
"Sinică Stoica"	"Intrarea Dima
Navodari, 968570"
"Lucreția Ionescu"	"Aleea Mazilescu
Valea lui Mihai, 522142"
"Suzana Mazilescu"	"Strada Sofia Mazilescu Nr. 811 Bl. 87  Sc. 20 Ap. 360
Segarcea, 812201"
"Sandu Dinu"	"Drumul Dobre Nr. 602 Bl. 62  Sc. 51 Ap. 977
Nadlac, 467966"
"Eugenia Tudor"	"Intrarea Iris Pop
Stei, 129197"
"Petrică Aanei"	"Bulevardul Ovidiu Pop
Homocea, 167477"
"Raul Barbu"	"Aleea Stancu Nr. 99 Bl. 88  Sc. 34 Ap. 892
Baicoi, 898426"
"Achim Georgescu"	"Aleea Maxim Ene Nr. 912 Bl. 78  Sc. 63 Ap. 383
Harsova, 397151"
"Alexandru Dobre"	"Strada Aanei Nr. 540
Rodna, 675675"
"Măriuca Ioniță"	"Aleea Tabacu Nr. 626 Bl. 44  Sc. 72 Ap. 691
Vaslui, 124725"
"Ilarion Florea"	"Soseaua Albu
Nasaud, 980211"
"Radu Pop"	"Aleea Oprea Nr. 26 Bl. 81  Sc. 30 Ap. 891
Roseti, 950823"
"Eduard Popa"	"Soseaua Popa
Dej, 575605"
"Renata Albu"	"Aleea Vasile Tomescu
Toflea, 258873"
"Viorel Albu"	"Soseaua Georgescu Nr. 86 Bl. 43  Sc. 38 Ap. 718
Zalau, 232204"
"Gabriela Barbu"	"Bulevardul Silvian Stan Nr. 33 Bl. 56  Sc. 69 Ap. 199
Sebis, 229601"
"Arsenie Dochioiu"	"Intrarea Gabriel Ioniță
Vulcan, 146592"
"Achim Mazilescu"	"Bulevardul Magdalena Niță Nr. 76 Bl. 26  Sc. 21 Ap. 551
Gaesti, 685794"
"Niculina Preda"	"Aleea Stan Nr. 23 Bl. 72  Sc. 25 Ap. 519
Marghita, 355132"
"Doriana Albu"	"Aleea Tabacu Nr. 35
Mogosoaia, 416394"
"Cipriana Oprea"	"Soseaua Ababei Nr. 267 Bl. 26  Sc. 54 Ap. 389
Cornetu, 931248"
"Anemona Ardelean"	"Intrarea Timotei Popescu Nr. 56 Bl. 49  Sc. 39 Ap. 687
Campia Turzii, 710101"
"Olimpian Gheorghiu"	"Soseaua Popa Nr. 807
Oltenita, 318002"
"Voicu Diaconescu"	"Bulevardul Romina Nistor Nr. 53 Bl. 14  Sc. 33 Ap. 105
Vulcan, 388702"
"Olimpia Pușcașu"	"Aleea Pușcașu Nr. 598
Fieni, 903098"
"Clarisa Ababei"	"Strada Zeno Ababei
Calan, 396117"
"Laurențiu Tudor"	"Intrarea Stancu
Dancu, 306174"
"Achim Stancu"	"Drumul Tomescu Nr. 356
Ramnicu Sarat, 994848"
"Augustina Aanei"	"Drumul Nicoleta Nemeș Nr. 65 Bl. 86  Sc. 10 Ap. 883
Rasnov Romacril, 458567"
"Ruxanda Suciu"	"Soseaua Tudor Nr. 13
Sibiu, 346306"
"Monalisa Ardelean"	"Aleea Cristea
Valea Mare (Babeni), 516821"
"Adam Tudor"	"Intrarea Gherghina Manole Nr. 88
Siria, 882955"
"Cristian Florea"	"Aleea Melina Pușcașu Nr. 69
Victoria, 446180"
"Delia Diaconu"	"Aleea Pușcașu Nr. 852 Bl. 90  Sc. 28 Ap. 946
Lipova, 538086"
"Tincuța Nistor"	"Soseaua Stoica Nr. 897
Nadlac, 556029"
"Cipriana Oprea"	"Drumul Adelaida Tabacu Nr. 84
Bumbesti-Jiu, 752534"
"Petru Stoica"	"Drumul Diaconescu Nr. 51
Pogoanele, 452450"
"Ada Cristea"	"Strada Semenica Dinu Nr. 272
Darmanesti, 657263"
"Tincuța Stancu"	"Soseaua Marin Nr. 492
Giarmata, 535553"
"Nicoară Pop"	"Soseaua Eftimie Nr. 808 Bl. 11  Sc. 27 Ap. 656
Rosu, 387352"
"Sabina Dumitrescu"	"Soseaua Eftimie Nr. 944
Rosu, 299665"
"Heracleea Tudor"	"Soseaua Pop Nr. 591 Bl. 64  Sc. 82 Ap. 844
Balan, 699866"
"Corneliu Toma"	"Bulevardul Tomescu Nr. 47
Pitesti, 963165"
"Costel Suciu"	"Soseaua Dinu
Bals, 202959"
"Casiana Ionescu"	"Intrarea Dochioiu Nr. 20 Bl. 75  Sc. 33 Ap. 402
Lugoj, 680473"
"Iurie Tabacu"	"Bulevardul Dochioiu
Floresti, 324539"
"Alexandrina Aanei"	"Soseaua Iridenta Ababei Nr. 32
Sandominic, 891518"
"Adam Albu"	"Intrarea Claudiu Mazilescu Nr. 275
Modelu, 275822"
"Beniamin Suciu"	"Intrarea Ionela Diaconu
Beclean, 817234"
"Adonis Oprea"	"Drumul Dinu
Babadag, 576841"
"Rafael Gheorghiu"	"Intrarea Stan Nr. 53 Bl. 17  Sc. 64 Ap. 303
Orsova, 159430"
"Amza Aanei"	"Soseaua Ioniță Nr. 609
Bailesti, 304679"
"Bănel Ioniță"	"Soseaua Ene Nr. 33
Chitila, 689128"
"Tudorița Niță"	"Bulevardul Gheorghiu Nr. 286 Bl. 37  Sc. 90 Ap. 529
Jibou, 921240"
"Aureliana Tomescu"	"Soseaua Niță Nr. 242
Deva, 486005"
"Pamfil Albu"	"Intrarea Stancu Nr. 794 Bl. 97  Sc. 72 Ap. 831
Baraolt, 608347"
"Lucia Dochioiu"	"Strada Niță
Cumpana, 555765"
"Adam Popa"	"Strada Mocanu
Dragasani, 532414"
"Doina Dochioiu"	"Strada Dinu
Petrila, 840655"
"Floriana Tabacu"	"Intrarea Diaconescu
Pascani, 939217"
"Nicoară Dinu"	"Strada Niță Nr. 795 Bl. 92  Sc. 70 Ap. 478
Saveni, 669829"
"Dacian Stan"	"Soseaua Valter Ioniță
Ruscova, 729514"
"Constantin Tabacu"	"Aleea Ene Nr. 881 Bl. 21  Sc. 44 Ap. 930
Salonta, 920189"
"Aneta Stoica"	"Intrarea Mocanu Nr. 634 Bl. 31  Sc. 89 Ap. 243
Dobroesti, 236700"
"Flora Nistor"	"Bulevardul Nemeș Nr. 13
Tulcea, 805323"
"Manole Pușcașu"	"Bulevardul Petre Barbu Nr. 25
Radauti, 663215"
"Teofil Preda"	"Intrarea Marin
Zalau, 351967"
"Adam Suciu"	"Intrarea Niță
Bacau, 739826"
"Viorela Aanei"	"Strada Pop Nr. 46
Campina, 644077"
"Ozana Suciu"	"Bulevardul Ionescu Nr. 99 Bl. 77  Sc. 82 Ap. 999
Savinesti (Poiana Teiului), 114697"
"Ariadna Tomescu"	"Strada Barbu
Aiud, 483409"
"Aurelia Diaconescu"	"Aleea Ștefania Albu
Sighetu Marmatiei, 699360"
"Paulina Preda"	"Bulevardul Barbu Nr. 29 Bl. 86  Sc. 21 Ap. 821
Corund, 116083"
"Dorin Stancu"	"Strada Arian Manole Nr. 76 Bl. 64  Sc. 44 Ap. 647
Gugesti, 359527"
"Maxim Dinu"	"Drumul Preda
Medgidia, 651184"
"Eftimia Voinea"	"Intrarea Eliana Barbu Nr. 944 Bl. 98  Sc. 27 Ap. 125
Barlad, 751455"
"Georgia Diaconu"	"Strada Nemeș Nr. 613 Bl. 65  Sc. 73 Ap. 850
Rasnov Romacril, 758824"
"Adam Voinea"	"Strada Visarion Ene
Harsova, 236314"
"Luana Diaconescu"	"Drumul Suciu Nr. 22 Bl. 47  Sc. 78 Ap. 785
Moldova Veche, 687691"
"Adrian Stan"	"Soseaua Ababei Nr. 36
Targoviste, 663216"
"Denis Dumitrescu"	"Soseaua Mioara Nistor Nr. 67
Reghin, 376216"
"Emanuil Dima"	"Bulevardul Cristea
Busteni, 828183"
"Dochia Ababei"	"Intrarea Stoica Nr. 609
Moldova Veche, 266477"
"Paul Toma"	"Strada Ababei
Boldesti-Scaeni, 342112"
"Lili Florea"	"Soseaua Voinea Nr. 37 Bl. 67  Sc. 74 Ap. 935
Gherla, 308345"
"Viviana Georgescu"	"Intrarea Nistor Nr. 68 Bl. 61  Sc. 74 Ap. 489
Harsova, 907219"
"Daiana Dochioiu"	"Strada Toma Eftimie
Roseti, 860881"
"Adelaida Dinu"	"Bulevardul Georgescu Nr. 583
Comanesti, 874141"
"Octaviu Georgescu"	"Bulevardul Pușcașu Nr. 20
Lugoj, 586671"
"Dafina Stoica"	"Strada Dobre Nr. 35 Bl. 70  Sc. 49 Ap. 507
Vicovu de Sus, 909381"
"Octavia Stan"	"Intrarea Georgescu Nr. 715 Bl. 77  Sc. 19 Ap. 871
Cobadin, 616900"
"Francisc Barbu"	"Bulevardul Cristea
Viseu de Sus, 821105"
"Agata Ioniță"	"Drumul Dobre Nr. 46 Bl. 41  Sc. 53 Ap. 877
Navodari, 400393"
"Anișoara Diaconescu"	"Soseaua Diaconescu Nr. 906
Turnu Magurele, 625277"
"Alexe Tomescu"	"Aleea Stan Nr. 61
Valea Caselor (Dragasani), 374367"
"Mina Ababei"	"Aleea Stănescu
Oltenita, 539186"
"Raul Georgescu"	"Drumul Gheorghiu Nr. 989
Cornetu, 735041"
"Adelaida Niță"	"Soseaua Nemeș Nr. 525 Bl. 37  Sc. 43 Ap. 993
Balotesti, 151523"
"Codruț Dumitrescu"	"Intrarea Barbu Nr. 86
Satu Mare, 639830"
"Anton Marin"	"Bulevardul Sorina Mazilescu Nr. 395 Bl. 81  Sc. 88 Ap. 530
Barbulesti, 991318"
"Catinca Pop"	"Bulevardul Voinea Nr. 565 Bl. 48  Sc. 52 Ap. 187
Lipova, 336688"
"Leontina Ababei"	"Intrarea Mazilescu Nr. 796 Bl. 11  Sc. 89 Ap. 955
Falticeni, 557263"
"Simion Ababei"	"Intrarea Cristobal Toma
Vulcan, 721955"
"Ramona Georgescu"	"Strada Dinu Pușcașu Nr. 86
Brad, 857772"
"Veta Stancu"	"Drumul Marina Nistor Nr. 553 Bl. 14  Sc. 60 Ap. 577
Busteni, 848526"
"Traian Toma"	"Bulevardul Vasilică Ene
Braila, 882421"
"Alexandru Nemeș"	"Soseaua Stănescu Nr. 33 Bl. 69  Sc. 51 Ap. 266
Negresti-Oas, 517807"
"Adelaida Oprea"	"Intrarea Popescu Nr. 16
Mizil, 235604"
"Catinca Barbu"	"Soseaua Barbu
Braila, 265336"
"Flora Dima"	"Soseaua Zaharia Manole Nr. 471
Pucioasa, 671225"
"Iustinian Nistor"	"Drumul Preda
Afumati, 807310"
"Hortensia Stancu"	"Soseaua Suciu Nr. 14
Blaj, 336201"
"Stan Ardelean"	"Bulevardul Dumitrescu Nr. 303 Bl. 93  Sc. 45 Ap. 219
Targu Jiu, 320273"
"Elena Preda"	"Soseaua Tomescu Nr. 63
Vulcan, 548082"
"Elvira Aanei"	"Strada Adelina Diaconu
Targu Neamt, 731099"
"Sonia Preda"	"Bulevardul Aristide Ardelean Nr. 810 Bl. 86  Sc. 93 Ap. 744
Sacueni, 885117"
