"丁淑娟"	"216 太保芝山路9號之3"
"莊麗香"	"37806 新營市大仁巷11號之9"
"楊俊雄"	"731 關山市文化街8號之2"
"楊雅惠"	"47447 臺中縣博愛路59號1樓"
"廖進興"	"58557 永和縣育英巷378號之0"
"周金龍"	"37101 新營小碧潭巷6號之8"
"莊文忠"	"44993 牡丹市大智巷2段304號之4"
"吳宗翰"	"169 蘆竹新生街9段4號0樓"
"蘇志遠"	"35457 大里福安路3段88號5樓"
"邱郁婷"	"464 汐止縣建國巷744號之0"
"于志宏"	"620 台北大勇街58號3樓"
"吳淑芬"	"67221 屏東松山巷238號1樓"
"洪淑慧"	"372 白沙市忠義路97號之9"
"黃志明"	"36662 台東縣林森巷8號之4"
"李美麗"	"99004 蘆洲市福德路28號之9"
"張麗珠"	"653 屏東中華路5號7樓"
"許雅萍"	"804 竹北德巷31號1樓"
"羅金鳳"	"740 新竹和平街72號6樓"
"鄭家豪"	"171 橫山莒光街156號之4"
"許俊雄"	"421 卑南縣民享巷182號之1"
"何國華"	"952 橫山縣東興路8號8樓"
"陳文傑"	"81149 員林芝山巷7號3樓"
"郭碧雲"	"76207 橫山縣迴龍街30號之7"
"江秀琴"	"608 苗栗建國街4號之8"
"宋俊廷"	"21244 員林延平街6號1樓"
"蔡雅婷"	"237 卑南奇岩街67號之7"
"簡欣怡"	"973 高雄市永安路113號之7"
"王進興"	"13242 光復縣龍山寺巷7段66號之8"
"陳玉珍"	"697 梅山縣松山巷43號之4"
"黃麗珍"	"934 臺東博愛路8號2樓"
"何宸睿"	"12020 台中新生路5號1樓"
"林玉蘭"	"618 臺中縣和平街165號之2"
"蔡秋香"	"790 光復新興路272號0樓"
"徐建華"	"931 北港縣西門巷8號6樓"
"劉國華"	"58588 蘆竹育英路8段981號5樓"
"吳俊賢"	"48948 台中忠孝街31號4樓"
"蔡家豪"	"857 永和縣頂福州街159號之6"
"黃思妤"	"40961 古坑市正義巷45號之6"
"陳淑華"	"639 關山市育英路1號之5"
"劉玉蘭"	"736 竹北市大安路5號之7"
"何志明"	"82816 連江市仁愛巷8段9號之7"
"陳嘉宏"	"19110 大里建國路5號之6"
"趙俊賢"	"272 南投迴龍巷50號0樓"
"張美鳳"	"225 大里市大橋頭街94號之2"
"曾宥辰"	"499 草屯復興路6號之0"
"徐秋月"	"395 蘆竹縣學府巷352號之3"
"洪詩涵"	"22902 蘆洲縣福德巷735號3樓"
"賴麗美"	"87383 牡丹市三民街8號6樓"
"林玉蘭"	"38778 朴子自由路2段311號之4"
"李宥辰"	"10335 鳳山市天母街5段10號之8"
"何慧玲"	"706 台北文昌巷220號之6"
"康建成"	"14271 臺東市和街街26號之1"
"崔秀鳳"	"36321 草屯縣新生街923號之8"
"楊文忠"	"391 平鎮市民族路4段82號之1"
"陳麗珠"	"446 白沙民生巷323號4樓"
"蕭俊明"	"831 台東縣大同路6段11號之2"
"李秀英"	"278 馬公縣建國街8號之0"
"黃哲維"	"416 雲林國凱八德巷1段3號之2"
"林惠美"	"53395 平鎮大勇路322號之0"
"魏俊佑"	"302 太平縣新生街609號2樓"
"何秀霞"	"997 永康長春路4號4樓"
"林明宏"	"24628 古坑市明德路74號4樓"
"詹文雄"	"58048 阿里山市忠義街9段373號之1"
"李子翔"	"15430 朴子太平街7號之3"
"葉靜宜"	"201 樹林縣育英路8號8樓"
"張淑玲"	"56061 橫山市民生街783號之9"
"邱信宏"	"843 宜蘭市蘆洲路2段2號9樓"
"薛雅玲"	"174 新竹中華路4號0樓"
"何雅婷"	"680 雲林縣廣慈巷9號之2"
"張秀英"	"124 橫山縣民治街716號之3"
"何美玲"	"733 太保縣莒光巷7號之5"
"林志誠"	"70161 桃園市中央巷90號之7"
"陳玉英"	"631 桃園大同街98號之1"
"龔宥廷"	"40881 高雄迴龍路1段632號之4"
"吳睿恩"	"26201 平鎮市新生街921號之2"
"翁文祥"	"494 雲林和街巷130號9樓"
"王淑美"	"14248 台中芝山巷1段9號1樓"
"許美慧"	"994 朴子東興街23號1樓"
"劉子豪"	"734 臺中市象山路2號之4"
"邱淑貞"	"602 台南市信義巷8段5號之3"
"何美華"	"35129 永和縣淡水路4號之5"
"林國雄"	"40926 褒忠南街3號8樓"
"楊志豪"	"124 新北大坪街132號之0"
"江建華"	"20399 嘉義縣天母巷25號之0"
"高素珠"	"94061 蘆竹市和街巷33號6樓"
"朱承翰"	"21020 八德縣景美街9段73號之7"
"鄒欣怡"	"11808 永和縣華興巷42號5樓"
"潘秀珍"	"298 台東市石牌巷4號8樓"
"林志鴻"	"773 員林莒光路20號1樓"
"施佳穎"	"80224 新營市忠孝巷5段3號之6"
"何金蓮"	"95622 太保永寧巷7號之5"
"林佳玲"	"70637 中和市五福巷26號之6"
"陳志明"	"92565 桃園西門路70號7樓"
"張文忠"	"31381 新竹縣新店街683號9樓"
"邱美玲"	"530 雲林天母巷875號之1"
"廖俊傑"	"47164 太保和平巷7段5號之2"
"溫惠美"	"795 古坑縣象山街9號之4"
"張麗珠"	"27071 連江縣民族路2號3樓"
"李秀珍"	"469 竹北縣博愛巷2號5樓"
"王麗琴"	"95187 台南大同路2號9樓"
"佘淑慧"	"563 連江民有路4號之7"
"黃進興"	"590 永康民享街8號1樓"
"林子翔"	"83321 汐止明德巷33號之3"
"胡進興"	"335 鳳山育英巷45號5樓"
"許冠霖"	"217 基隆市三民巷32號之2"
"姚宗翰"	"802 樹林市文化街66號之5"
"汪惠美"	"405 永康市自由巷702號1樓"
"呂美蘭"	"25786 臺中市大勇路16號8樓"
"張世昌"	"26980 新北縣府中路72號3樓"
"阮進財"	"86096 新竹中興路8段45號6樓"
"佘淑華"	"912 永康市太平街654號8樓"
"吳麗雪"	"230 板橋縣自由路8號之2"
"林冠宇"	"812 新營市土城路920號之6"
"黃秀珠"	"549 新營縣大智巷8號之7"
"林俊賢"	"94628 苗栗縣育英巷6號之1"
"林雅慧"	"19850 彰化象山巷3段6號之2"
"陳雅惠"	"228 草屯萬隆巷864號之5"
"劉正雄"	"30346 澎湖光華路7號之8"
